problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,10,2,4.96894813295512e-07,0.3084483742713928,121.59890240000095
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,10,0,1.1957147307839477e-06,0.34842202067375183,261.15050330001395
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,10,1,2.013311814152985e-06,0.2394043505191803,261.1471787999617
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,10,3,2.116300720444997e-06,0.24449032545089722,277.22801280010026
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,10,4,9.132898526331701e-07,0.2129887193441391,287.8227622000268
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,10,5,1.909996171889361e-06,0.4491916596889496,278.8306489000097
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,10,6,1.99835062630882e-06,0.2868119478225708,278.35782459995244
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,10,7,2.8629187909245957e-06,0.2909567058086395,277.74329110002145
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,10,8,5.342371309779992e-07,0.5023778676986694,288.03191499994136
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,10,10,1.8956367284772568e-06,0.1939975470304489,274.8452949000057
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,10,9,1.1592472901611472e-06,0.25376397371292114,280.717560900026
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,10,11,2.4841056074365042e-06,0.24410246312618256,272.7508476000512
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,20,0,1.9474482542136684e-06,0.09719983488321304,314.83071270002984
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,20,1,2.081497996186954e-06,0.09475719928741455,299.0393145000562
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,20,2,2.3604952730238438e-06,0.08196607232093811,306.1683363999473
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,20,3,2.5909030227921903e-06,0.1284802109003067,298.7831833999371
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,20,4,1.5978156397977727e-06,0.11122546344995499,300.4089200999588
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,20,5,3.409553983146907e-06,0.11967809498310089,295.5390989999287
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,10,100,20,6,8.592292601861118e-07,0.11106032878160477,303.9135574999964
