problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,2,4.989717012904293e-07,0.5354271531105042,60.33178070001304
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,0,1.2563250493258238e-06,0.34192872047424316,221.10858970007394
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,1,2.162289774787496e-06,0.35146260261535645,222.5758032000158
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,3,3.7240383790049236e-06,0.3347442150115967,243.11342880001757
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,4,9.357376598018163e-07,0.5556279420852661,231.5900687999092
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,5,1.995731281567714e-06,0.37588590383529663,237.17175750003662
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,6,2.3571699330204865e-06,0.5611831545829773,226.6341389999725
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,8,5.438250809675083e-07,0.4119952917098999,226.98636140010785
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,7,3.274361688454519e-06,0.38896870613098145,239.77231959998608
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,9,1.19146830002137e-06,0.32222259044647217,236.8591308000032
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,10,2.0140792003076058e-06,0.34676727652549744,225.5639634000836
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,10,11,2.7814646728074877e-06,0.45352643728256226,236.54953169997316
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,0,2.23028109758161e-06,0.3584757149219513,285.99188750004396
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,2,2.511837692509289e-06,0.3589438498020172,254.94240219995845
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,10,100,20,1,2.203820486101904e-06,0.3202512562274933,282.17701500002295
