problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,2,4.978192578164453e-07,1.1178417205810547,69.96692060003988
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,0,1.1126504659841885e-06,1.0586761236190796,247.52189179998823
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,1,1.9246172087150626e-06,1.0226030349731445,246.30805059999693
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,3,1.8155612906411989e-06,0.8766294121742249,240.00450249994174
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,4,8.994888958113734e-07,1.056541919708252,245.329064700054
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,7,6.737005833201692e-07,0.9209951758384705,242.42869109997991
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,5,1.8728173927229363e-06,1.2805315256118774,250.39108770003077
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,6,1.6693487623342662e-06,0.9351252913475037,251.47880739998072
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,8,5.305168997438159e-07,1.0123852491378784,250.3564145999262
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,9,1.1487392157505383e-06,0.8469424843788147,237.17541209992487
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,10,1.4659109410786186e-06,0.9825488924980164,247.4432440000819
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,10,11,5.90838453717879e-07,0.9816693067550659,249.35092720005196
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,0,1.201654526994389e-06,0.5665374398231506,280.5720947000664
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,1,1.8517259832151467e-06,0.40736332535743713,253.54378199996427
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,2,1.7113067087848322e-06,0.5807569622993469,272.8451459999196
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,3,1.622563445380365e-06,0.6595849394798279,270.16673529997934
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,4,1.5897791172392317e-06,0.36423102021217346,273.4470629999414
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,5,1.387352881465631e-06,0.4171488285064697,261.8394422000274
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,8,1.3566901770900586e-06,0.8423309326171875,271.5455997000681
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,7,9.694388154457556e-07,0.6221088171005249,272.40393689996563
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,6,1.0884330094995676e-06,0.36370569467544556,279.1481100000674
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,9,1.0463573971719597e-06,0.17251461744308472,275.71098760003224
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,10,100,20,10,1.5793298189237248e-06,0.5437262058258057,261.63727639999706
