problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,2,4.992684239368828e-07,0.454236775636673,840.6250856999541
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,0,4.999992029297573e-07,0.30950722098350525,1052.196427399991
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,1,1.988536041608313e-06,0.3632497191429138,1307.3690431000432
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,3,2.331043560843682e-06,0.3700060248374939,1125.4267721999204
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,5,2.0169256913504796e-06,0.3458070456981659,729.5087982999394
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,6,2.396405307081295e-06,0.6307832598686218,725.3154962999979
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,4,9.61077830652357e-07,0.49302592873573303,1140.0672669999767
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,8,5.424104188023193e-07,0.39999261498451233,637.3413983999053
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,9,1.2029743174934993e-06,0.2907756268978119,588.1466399999335
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,7,3.2815923987072892e-06,0.3555116355419159,706.0929915000452
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,10,1.9722529032151215e-06,0.3962072730064392,588.5650366999907
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,10,11,2.7382052394386847e-06,0.37314966320991516,554.8211831999943
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,0,2.2522635845234618e-06,0.3896353244781494,555.2620504000224
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,1,2.2187791728356387e-06,0.33869197964668274,530.6440243000397
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,3,2.910792773036519e-06,0.3839755058288574,528.8101684000576
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,2,2.5053984700207366e-06,0.36319130659103394,541.0689316999633
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,4,1.6446042536699679e-06,0.42486563324928284,546.6663012000499
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,5,3.884020770783536e-06,0.37482282519340515,545.2741935000522
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,6,3.3167109450005228e-06,0.44011983275413513,529.6323371999897
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,7,4.160252956353361e-06,0.3647991120815277,532.3290050000651
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,9,1.1131883184134495e-06,0.3171227276325226,517.60693359992
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,8,1.4353604456118774e-06,0.4164866805076599,545.5910976000596
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,10,1.9217675344407326e-06,0.6890829801559448,538.3048203999642
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,20,11,4.137241376156453e-06,0.3301475942134857,544.0350888000103
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,0,2.4837509045028128e-06,0.35800039768218994,589.7764840999153
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,1,2.2446865841629915e-06,0.3484898507595062,589.6859895000234
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,10,100,30,2,3.903519427694846e-06,0.3497907817363739,595.539064600016
