problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,4.993949573872669e-07,1.1840198040008545,521.4387271000305
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,1.1747383723559324e-06,1.1195096969604492,1070.3768522999017
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,1.920594968396472e-06,0.9411577582359314,1061.109874600079
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,4,8.950733558776847e-07,1.0679011344909668,831.4013610000256
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,3,1.771824031493452e-06,0.7592508792877197,904.9099705999251
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,5,1.8504424588172697e-06,1.1549822092056274,681.9115741000278
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,8,5.218910814619449e-07,0.9538092613220215,574.1566942998907
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,9,1.1439936997703626e-06,1.0141347646713257,563.6113851000555
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,6,9.651753316575196e-07,1.0483989715576172,602.8875329999719
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,7,1.5058419648994459e-06,1.0256903171539307,596.8588467000518
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,10,1.1364163583493792e-06,0.9580914974212646,573.3249163000146
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,11,1.1484742117318092e-06,0.9875485301017761,580.979573699995
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,1.635108901609783e-06,0.5148634314537048,593.509604999912
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,2.036143087025266e-06,0.6153781414031982,507.0849700999679
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,1.09893642274983e-06,0.44490712881088257,493.07610860001296
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,3,2.370441734456108e-06,0.7842921614646912,475.89226309990045
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,4,1.57897727603995e-06,0.8083524703979492,448.96978039992973
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,5,1.1338401009197696e-06,0.15001890063285828,449.56010640005115
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,6,8.593119105171354e-07,0.7551112174987793,443.56994129996747
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,8,1.3640658380609239e-06,0.484895259141922,443.3769245999865
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,7,1.045445401359757e-06,0.6395655274391174,461.70569840003736
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,9,1.6347476048395038e-06,0.669365644454956,451.24844730005134
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,11,1.6107445617308258e-06,0.8985301852226257,455.1435646000318
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,10,8.607147492512013e-07,0.49207359552383423,461.2614609999582
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,1,2.0610716546798358e-06,0.04174264892935753,503.7560894000344
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,0,9.96029598354653e-07,0.1111663356423378,511.2222004000796
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,2,1.1216235407118802e-06,0.05242760106921196,502.9405620000325
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,3,1.6932366406763322e-06,0.40772879123687744,506.6327628000872
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,4,1.5494779290747829e-06,0.23573802411556244,510.0484311999753
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,5,1.5691468888689997e-06,0.18713463842868805,508.6914902999997
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,6,1.1332590474921744e-06,0.06293991208076477,489.92708330007736
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,7,1.293155264647794e-06,0.2660942077636719,501.4639574000612
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,8,1.4295205801317934e-06,0.3071497678756714,503.0433383999625
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,10,1.6655467334203422e-06,0.328967422246933,489.1940871999832
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,11,1.6006588339223526e-06,0.3257184326648712,491.680908099981
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,9,1.365709522360703e-06,0.6123313903808594,512.0688334000297
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,0,2.103692622767994e-06,0.039414819329977036,546.6540101000573
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,1,1.986378947549383e-06,0.031387995928525925,530.9227543999441
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,3,2.431730308671831e-06,0.09408478438854218,527.1655428999802
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,2,1.2850808843722916e-06,0.027931658551096916,550.9584866999649
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,6,1.1732640814443585e-06,0.24430425465106964,524.6058944000397
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,4,1.3016923503528233e-06,0.12724225223064423,547.6264854000183
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,5,1.5735848819531384e-06,0.029540184885263443,553.5221357999835
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,7,1.2136152918174048e-06,0.03318587690591812,529.8563880999573
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,8,1.2316385209487635e-06,0.09297933429479599,541.6823898999719
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,9,1.6888949403437437e-06,0.08100604265928268,544.202068499988
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,10,1.6245537608483573e-06,0.11735571920871735,538.1833118000068
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,11,1.7965900269700796e-06,0.05805933475494385,542.485489099985
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,0,1.8668217762751738e-06,0.029782405123114586,582.55722409999
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,1,1.2597707836903282e-06,0.03010941483080387,582.5106623999309
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,3,2.2542676560988184e-06,0.03345496952533722,579.2625588000519
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,2,1.5547445855190745e-06,0.027862640097737312,598.4675614000298
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,5,1.746496991472668e-06,0.042798470705747604,579.1238512999844
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,4,1.3457676004691166e-06,0.16895264387130737,601.2012312000152
