problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,2,4.976594709660276e-07,0.4468529522418976,779.0608790999977
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,0,1.2506899338404764e-06,0.375273734331131,1123.8647182999412
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,1,2.1343125808925834e-06,0.2975181043148041,1014.4368293000152
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,3,2.275861334055662e-06,0.41465622186660767,685.8670886999462
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,4,9.261955824513279e-07,0.2566418945789337,639.0395192999858
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,5,1.9908329704776406e-06,0.4761821925640106,521.710087699932
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,6,2.2698570774082327e-06,0.43925246596336365,480.6806760999607
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,7,3.197021669620881e-06,0.26802101731300354,294.41487350000534
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,8,5.413323833636241e-07,0.3803730010986328,200.75162100000307
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,9,1.1881834325322416e-06,0.4002801179885864,185.5326646999456
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,10,1.979576609301148e-06,0.3032342791557312,177.11810359999072
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,11,2.620621899040998e-06,0.3623603582382202,169.31354979996104
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,0,2.215499762314721e-06,0.11273205280303955,109.36692010005936
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,1,2.1875168840779224e-06,0.08468213677406311,97.56269389996305
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,2,2.4720754936424782e-06,0.10711491107940674,95.78180310002062
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,3,2.8169015422463417e-06,0.13862664997577667,89.41626060009003
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,5,3.628876811490045e-06,0.1347215324640274,78.6443213999737
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,4,1.6289498034893768e-06,0.10083425045013428,80.33468970004469
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,6,3.095984311585198e-06,0.13000965118408203,82.18948199995793
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,7,4.094735686521744e-06,0.13775646686553955,79.65195339999627
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,8,1.4552922493749065e-06,0.12466321140527725,79.09735699999146
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,9,2.266417141072452e-06,0.15215066075325012,78.53502750000916
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,10,1.9036192497878801e-06,0.08713759481906891,80.01632779999636
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,11,3.995269253209699e-06,0.1433512419462204,78.3391249999404
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,0,2.498037247278262e-06,0.06647111475467682,90.78302700002678
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,1,2.2444173737312667e-06,0.044662218540906906,91.15222329995595
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,3,2.7742187285184627e-06,0.0719648078083992,87.50781460001599
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,2,3.1347415188065497e-06,0.05029377341270447,94.9225934999995
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,5,3.7696427170885727e-06,0.06161590293049812,92.0672876999015
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,4,2.675572886801092e-06,0.05173908919095993,96.5804480999941
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,6,3.42644830197969e-06,0.07197806984186172,91.67482610000297
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,8,2.3192230855784146e-06,0.07284760475158691,88.26081080001313
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,7,3.980672772740945e-06,0.05425848439335823,96.8591336000245
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,9,2.3333820990956156e-06,0.08956563472747803,89.45472529996186
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,10,1.990933242268511e-06,0.05711401253938675,93.31276529992465
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,11,3.890932021022309e-06,0.07335381209850311,91.3062334000133
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,40,2,3.7586153212032514e-06,0.03157591074705124,91.29327020002529
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,40,1,2.3317666091315914e-06,0.03508438915014267,94.71701070002746
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,40,0,2.7629957912722602e-06,0.04571974277496338,98.05936970002949
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,40,3,2.722694034673623e-06,0.04427742585539818,94.65358309994917
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,40,4,3.082455577896326e-06,0.035182885825634,93.70890369999688
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,40,6,3.499120566630154e-06,0.03446182236075401,94.40434589993674
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,40,5,3.262518248448032e-06,0.0482470877468586,97.38534320006147
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,40,7,3.8140465221658815e-06,0.031750187277793884,101.08661430003121
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,40,8,2.980428689625114e-06,0.05074935406446457,99.74876619991846
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,40,10,1.9308586161059793e-06,0.03512132167816162,97.94567539996933
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,40,9,2.1961930087854853e-06,0.05405114218592644,103.09825609996915
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,40,11,3.672521643238724e-06,0.034365877509117126,97.4960768999299
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,0,3.280007149442099e-06,0.026005057618021965,113.9653951000655
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,1,3.562547817637096e-06,0.022994495928287506,116.78450859989971
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,2,3.868322892230935e-06,0.022057820111513138,116.03365300002042
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,3,2.852141506082262e-06,0.03984258696436882,116.15208949998487
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,5,3.4048111956508365e-06,0.038629401475191116,111.19602630008012
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,4,4.179570623819018e-06,0.019645093008875847,114.25947390007786
