problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,0,4.998186113880365e-07,1.0604095458984375,41.006528400001116
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,1,4.992089657207543e-07,1.0783405303955078,49.834300300106406
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,3,4.7606056341464864e-07,1.2900344133377075,38.22350040008314
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,2,4.999702127861383e-07,1.230966329574585,87.54738449992146
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,5,4.99901318562479e-07,1.16294527053833,45.71842259995174
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,6,4.80614289699588e-07,1.181936502456665,46.727754799998365
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,4,6.469646791629202e-07,1.1750743389129639,128.38545659999363
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,8,4.985707846572041e-07,1.135971188545227,83.102310199989
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,10,4.970485747435305e-07,0.9887275099754333,48.97569809993729
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,7,4.998217377760739e-07,1.0375629663467407,92.546525200014
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,9,4.995222866455151e-07,1.2262804508209229,110.19031249999534
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,11,4.999551492801402e-07,1.1789158582687378,99.04423109989148
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,1,4.998308895665105e-07,0.5999298691749573,91.57457439997233
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,2,4.997961582375865e-07,0.8707875609397888,124.27210639999248
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,3,4.997602900402853e-07,0.749811589717865,119.57590249995701
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,0,5.832670240124571e-07,0.6429824233055115,188.559721800033
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,5,4.980621497452375e-07,0.5677621960639954,92.83998799999245
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,6,4.921465119878121e-07,0.7067931294441223,59.71123809996061
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,4,5.890402121622174e-07,0.9382461309432983,194.4220370000694
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,10,4.994184905626753e-07,0.5530925989151001,83.68567580007948
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,7,4.99643647344783e-07,0.6467411518096924,101.82394389994442
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,11,4.994882942810364e-07,0.817048192024231,82.53681919991504
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,0,4.931676471642277e-07,0.3122505247592926,86.4984703999944
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,9,6.842484481239808e-07,0.9964907169342041,178.60699330002535
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,8,5.354979748517508e-07,0.8312514424324036,180.53817569999956
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,1,4.999449174647452e-07,0.48855841159820557,136.6971292999806
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,3,4.970403892912145e-07,0.567546546459198,70.2559635998914
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,2,4.993059405933309e-07,0.485871285200119,106.12719919998199
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,5,4.992356252842001e-07,0.41864243149757385,116.56076179991942
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,7,4.989686317458109e-07,0.4572393298149109,107.86346609995235
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,8,4.996824713998649e-07,0.5588527917861938,94.95286399999168
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,4,7.110036790436425e-07,0.621593713760376,190.4722763999598
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,6,4.999998282073648e-07,0.34246575832366943,165.20757090009283
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,10,4.950341576659412e-07,0.30392682552337646,73.59891020006035
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,11,4.947167440150224e-07,0.5500031113624573,75.31432519992813
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,0,4.995147264708066e-07,0.3484211564064026,78.95917490008287
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,9,5.479801643559767e-07,0.5682699680328369,192.5776078000199
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,2,4.997938276574132e-07,0.24194787442684174,110.84449229994789
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,1,6.618338375119492e-07,0.31057974696159363,200.16203599993605
