problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,0,1.0679519846235053e-06,1.0546364784240723,49.309192699962296
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,1,8.382790497307724e-07,0.9967467784881592,51.22050970001146
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,2,1.92953280020447e-06,1.1708738803863525,54.37947769998573
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,3,2.370263700868236e-06,1.0519474744796753,54.93813759996556
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,4,1.485140273871366e-06,1.2982282638549805,55.129074599943124
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,5,1.1831629080916173e-06,0.9980500936508179,55.11629629996605
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,6,1.533768227091059e-06,1.2474184036254883,54.609903599950485
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,7,8.109414579848817e-07,0.9712284803390503,54.91543569997884
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,8,1.7474965261499165e-06,0.94245445728302,53.95366370002739
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,9,1.2529523019111366e-06,1.4934308528900146,53.57393610000145
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,10,9.479468303652538e-07,1.0469082593917847,58.28312889998779
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,11,1.0859812391572632e-06,1.2135154008865356,59.38873050000984
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,0,1.6067234582806122e-06,0.44618144631385803,68.9765643000137
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,1,1.2216809182064026e-06,0.4647327959537506,67.86894160008524
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,2,2.10012262868986e-06,0.6299772262573242,70.86679350002669
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,3,1.7059442143363412e-06,0.32700374722480774,72.35131169995293
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,4,1.213883138007077e-06,0.5384573340415955,71.86667740007397
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,5,1.44536386414984e-06,0.298248827457428,72.08645529998466
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,6,1.2596019587363116e-06,0.48123180866241455,73.93910820002202
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,7,1.5675824442951125e-06,0.33202847838401794,77.96894289995544
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,8,1.7425184068997623e-06,0.49841803312301636,77.72879770002328
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,9,1.6425315152446274e-06,0.41983121633529663,79.54824900010135
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,10,1.2581391501953476e-06,0.38065478205680847,82.71310699998867
