problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,0,4.996235247745062e-07,0.44551822543144226,16.103835599962622
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,1,4.99263023812091e-07,0.42952340841293335,15.456819099956192
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,2,4.999935754312901e-07,0.5148262977600098,19.20448379998561
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,5,4.999902216695773e-07,0.5573523640632629,22.027419700054452
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,6,4.998625513508159e-07,0.4757578670978546,14.754100000020117
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,3,6.344740768327028e-07,0.46362411975860596,53.03792509995401
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,4,9.81258040155808e-07,0.5526708364486694,51.21698859997559
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,7,1.2026404192511109e-06,0.5423966646194458,52.82132940005977
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,9,1.8110963537765201e-06,0.45892348885536194,52.77968689997215
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,8,2.0182608295726823e-06,0.4573383331298828,55.97175869997591
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,10,6.2050327187535e-07,0.5418636202812195,55.69667760003358
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,11,5.960454814157856e-07,0.48220065236091614,57.684898199979216
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,0,3.943805040762527e-06,0.3774757385253906,66.05553639994469
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,1,1.097491121981875e-06,0.37887564301490784,69.74713799997699
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,2,2.413157517366926e-06,0.4184921979904175,69.88066769996658
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,3,3.463828988969908e-06,0.3445562422275543,68.09871419996489
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,4,3.5834175378113287e-06,0.38603517413139343,67.13657710002735
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,5,1.970316134247696e-06,0.4118487536907196,70.89189540001098
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,6,1.5008132550065056e-06,0.3721040189266205,71.62001369998325
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,7,2.825487626978429e-06,0.3857021927833557,73.02727580000646
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,8,5.416979547590017e-06,0.3471498489379883,73.76325900002848
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,9,2.241680249426281e-06,0.4619724154472351,72.2174952001078
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,10,1.2356197203189367e-06,0.44554030895233154,76.69126570003573
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,11,1.7861869991975254e-06,0.4191434979438782,78.30311919993255
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,30,1,1.7757777186488966e-06,0.30772215127944946,92.28950369998347
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,30,0,2.7415476324677e-06,0.292675644159317,92.79553900007159
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,30,2,2.9232699034764664e-06,0.326661616563797,93.23376350000035
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,30,3,5.142692771187285e-06,0.31992149353027344,88.57724410004448
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,30,4,3.738657824214897e-06,0.35841572284698486,87.52265039994381
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,30,5,4.309162704885239e-06,0.3251153528690338,85.7730859000003
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,30,6,1.723444256640505e-06,0.3224351406097412,92.05769940000027
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,30,7,2.0584923277056077e-06,0.3114438056945801,91.94027580006514
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,30,8,4.689720299211331e-06,0.30090001225471497,89.20531810005195
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,30,9,2.8062424917152384e-06,0.3181575536727905,89.98732519999612
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,30,10,1.5231694305839483e-06,0.3264838457107544,90.94454200007021
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,30,11,1.91600543075765e-06,0.33180105686187744,90.69440229993779
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,40,0,2.0536137981252978e-06,0.23296648263931274,96.4290826000506
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,40,1,1.6050020121838315e-06,0.27432483434677124,95.69623679993674
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,40,2,1.721453827485675e-06,0.28073757886886597,102.73638180003036
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,40,3,4.3993513827444986e-06,0.25112614035606384,103.32402030006051
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,40,5,2.0864040379819926e-06,0.2527487277984619,97.53001099999528
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,40,4,2.821703219524352e-06,0.3096274435520172,99.20930119999684
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,40,6,1.8452210497343913e-06,0.2577289640903473,100.7026954999892
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,40,8,3.930272214347497e-06,0.26669132709503174,97.65603889990598
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,40,7,2.903787390096113e-06,0.27988553047180176,99.04328330000862
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,40,9,1.5699621371823014e-06,0.2524522840976715,91.2681194000179
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,40,10,1.7621230199438287e-06,0.253059446811676,94.06847930001095
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,40,11,2.1311054752004566e-06,0.32161185145378113,106.22016290004831
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,50,0,2.608734348541475e-06,0.23228579759597778,112.01708470005542
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,50,1,1.5481607533729402e-06,0.22445134818553925,109.0272660999326
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,50,2,2.5470480977674015e-06,0.2706637382507324,108.21878149989061
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,50,3,3.7763304590043845e-06,0.234059140086174,103.65929770004004
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,50,4,2.2640365386905614e-06,0.24766771495342255,107.81574260001071
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,50,5,3.6012577311339555e-06,0.25698843598365784,110.92231059994083
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,50,8,4.055071713082725e-06,0.23438753187656403,96.97319379996043
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,50,6,1.8918976820714306e-06,0.2244902104139328,104.06662970001344
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,50,7,3.5245677736384096e-06,0.22806386649608612,112.78273910004646
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,50,9,1.7096530200433335e-06,0.21622219681739807,103.4005337000126
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,50,10,1.5599788412146154e-06,0.21081127226352692,119.13322269998025
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,50,11,2.68306416728592e-06,0.31236502528190613,117.9247311000945
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,60,1,1.5301366147468798e-06,0.18927520513534546,157.00675130006857
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,60,0,1.911526851472445e-06,0.18353039026260376,171.844949399936
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,60,2,2.190384748246288e-06,0.2417469620704651,167.6576178999385
