problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,1,7.492204190384655e-07,1.1935569047927856,1336.7713069000747
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,3,8.022477686608909e-07,1.325966238975525,1229.2175973999547
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,4,6.107779881858733e-07,1.1783998012542725,1109.113986799959
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,5,1.0062932460641605e-06,0.7654491066932678,1062.8396475999616
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,0,1.0375141528129461e-06,1.0741022825241089,1407.6770767999114
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,2,1.5467197727048188e-06,1.1222859621047974,1238.3024640999502
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,6,7.084699973347597e-07,1.0060019493103027,995.1746732000029
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,7,7.735951044196554e-07,1.2032562494277954,869.539894000045
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,8,1.835586999732186e-06,1.2013304233551025,690.2635766000021
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,10,4.992537583348167e-07,1.054785132408142,278.33821049996186
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,9,9.818633088798379e-07,1.1873283386230469,579.2427665001014
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,11,1.009131324281043e-06,1.1606683731079102,393.37055979995057
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,0,1.4289875025497167e-06,0.4332278370857239,431.208575299941
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,1,1.1077553381255711e-06,0.34510812163352966,424.4160446000751
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,2,1.2750845144182676e-06,0.7261502146720886,436.4542916000355
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,3,9.409143331140513e-07,0.4225718379020691,434.51575500005856
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,5,1.457948201277759e-06,0.5298115611076355,431.67895029997453
