problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,3,9.44694022564363e-07,0.24919559061527252,674.8569888999918
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,1,7.934128234410309e-07,0.2632078528404236,911.9329067000654
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,0,1.4501699752145214e-06,0.2682543992996216,971.5148997000651
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,2,1.4515893553834758e-06,0.26534852385520935,922.0972520000068
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,4,6.934503744560061e-07,0.271593302488327,618.4899063999765
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,7,9.188515832647681e-07,0.24476408958435059,495.3603414000245
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,6,1.5426061281686998e-06,0.26209762692451477,566.2136403999757
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,5,1.016189344227314e-06,0.24116550385951996,571.9893225999549
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,8,1.4316148053694633e-06,0.28732994198799133,467.7019275999628
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,9,1.2399730167089729e-06,0.2502877116203308,460.54605060000904
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,10,8.549257017875789e-07,0.2799113392829895,416.22693360003177
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,11,9.323339895672689e-07,0.23894672095775604,383.2218022000743
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,1,8.61765613535681e-07,0.23557955026626587,383.1254046999384
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,0,8.723941391508561e-07,0.22181710600852966,410.7872345999349
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,2,1.4739952121090028e-06,0.24023188650608063,378.0410422999412
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,3,1.6191688700928353e-06,0.2287098914384842,379.74035089998506
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,4,1.078826471712091e-06,0.2367354929447174,378.44691469997633
