problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,3,4.999079692424857e-07,1.241434931755066,750.3368831999833
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,10,4.966541382600553e-07,0.9656340479850769,205.27742200007197
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,4.998271947442845e-07,1.0824575424194336,1547.8199991999427
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,4.999918701287243e-07,1.0496352910995483,1265.6944349000696
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,9,4.995501399207569e-07,1.187804937362671,328.56131210003514
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,8,4.996912252863694e-07,1.1309980154037476,388.2763661000645
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,5.001282943339902e-07,1.207835078239441,1107.2148817001143
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,4,5.95716585394257e-07,1.2012468576431274,867.8263572000433
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,6,6.932657470315462e-07,1.1300255060195923,787.5296207999345
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,7,5.99085296926205e-07,1.1418147087097168,781.2282838000683
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,4.854730946135533e-07,0.6131158471107483,178.84301119996235
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,5,6.022173124620167e-07,1.1989166736602783,831.1262086000061
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,11,4.990781121705368e-07,1.1669998168945312,220.1049767000368
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,4.988078217138536e-07,1.0619605779647827,193.2742278999649
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,4.992896265321178e-07,0.4883756935596466,209.72427030000836
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,6,4.983737085240136e-07,0.8151381015777588,198.68958179990295
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,9,4.995283688913332e-07,0.9905251264572144,176.58974660001695
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,3,4.99186626257142e-07,0.7067382335662842,252.24503620003816
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,10,4.982232439942891e-07,0.6423914432525635,174.33815620001405
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,8,4.998073563911021e-07,0.7583937048912048,252.37212680000812
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,0,4.952349854647764e-07,0.3838098645210266,185.3622544000391
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,2,4.845979901801911e-07,0.4541941285133362,186.5562815000303
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,11,4.985594728168508e-07,0.82391357421875,255.48221529996954
