problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,10,4.985063242202159e-07,0.6215543053760462,13.214491499995347
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,1,4.942953069075884e-07,0.4638598699948168,14.187945999961812
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,11,4.997598921363533e-07,0.5751693883939516,15.120838699978776
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,8,4.991542823518103e-07,0.6630653421636598,15.694691299984697
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,5,4.999465090804733e-07,0.5185510027637197,16.094252899987623
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,2,4.99899670103332e-07,0.6790263524757107,16.535152299969923
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,9,4.998090616936679e-07,0.6066033014749095,17.192775999952573
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,6,4.999294560548151e-07,0.5516374111875523,17.818896700046025
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,0,4.996114171262889e-07,0.2826939087547283,17.881938299979083
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,0,4.999753855372546e-07,0.3695037364544394,18.365802699991036
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,1,4.999218958801066e-07,0.332011449792775,19.57890189997852
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,2,4.988470436728676e-07,0.3263264823124593,20.456396399997175
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,7,4.999265570404532e-07,0.6466964087163939,20.83835099998396
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,3,4.991038622392807e-07,0.3781661177960197,22.077952099964023
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,7,4.999905058866716e-07,0.40219823173464286,23.48093780002091
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,6,4.996605298401846e-07,0.3303001380542613,24.67108850000659
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,4,4.990860702491773e-07,0.6499926649293872,25.451927500020247
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,5,4.99989539548551e-07,0.3449488695108435,28.389802600024268
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,0,4.959046577823756e-07,0.1811308710000948,14.875263200025074
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,3,4.999620273338223e-07,0.5796190879652972,31.657549199997447
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,2,4.98993074415921e-07,0.3003930733877144,19.0599857000052
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,1,4.999885732104303e-07,0.18476993114904022,22.147197299986146
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,5,4.999814109396539e-07,0.226238327510158,21.24776609998662
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,4,4.999542966288573e-07,0.30263764747397803,21.913252099999227
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,11,4.999047860110295e-07,0.5113263922076637,24.699127300002147
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,3,4.999247948944685e-07,0.25489979960606035,25.810124999959953
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,4,4.999925522497506e-07,0.45948280104557704,49.08824720000848
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,8,4.999902216695773e-07,0.3046657860272451,29.300079899956472
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,0,4.999852194487175e-07,0.18354911519469766,25.077534899988677
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,2,4.995756626158254e-07,0.2019705722670245,21.66059210000094
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,10,4.999446900910698e-07,0.23106509160307215,30.08280710002873
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,11,4.999280349693436e-07,0.31044062908783027,35.207449199981056
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,3,4.999933480576146e-07,0.21670953455350167,32.351630399993155
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,5,4.99998520808731e-07,0.1991878781866244,27.522027599974535
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,1,4.99989937452483e-07,0.16861871138059856,38.390476100030355
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,6,4.999847647013667e-07,0.2030378590551839,28.05482870002743
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,7,4.999993734600139e-07,0.2634869083948944,50.894769500009716
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,6,4.999997713639459e-07,0.276886990552764,52.627155800000764
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,0,4.999885732104303e-07,0.1475453256666386,23.887367899995297
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,2,4.982053383173479e-07,0.1545094511496165,20.97276759997476
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,4,4.998915414944349e-07,0.1788409070306407,39.99457799998345
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,8,7.458340292032517e-07,0.4337785431262495,64.79970889998367
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,10,5.095259894005721e-07,0.3470093414256165,64.34597309998935
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,9,1.1016870757885044e-06,0.317848956640442,66.98784240003442
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,1,4.995657718609436e-07,0.1302791660535545,32.285313299973495
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,4,4.997683049623447e-07,0.151505144428984,23.335815700003877
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,10,4.999771476832393e-07,0.2075706789480701,40.04177260003053
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,30,9,8.167539249370748e-07,0.29434610004465,70.02974430000177
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,3,4.998011036150274e-07,0.13916097788805354,32.78233140002703
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,0,4.998906319997332e-07,0.1338734938707815,17.859452200005762
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,5,4.998998406335886e-07,0.1423236406081423,29.449422999983653
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,1,4.999834573027329e-07,0.1154247901826293,23.948026400001254
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,7,4.999901079827396e-07,0.12166637718729664,37.63871680002194
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,10,4.989670401300828e-07,0.17459255900472875,31.17536710004788
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,3,4.993298716726713e-07,0.08626880560720579,25.713130999996793
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,7,5.867368031431397e-07,0.177491687917631,71.0755459999782
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,11,4.999917564418865e-07,0.22913304361729123,61.272807399975136
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,8,6.799939455959247e-07,0.2051636374051993,73.5210756000015
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,40,9,8.635629455966409e-07,0.27503828450265566,70.92541860003257
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,8,4.99994030178641e-07,0.1712410806409252,44.992607399995904
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,5,4.9881748509506e-07,0.12786568285255043,29.52220310003031
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,11,4.998935310140951e-07,0.13788970098979061,43.621012999967206
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,10,4.989035460312152e-07,0.14520166664724513,25.994719000009354
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,4,4.999881753064983e-07,0.1425435300772106,39.78458119998686
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,0,4.998411782253243e-07,0.11120337012605484,20.31508779997239
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,1,4.990346837985271e-07,0.10091950937360626,23.70906569994986
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,7,4.999866973776079e-07,0.13718745535219878,41.158072000020184
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,6,5.382551080401754e-07,0.10697750481314734,73.87181500002043
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,5,4.994377036382502e-07,0.11315136006354225,29.157862699998077
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,11,4.99963789479807e-07,0.129464386858394,41.59791509999195
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,7,4.998452709514822e-07,0.10551389592087457,28.237521399976686
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,2,7.243205004670017e-07,0.12223681228025933,68.7351966999704
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,0,4.9891627895704e-07,0.12025361741025935,22.944979499967303
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,50,9,1.0219470141237252e-06,0.18708541098472575,76.80229009996401
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,10,4.999945417694107e-07,0.13440712893630571,27.583519999985583
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,3,4.999475322620128e-07,0.09786796458195329,40.6648423000006
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,4,4.99997270253516e-07,0.13141113237589314,41.77896220004186
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,11,4.999070597477839e-07,0.07756837945120283,30.46010909997858
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,1,4.993823381482798e-07,0.09686351912973094,26.736353999993298
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,6,5.94476318838133e-07,0.09324581016183033,77.87935060000746
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,4,4.998822191737418e-07,0.09756920557601645,26.111213099968154
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,5,4.999531029170612e-07,0.08592382353476412,25.662034199980553
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,8,6.427305834222352e-07,0.13151177012207813,78.69300410000142
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,60,9,1.0155922609556e-06,0.16885698942299304,77.6053142999881
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,10,4.999399152438855e-07,0.08794001306373062,23.916913100052625
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,90,0,4.999820930606802e-07,0.0701431927896833,25.211115399957635
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,3,4.999144493922358e-07,0.08581801939686236,40.8923964999849
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,11,4.999974976271915e-07,0.04902205218039935,30.448484599997755
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,70,2,3.6829871987720253e-06,0.17142368532725613,76.19104410003638
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,80,7,4.999965881324897e-07,0.09133872160357297,38.94488480000291
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,90,1,4.999580482945021e-07,0.06578820314295848,34.40911460004281
