problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,1,4.651481901873922e-07,0.5068402081780501,55.463184599997476
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,0,4.989348099115887e-07,nan,71.39221010002075
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,2,4.988028763364127e-07,0.8252892801233549,76.06035270000575
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,4,4.976034801984497e-07,0.2063076028159154,72.52325129997917
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,3,4.998482836526819e-07,0.7917958207845518,95.75687380001182
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,6,4.993125912733376e-07,nan,64.2227780999965
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,9,4.972912392986473e-07,nan,52.64591860002838
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,5,4.997765472580795e-07,nan,103.1082435999997
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,8,4.940682174492395e-07,nan,65.8911355000455
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,11,4.857183171225188e-07,nan,54.24089770001592
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,1,4.973242084815865e-07,nan,78.18541799997911
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,0,4.99402688092232e-07,nan,91.95914999995148
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,7,5.342021154319809e-07,0.3116981949838058,132.12189030001173
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,10,4.999517386750085e-07,nan,113.7906177000259
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,9,4.94174571485928e-07,nan,68.06753619998926
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,10,4.995347353542456e-07,0.16106140332786736,71.7441577000427
