problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,4.6473584802697587e-07,1.1419492651319088,28.38839979999466
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,4.82372342958115e-07,1.0495832059443138,34.607783399987966
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,4.885652629127435e-07,0.5875183718690692,40.75702269998146
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,3,4.930010959469655e-07,0.2528713040671453,41.919944400026
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,4,4.6541393317056645e-07,0.72927929908213,38.83197470003506
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,5,4.901655756839318e-07,0.5094115975282462,34.58471210004063
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,6,4.936432560498361e-07,0.5610653031279415,35.61418429994956
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,7,4.830960733670508e-07,0.7603915930296257,42.969405300042126
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,8,4.548271874682541e-07,1.225752011788426,33.98436350002885
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,9,4.648991875910724e-07,0.5050524805489633,34.19248039997183
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,10,4.806338438356761e-07,1.1850241061292084,33.50184639997315
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,11,4.652025040741137e-07,0.7180996741421839,34.66579020000063
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,4.983492090104846e-07,0.9247420704442533,36.66322869999567
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,4.7019543103488104e-07,1.2063886006807443,37.60586940002395
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,4.967841960024089e-07,0.9364020640213244,36.06136900000274
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,3,4.872965178037703e-07,1.105236230590184,42.11296279996168
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,5,4.898024030808301e-07,0.944307181114134,33.62684779998381
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,4,4.816142791241873e-07,1.2014002948726366,37.26160730002448
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,7,4.990988031750021e-07,0.7414606599619774,41.10655199998291
