problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,4.984736960977898e-07,0.5535080448776972,22.31417909997981
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,4.98540998705721e-07,0.6174080325003669,19.02723160001915
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,4.992550088900316e-07,0.5762434321139827,26.281125099980272
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,3,4.999652674086974e-07,0.6255648909262169,25.153189400036354
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,4,4.998291274205258e-07,0.5563676703141297,25.004847400006838
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,6,4.965140760759823e-07,0.6953109526354676,18.031866699981038
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,7,4.991205742044258e-07,0.7162567432910376,17.87503649998689
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,5,4.99816792398633e-07,0.7545195543488376,27.77518420002889
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,8,4.947881393491116e-07,0.6020377618850945,18.049394500034396
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,9,4.98193458042806e-07,0.5829982952942553,20.290931899973657
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,11,4.992691060579091e-07,0.5660984736471225,21.215837199997623
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,10,4.996667826162593e-07,0.5935569810019994,26.660082299960777
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,4.99637508255546e-07,0.3202677873484315,24.023373399977572
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,4.993911488782032e-07,0.3398706699252939,26.646373899944592
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,4.997977498533146e-07,0.31320017209277506,30.745220999990124
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,3,4.996234110876685e-07,0.30825459333455146,26.215385799994692
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,5,4.98121607961366e-07,0.34920686162160675,25.114707199973054
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,4,4.998279337087297e-07,0.2798076392484374,29.373590100032743
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,7,4.994719802198233e-07,0.37048780326709124,28.626413299993146
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,8,4.989606168237515e-07,0.3141997910811719,26.215140099986456
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,10,4.99405132359243e-07,0.31380118524825873,24.830291699967347
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,6,4.998485678697762e-07,0.2951867503529323,36.52236270002322
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,11,4.993070206182892e-07,0.32166643074070594,24.115421399998013
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,9,4.998914278075972e-07,0.34378723624733015,37.09778609999921
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,4.998338454242912e-07,0.17271219315403105,27.762830800027587
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,4.999297402719094e-07,0.2059529819440215,28.896754699992016
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,3,4.998268536837713e-07,0.18933790551475624,31.002486400015187
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,4.993235052097589e-07,0.19847049290708785,35.86171239998657
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,7,4.98611257171433e-07,0.20984495570114348,23.01081280002836
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,5,4.986391672900936e-07,0.21777085262454984,25.390293800039217
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,4,4.999246243642119e-07,0.17563516644456334,25.84682510001585
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,8,4.998432814318221e-07,0.16247712611948703,24.69245840003714
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,6,4.999571387998003e-07,0.2004720715940728,30.19327109999722
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,10,4.998494205210591e-07,0.20592295969355753,27.20559719996527
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,4.997883706892026e-07,0.11126434907767999,31.542190500011202
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,3,4.998867098038318e-07,0.10458342144197365,27.83558880002238
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,11,4.997092446501483e-07,0.16525890961213635,37.50280610000482
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,4.999404268346552e-07,0.12861700885945898,35.402843500021845
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,4,4.997777409698756e-07,0.12188669399113594,28.6110676000244
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,7,4.999604357180942e-07,0.09891798568283677,27.459286299999803
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,9,4.99945429055515e-07,0.19381327461757358,43.61318849999225
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,5,4.999681095796404e-07,0.15198847169050633,30.348557099991012
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,4.999465659238922e-07,0.14432091927176388,35.851941300032195
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,8,4.998933604838385e-07,0.131439066082228,32.96579569997266
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,10,4.999769203095639e-07,0.1255991383443089,32.10910750000039
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,6,4.996339271201578e-07,0.10375248091373712,38.47946260002209
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,9,4.997727955924347e-07,0.14315837191224337,40.356338699988555
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,4.999921543458186e-07,0.08368422146176774,39.893640299967956
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,11,4.99970326472976e-07,0.09556689958180109,44.17013260000385
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,4.999900511393207e-07,0.06481870045732387,42.01785100001143
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,7,4.998108238396526e-07,0.06356574996594057,32.322306899994146
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,3,4.999832867724763e-07,0.06730590610678433,37.27024759998312
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,4,4.999222369406198e-07,0.06270404591558916,37.2628970000078
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,4.997817768526147e-07,0.08384637646659791,39.340976399951614
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,5,4.998676104150945e-07,0.12281952347087749,37.862574799975846
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,6,4.999257612325891e-07,0.07497890468008209,40.9813465999905
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,10,4.99985844726325e-07,0.08381257322805333,36.52427069999976
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,8,4.999966449759086e-07,0.0791516770366641,45.10351739998441
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,11,4.999207590117294e-07,0.04371265866485949,40.91917990002548
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,9,4.999994871468516e-07,0.09325355382535189,52.074001399974804
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,0,4.999830593988008e-07,0.068908798358475,44.92868739995174
