problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,4.996164193471486e-07,1.3026472913126628,27.73856570001226
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,4.999930069971015e-07,1.2870224949712294,33.45638129999861
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,4.988310138287488e-07,1.4954050027886485,37.612597100029234
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,5,4.980649919161806e-07,1.4348247585795078,26.30350549996365
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,6,4.993286211174564e-07,1.644427352025378,27.742423499992583
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,4,4.991422883904306e-07,1.456849848078846,37.32837450003717
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,3,4.998190092919685e-07,1.4022293641865378,41.042070500028785
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,7,4.99747784488136e-07,1.6824808585109567,28.590081900008954
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,9,4.990758952772012e-07,1.4553531475632984,23.864148499967996
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,10,4.996867346562794e-07,1.3355050041171252,23.720011700002942
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,8,4.999587304155284e-07,1.5540655197319688,31.56012089998694
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,11,4.998558438273903e-07,1.616646873886455,27.28798259998439
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,7.718346637375362e-07,0.7506137561855071,67.80538440000964
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,5.307736046233913e-07,0.7963546647107567,66.72399530000985
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,9.90361627373204e-07,0.4814346245949951,67.98454780003522
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,3,8.694906910022837e-07,0.7431023338273764,66.01628579996759
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,4,5.45161810805439e-07,0.7146059462826938,68.34150199999567
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,5,1.312146196141839e-06,0.7649355401368344,66.58669169998029
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,6,1.0896523008341319e-06,0.9096712288025347,65.22936460003257
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,7,8.324169584739138e-07,0.7530435009208365,62.963450699986424
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,8,1.1201663028259645e-06,0.8968815502294567,64.77662540000165
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,10,7.193534088401066e-07,0.7167512404231388,61.47350010002265
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,9,9.052204745785275e-07,0.9153908833477128,62.49577949999366
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,11,9.492138133282424e-07,0.7899437107743039,62.419525099976454
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,0,1.144043380918447e-06,0.38286638730094535,66.14485939999577
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,2,1.0047518799183308e-06,0.4592464481146516,65.30316700000549
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,1,1.8727515680438955e-06,0.2897515268739686,67.82365479995497
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,3,8.56612246025179e-07,0.523338830051254,65.75719680002658
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,4,8.801314947959327e-07,0.41467524723743415,63.13647899997886
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,5,1.341688516731665e-06,0.4924112980805107,65.66455470002256
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,6,1.4800225471844897e-06,0.4317762592863463,64.2445881999447
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,7,9.09187292563729e-07,0.48979403212601036,65.94108900002902
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,9,8.803899049780739e-07,0.49011046294089183,64.67045699997107
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,8,8.08435515864403e-07,0.4803903900065692,65.90973370004212
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,10,1.1347431154717924e-06,0.4423598233586558,65.84115479997126
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,11,1.2770586863553035e-06,0.44997339860927954,64.71029899996938
