problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,0,4.999554334972345e-07,0.4874229971222659,15.83145009999862
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,1,4.998960889679438e-07,0.56621774702437,12.366923800029326
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,2,4.998146323487163e-07,0.6566711892456554,17.6968214000226
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,3,4.996605866836035e-07,0.7449016189413054,12.172629199980292
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,5,4.997680207452504e-07,0.5984655736891258,10.633096700010356
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,4,4.967507152286998e-07,0.77663113826427,16.92592940002214
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,7,4.993024731447804e-07,0.7571061720845947,12.778271599963773
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,6,4.998610165785067e-07,0.8488169902005104,15.536911300034262
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,8,4.998673830414191e-07,0.8050482931359166,12.105250700027682
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,10,4.978563765689614e-07,0.9131296182476669,13.422023200022522
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,9,4.998266263100959e-07,0.6330282987984301,19.35716670000693
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,11,4.997463065592456e-07,0.8691445413049473,16.07522629998857
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,0,4.999860152565816e-07,0.5239188089118234,25.174335700052325
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,1,4.999702127861383e-07,0.6453580509486359,28.06123920000391
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,2,4.999602651878376e-07,0.6582743058949033,28.23364579997724
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,3,4.996475126972655e-07,0.6443119696741268,27.72140819998458
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,4,4.999787392989674e-07,0.6257210455884212,28.684518299996853
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,7,4.99863745062612e-07,0.6181422960709666,19.212541600049008
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,5,4.999108682568476e-07,0.4764818002101335,22.890274700010195
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,6,4.999694169782742e-07,0.5958154012547638,28.321756199991796
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,8,4.997187943445169e-07,0.6219795304902537,29.09752730000764
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,11,4.987894612895616e-07,0.6702351867411119,23.42030190001242
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,10,4.989634021512757e-07,0.6677298943361097,26.449081400001887
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,9,4.996181814931333e-07,0.5012295527712461,28.75953879998997
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,0,4.999967018193274e-07,0.42401438985255235,52.815547800040804
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,2,4.99998122904799e-07,0.49088255409474424,50.56396900000982
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,5,4.999907901037659e-07,0.4259927069567385,38.951823400042485
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,1,9.541291774439742e-07,0.48871432581446034,73.65083240001695
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,4,7.153273031690333e-07,0.5128935218661589,70.60213770001428
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,3,5.364494768400618e-07,0.5477334951442469,72.15809169999557
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,6,8.406092888435523e-07,0.426435376564328,73.97282729996368
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,7,6.012054996062943e-07,0.518459841643386,69.94833380001364
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,8,5.671591907230322e-07,0.48785139852927895,70.322174299974
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,9,9.370860993840324e-07,0.4755694928586327,70.09197710000444
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,10,5.201367230256437e-07,0.5889432447124958,70.60190020001028
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,11,2.1360660866776016e-06,0.5485267674031559,71.66198950004764
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,0,1.0703931820899015e-06,0.3710818969862779,72.81352569995215
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,2,1.3300955288286787e-06,0.4586314876143884,71.12112059997162
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,1,2.0654977106460137e-06,0.4700103962473582,73.88058930000989
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,3,1.2427412912074942e-06,0.409837874111777,72.26847609999822
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,4,2.4794478576950496e-06,0.45125865162183876,73.8250939999707
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,5,1.2285679531487403e-06,0.3306860970712638,72.59192580002127
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,6,3.905792709701927e-06,0.42302155916294254,74.38052290002815
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,7,2.615462790345191e-06,0.43939702215098736,73.84448680002242
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,8,1.3146512856110348e-06,0.4564972387246565,71.09872419998283
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,10,1.0088244835060323e-06,0.43311700917325024,71.03980309999315
