problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,0,4.945978162140818e-06,0.577114581182139,2.0144088999950327
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,2,4.920321316603804e-06,0.7025940290983478,0.8989235000335611
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,1,4.933193395117996e-06,0.4902561662191355,1.7329247000161558
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,3,4.99086036143126e-06,0.6378656856608002,1.3956557999481447
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,4,4.997718860977329e-06,0.7562718173588518,0.8440459000412375
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,7,4.960598289471818e-06,0.47357302007579954,1.252632999967318
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,6,4.957101282343501e-06,0.822911109690657,2.1950802000355907
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,8,4.842504949920112e-06,0.6715546719224718,0.826945099979639
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,5,4.990117759007262e-06,0.8768247377661972,3.4461860000155866
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,11,4.942155555909267e-06,0.5587057727747882,0.9522774999495596
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,9,4.951170922140591e-06,0.5885136524909325,1.644086399988737
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,0,4.852916390518658e-06,0.45505852335674335,1.5116138000157662
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,1,4.983372946298914e-06,0.2800767849699098,1.6196417000028305
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,2,4.920186711387942e-06,0.412294086944578,1.7516422999906354
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,10,4.997151336283423e-06,0.6226990422281906,3.713318799971603
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,4,4.844215709454147e-06,0.43083148241207864,1.1153149000019766
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,3,4.9416398724133614e-06,0.5141282546393233,1.510521499963943
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,6,4.898828137811506e-06,0.5244028770600597,1.4334916999796405
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,7,4.971450835000724e-06,0.3856938818644504,1.2240741000277922
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,8,4.8768497435958125e-06,0.4893330129485621,1.15905760001624
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,5,4.966445885656867e-06,0.5740705657465262,2.590227899956517
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,11,4.950496531819226e-06,0.3527350935577631,1.513033399998676
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,9,4.992209142073989e-06,0.45497247063361973,2.171600200003013
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,0,4.995824383513536e-06,0.34079168701760104,2.4897389000398107
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,10,4.962289040122414e-06,0.5190978828794041,2.83819370000856
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,1,4.97606606586487e-06,0.2491895368673253,1.4776451000361703
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,2,4.920349056192208e-06,0.303157679855391,1.658822900033556
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,4,4.9021750783140305e-06,0.3668754016823159,1.4871852999785915
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,3,4.984458882972831e-06,0.42379530671126325,1.6253965999931097
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,8,4.98366853207699e-06,0.39374406707948356,0.9671637000283226
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,5,4.987163720215904e-06,0.49766697065227855,2.3059197000111453
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,7,4.9896952987182885e-06,0.31199779798392774,1.274443499976769
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,6,4.97442442792817e-06,0.3662775090366195,2.1104552999604493
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,9,4.988668933947338e-06,0.3030639365689151,2.297486099996604
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,11,4.8839469855010975e-06,0.2823262288127898,1.3089114999747835
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,1,4.945208729623118e-06,0.19726252202656921,1.9136887000058778
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,3,4.93424704473e-06,0.3206696144635855,1.10477690002881
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,0,4.984990482626017e-06,0.27695326593396363,2.455891799996607
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,2,4.861819434154313e-06,0.24086820508209608,1.3143603000207804
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,10,4.968841494701337e-06,0.4232370665599636,2.9859408999909647
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,4,4.903927219856996e-06,0.3352990180938139,1.1502166000427678
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,8,4.871151759289205e-06,0.30343000103822504,1.1937697000103071
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,7,4.964713752997341e-06,0.24507478575691793,1.7378791000228375
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,6,4.965495918440865e-06,0.3361192641517831,2.2844575999770314
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,9,4.940309281664668e-06,0.276469269528852,1.6734010000363924
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,5,4.9653949645289686e-06,0.32969097826024263,2.7814020999940112
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,11,4.834795163333183e-06,0.21828017670745767,1.060509099974297
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,50,1,4.9425966608396266e-06,0.18799496295578294,1.3593497999827377
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,50,2,4.97215705763665e-06,0.26088849817816273,1.401516799989622
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,10,4.9890268201124854e-06,0.3253918845270439,2.861894499976188
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,50,0,4.947259640175616e-06,0.22972777948112214,2.353479099983815
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,50,4,4.920033006783342e-06,0.26313572646078903,1.4563489999854937
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,10,100,50,3,4.941067345498595e-06,0.30162755156426424,1.7178987000370398
