problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,4.997135874873493e-06,8.61876272830166,5.18305530003272
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,4.9980144467554055e-06,9.616262704399883,4.249598600028548
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,4.998438726033783e-06,8.531826837358237,6.051726799982134
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,3,4.9989876060863025e-06,9.03861790267193,5.749237100011669
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,4,4.998240910936147e-06,8.192237997716678,4.269557599967811
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,5,4.9999889597529545e-06,9.080441841944118,5.733667200023774
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,7,4.9964469326369e-06,10.20007833913213,4.343485999968834
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,8,4.996599727746798e-06,8.328361576813991,4.906673699966632
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,6,4.996783900423907e-06,8.780574660163094,7.990763799985871
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,10,4.99989937452483e-06,8.128150528584909,4.123646399995778
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,9,4.997451469535008e-06,12.207561506521957,6.1889514999929816
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,11,4.997834821551805e-06,8.04402232679432,5.888493500009645
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,4.999387783755083e-06,3.6419962683643137,11.314252000011038
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,4.9967970880970825e-06,3.7402410590962596,9.959684000001289
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,4.998742042516824e-06,2.8814722435234295,12.361473899974953
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,3,4.998818440071773e-06,3.4683869086205177,10.607724100002088
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,4,4.997920768801123e-06,3.443095238744218,12.268468599999323
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,7,4.9983391363639385e-06,4.015358736008837,10.805088800028898
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,5,4.9972213673754595e-06,3.6473481050675223,12.704140999994706
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,6,4.999496013624594e-06,3.5842284207806707,15.805217299959622
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,8,4.998549684387399e-06,3.9347705752330024,10.80659980000928
