problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,4.998667918698629e-06,5.9945104458376575,3.983806700038258
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,4.995873041480081e-06,6.509052060246297,5.411352400027681
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,4.997620635549538e-06,6.452170965108211,5.132646499958355
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,4,4.997230007575126e-06,5.8794730836457845,3.889192099974025
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,3,4.998638814868173e-06,7.049357315696823,5.071466900000814
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,5,4.997410997020779e-06,6.890764485433246,3.3488379000336863
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,6,4.996645657229237e-06,7.709394379629146,5.526627500017639
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,7,4.995593826606637e-06,7.570834464175477,4.801236199971754
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,8,4.995041763322661e-06,6.212614812263648,5.44363669998711
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,10,4.99596490044496e-06,6.878203823298615,4.104212299978826
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,9,4.99682664667489e-06,5.7911390951837305,4.41350990004139
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,11,4.9988916543952655e-06,6.143905718729422,5.473857200006023
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,4.996683856006712e-06,3.0399087691830378,9.946495899988804
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,4.9962682169280015e-06,3.0841942886527014,10.620057400024962
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,4.99936595588224e-06,3.1030697023842992,9.242278499994427
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,3,4.985981377103599e-06,2.8659810912034964,10.144325300003402
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,4,4.998749773221789e-06,2.9498353441905603,9.932571700017434
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,5,4.999520115234191e-06,2.8694341724249077,10.395996199978981
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,7,4.995669314666884e-06,3.277090814166216,8.32390449999366
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,6,4.999618340661982e-06,3.1256076132298616,11.134307999978773
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,8,4.99846828461159e-06,2.84178323871474,9.10680730000604
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,9,4.991120476915967e-06,3.250971227725309,9.577663199976087
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,10,4.996243205823703e-06,3.5402134117148587,9.265832100005355
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,11,4.997861196898157e-06,3.0252473672955706,10.122646199946757
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,4.999122666049516e-06,1.6548571011010924,13.634867799992207
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,4.961673766956665e-06,1.667566102508089,12.791480100015178
