problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,0,4.965737389284186e-06,nan,10.441599800018594
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,1,4.970194368070224e-06,1.8867989230962632,9.865216399950441
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,3,4.993401944375364e-06,1.6280594526565606,8.134117799985688
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,4,4.96500069857575e-06,2.4830840591438985,8.553273400000762
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,2,4.926340352540137e-06,0.2514902779878011,9.315806599974167
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,5,4.802745934284758e-06,1.4443586985278642,9.42128439998487
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,10,4.9700611270964146e-06,1.296373850868368,8.176091100031044
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,6,4.984798124496592e-06,1.8001935004541954,10.050501799967606
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,8,4.985401119483868e-06,1.0015159471863702,9.347427300002892
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,7,4.9839200073620304e-06,1.7594400860141952,10.362450600019656
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,9,4.98984991281759e-06,1.5360416429836605,10.968974800023716
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,11,4.7719627218612e-06,nan,11.12734280002769
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,0,4.965232164977351e-06,nan,12.567837600014172
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,1,4.961134436598513e-06,nan,12.486516700009815
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,4,4.958924364473205e-06,0.6458678373903818,11.874847900005989
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,3,4.943011845170986e-06,0.17590799026033363,12.474765399994794
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,2,4.9353911890648305e-06,nan,13.208835700002965
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,5,4.960670594300609e-06,nan,11.989557900000364
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,8,4.985130090062739e-06,nan,12.151562700048089
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,7,4.900677595287561e-06,0.683307244396346,13.138625599967781
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,6,4.980060111847706e-06,nan,13.632519999984652
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,9,4.69946144221467e-06,1.3385930253164997,13.543935399968177
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,10,4.993257334717782e-06,0.5145142341918512,14.341093599970918
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,11,4.976208401785698e-06,nan,15.292814499989618
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,0,4.894070571026532e-06,nan,15.634293999988586
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,1,4.918173544865567e-06,0.6076255081379982,16.086782199970912
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,4,4.969710516888881e-06,0.6774846549098402,14.91444100002991
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,2,4.940116468787892e-06,nan,17.43481740000425
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,3,4.462643119040877e-06,nan,15.812807699956466
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,5,4.955572876497172e-06,nan,15.645459699968342
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,6,4.9975756155618e-06,nan,16.144978899974376
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,8,4.97796918352833e-06,nan,14.412371999991592
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,7,4.932553110847948e-06,0.501778660653769,17.18736280000303
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,9,4.999961674911901e-06,0.6205234667247859,15.36133929999778
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,10,4.937252015224658e-06,nan,16.152977199992165
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,11,4.969914698449429e-06,nan,17.93750620004721
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,0,4.973807790520368e-06,nan,17.731211100006476
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,1,4.978562628821237e-06,nan,17.78024120000191
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,3,4.939667178405216e-06,nan,16.169399000005797
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,2,4.9921704885491636e-06,nan,17.860157000017352
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,4,4.971139787812717e-06,0.6182836202006156,17.74212459998671
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,5,4.977146090823226e-06,0.18661606772632425,18.990911399945617
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,8,4.960082605975913e-06,0.3517560885704583,16.234238200006075
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,6,4.979161985829705e-06,nan,18.5462595000281
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,7,4.950618404109264e-06,0.1986765131202097,18.594931199972052
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,9,4.962524599250173e-06,0.45975895446154375,19.11240139999427
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,10,4.837768301513279e-06,nan,19.208528399991337
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,0,4.994188202545047e-06,0.18880304210332333,20.061391700000968
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,11,4.990951310901437e-06,0.09655230837895717,20.241194600006565
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,1,4.98891131428536e-06,0.1416223136161382,20.13059960003011
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,3,4.8361398512497544e-06,nan,19.013265699963085
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,2,4.999422799301101e-06,nan,19.85717149998527
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,4,4.997146334062563e-06,0.0031332930951185503,19.585878200014122
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,5,4.846884166909149e-06,0.20472158531176762,19.167368500027806
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,6,4.948970399709651e-06,0.18097265055416306,20.188793800014537
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,8,4.927457666781265e-06,0.2591141948863369,18.925693199969828
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,9,4.993177299184026e-06,0.35581411185735534,19.451912199961953
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,7,4.994768914912129e-06,nan,23.451117900025565
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,11,4.9890668378793634e-06,nan,20.508018900000025
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,10,4.900197382085025e-06,nan,22.548030000005383
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,0,4.999222710466711e-06,0.1531549570450649,21.702142800029833
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,3,4.968537268723594e-06,0.134774003561323,19.8791192000499
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,1,4.9654790927888826e-06,0.05596534822787164,22.267170900013298
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,2,4.998409167455975e-06,nan,23.23331350000808
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,4,4.968070243194234e-06,nan,21.841660700039938
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,5,4.995832114218501e-06,0.1167866759222226,20.82719659997383
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,8,4.985476152796764e-06,0.21729381795971872,19.070771600003354
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,6,4.993674792785896e-06,0.10621137807505777,23.0077177999774
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,9,4.81739789393032e-06,0.26037512887074277,21.157133500033524
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,10,4.99998168379534e-06,nan,21.584700100007467
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,11,4.9976538321061525e-06,nan,21.614728799962904
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,7,4.9430614126322325e-06,0.127441563824842,22.825454299978446
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,1,4.944231477566063e-06,0.11106394089081449,23.22927609999897
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,3,4.990733486920362e-06,0.13160114893969638,21.386138500005472
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,0,4.873895704804454e-06,0.23958475706909266,25.89541850000387
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,2,4.953285497322213e-06,nan,26.92251010000473
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,5,4.98006738780532e-06,0.13732576414305486,23.025542800023686
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,4,4.885495854978217e-06,nan,26.117207999981474
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,8,4.923585947835818e-06,0.15078261619624153,22.259498000028543
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,6,4.973553586751223e-06,0.08269064525566655,25.340567199978977
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,9,4.926566361973528e-06,0.1394407317761063,23.64357449999079
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,7,4.942370651406236e-06,0.1258748462846803,25.79718219995266
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,10,4.996229563403176e-06,nan,24.54873330000555
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,11,4.987472948414506e-06,nan,24.264289299957454
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,1,4.924856057186844e-06,0.07074023845686889,23.995613600010984
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,0,4.9926766223507e-06,0.14526335388263023,26.16944179998245
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,3,4.993217771698255e-06,0.12135243819287288,23.800963000045158
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,2,4.9989034778263886e-06,0.06544858615012732,26.436009900004137
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,5,4.951888058712939e-06,0.11206597770420282,26.323424000001978
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,6,4.996291409042897e-06,0.12567494640276503,26.900851199985482
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,8,4.951130449626362e-06,0.11474798061950922,24.082339800021145
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,4,4.882078883383656e-06,nan,28.491456000017934
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,7,4.8027677621576e-06,0.08525976775456799,29.702044199977536
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,10,4.888785042567179e-06,nan,25.35096800001338
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,9,4.9056116040446796e-06,0.10534218761625234,27.182285699993372
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,11,4.951803020958323e-06,nan,26.45176819997141
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,0,4.96718621434411e-06,0.11572340397370609,26.321553600020707
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,1,4.990221441403264e-06,0.06909397393681341,26.467575400019996
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,3,4.973308932676446e-06,0.09515880139325132,25.988032200024463
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,5,4.964043000654783e-06,0.08910999398679086,26.09336160001112
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,2,4.967961103830021e-06,0.06619945257243845,29.384565200016368
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,4,4.999888005841058e-06,nan,29.086657899955753
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,6,4.99570842293906e-06,0.057886157579787614,27.361328899976797
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,9,4.98574081575498e-06,0.09451250725290956,25.767502899980173
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,8,4.927835107082501e-06,0.07833938976577239,26.34577289997833
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,7,4.993935363017954e-06,0.07880703093397858,30.354778999986593
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,11,4.997596533939941e-06,nan,27.272027100028936
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,10,4.975139290763764e-06,0.0137687927898733,27.894451899977867
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,1,4.959674242854817e-06,nan,27.251066000026185
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,3,4.9053992370318156e-06,0.07137731128542357,27.89059379999526
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,5,4.958455974701792e-06,0.08029930468323179,27.186280300025828
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,2,4.997325049771462e-06,0.03464842431386557,30.736593800014816
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,0,4.984206043445738e-06,0.07170659053997538,32.356163099990226
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,4,4.943254225509008e-06,nan,30.761893299990334
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,6,4.99028601552709e-06,0.06176730163616047,29.99649979994865
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,8,4.989672106603393e-06,0.06531161972978679,26.132222300046124
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,9,4.884480858891038e-06,0.0785192485718636,28.967676399974152
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,7,4.970991994923679e-06,0.05114474975384688,31.947389300039504
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,10,4.978017841494875e-06,nan,29.40941759996349
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,11,4.9371178647561464e-06,nan,28.479817200044636
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,200,0,4.9928562475543e-06,0.020533711959538726,42.4901948000188
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,200,1,4.9808354560809676e-06,0.01614603741656622,40.990618099982385
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,200,2,4.992394678993151e-06,nan,43.41226779995486
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,200,3,4.971949692844646e-06,0.019071885249405177,44.976679700019304
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,200,5,4.921536401525373e-06,nan,44.78906859998824
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,200,4,4.98563849760103e-06,nan,47.926389100030065
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,200,6,4.879671905655414e-06,0.014889853567357628,43.40654909994919
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,200,9,4.991110927221598e-06,0.017421825154941194,40.88234250003006
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,200,8,4.988524779037107e-06,0.015870843936365918,42.33795860002283
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,200,7,4.992127287550829e-06,0.022059617358494658,46.200794400007
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,200,10,4.978099696018035e-06,nan,44.173492999980226
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,200,11,4.967720542481402e-06,0.017607952963640615,44.786720099975355
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,300,0,4.949319645675132e-06,nan,55.897400599962566
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,300,1,4.998379608878167e-06,0.014927980044362226,53.992385199991986
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,300,2,4.989761237084167e-06,0.0010729645891691558,58.9880175999715
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,300,6,4.88005980514572e-06,0.009047413552807767,54.328320499975234
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,300,3,4.957515557180159e-06,0.010073630416908154,61.97304049995728
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,300,5,4.989777153241448e-06,nan,57.50833629997214
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,300,4,4.962350431014784e-06,nan,62.288126400031615
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,300,7,4.996677489543799e-06,0.010416035703941298,62.721712499973364
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,300,8,4.988268756278558e-06,0.008295776342078898,54.43066810001619
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,300,9,4.919352704746416e-06,nan,55.43526820000261
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,300,10,4.947769866703311e-06,0.006351601717294642,58.82034759997623
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,300,11,4.9789614422479644e-06,0.010751642013579525,57.84367079997901
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,400,1,4.973842806066386e-06,0.01039822367468604,68.44573869998567
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,400,2,4.991904461348895e-06,0.004794624249508711,69.6596194000449
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,400,0,4.9804416448751e-06,0.008984230299034454,71.25116240000352
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,400,5,4.997123596695019e-06,nan,71.50273150001885
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,400,3,4.943235580867622e-06,0.008331615528867025,74.309929799987
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,400,6,4.829733370570466e-06,0.00832999910572432,71.1643088000128
