problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,4.66227493234328e-06,1.6164021439601997,7.467364899988752
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,4.632518994185375e-06,0.9888609709461297,6.916734999977052
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,4.931970124744112e-06,1.863507659352843,6.197546700015664
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,3,4.919033017358743e-06,0.18803273285550884,4.689096599991899
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,7,4.95807034894824e-06,1.5811209253153948,3.225142000010237
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,8,4.999761586077511e-06,0.5167881772141469,2.7052683000219986
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,4,4.900922704109689e-06,2.864648656101447,6.123556300008204
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,5,4.856132818531478e-06,1.643812770149827,5.813426100008655
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,6,4.942797659168718e-06,0.6471989811937475,7.3107473000418395
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,10,4.988578893971862e-06,2.4643033973678614,4.0235536999534816
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,11,4.941634415445151e-06,1.801633941947682,4.094173100020271
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,9,4.852856818615692e-06,1.3745056694341713,5.001300200005062
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,4.914626060781302e-06,1.9655337809500288,4.940388699993491
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,4.847291165788192e-06,1.571634529166973,6.140632499998901
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,4.6657332859467715e-06,1.373453307080972,7.3803916000179015
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,5,4.97060273119132e-06,2.407090209869727,5.243220400006976
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,3,4.803055162483361e-06,1.8581394697018088,6.345265500014648
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,6,4.808754511032021e-06,1.1607941364355427,6.74304829997709
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,7,4.765438916365383e-06,0.9756039592601055,5.696444499946665
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,4,4.916812486044364e-06,3.1561679731044396,7.800042000017129
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,8,4.657491899706656e-06,1.5600441034334955,6.076563000038732
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,11,4.756939233629964e-06,2.7864425046807133,6.022072400024626
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,10,4.888398507318925e-06,1.4863558706954034,6.744138700014446
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,9,4.5420570131682325e-06,1.270229581838822,7.154942299996037
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,1,4.987890861229971e-06,2.0333592172056996,7.668014499999117
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,3,4.900133717455901e-06,2.0015087930734787,7.328046300041024
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,0,4.803694537258707e-06,1.996412500993538,9.206439800036605
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,4,4.98590497954865e-06,nan,8.589313600037713
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,2,4.523220923147164e-06,2.802861707988775,10.360585800022818
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,8,4.986702151654754e-06,1.8372012141612475,6.033799900033046
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,7,4.998203166906023e-06,2.3619062582684696,7.675507000007201
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,5,4.894287030765554e-06,2.73247960140881,8.230100200045854
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,6,4.7982935029722285e-06,1.125500056578321,10.311708899971563
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,9,4.878590516455006e-06,nan,8.681727499992121
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,10,4.9963282435783185e-06,1.6607766294112771,8.595344699977431
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,11,4.9408545237383805e-06,1.2007426086957562,8.14451710000867
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,1,4.937166522722691e-06,1.5220524435135623,9.150685200002044
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,0,4.469005489227129e-06,1.04414571863489,10.48057150002569
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,3,4.95110361953266e-06,2.0280069497324846,7.727086300030351
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,2,4.969409928889945e-06,1.5175946631110762,9.46018140000524
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,8,4.798189820576226e-06,2.2078863492601646,7.494417899986729
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,4,4.946700300934026e-06,1.4514642452758448,11.189012999995612
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,5,4.775321940542199e-06,1.5876742387188985,10.877915200020652
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,7,4.866715244133957e-06,1.3461110593748757,9.353650000004563
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,6,4.95688027513097e-06,1.6133398504669068,11.995372100034729
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,10,4.904614797851536e-06,2.025724596405056,9.530151100014336
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,11,4.987246938981116e-06,0.922641748512269,9.114679699996486
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,9,4.9954310270550195e-06,nan,10.739397800003644
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,3,4.963105766364606e-06,1.8527138555054061,9.057859699998517
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,0,4.978814104106277e-06,0.2515233336846001,12.294351599994116
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,2,4.791298579220893e-06,1.9323597312233491,11.686879399989266
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,1,4.929472197545692e-06,nan,12.784064900013618
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,8,4.986107342119794e-06,2.6262493846113704,8.368668099981733
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,7,4.957433702656999e-06,1.356039483474031,10.49174009996932
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,4,4.992697540728841e-06,nan,11.574691299989354
