problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,1,4.9995005610981025e-06,0.7953283614307852,5.467957200016826
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,0,4.999585598852718e-06,0.7337965781655093,9.301237199979369
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,2,4.999990323995007e-06,0.8748319856164966,5.062580599973444
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,3,4.99999669045792e-06,1.0747900563880515,5.573428399977274
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,4,4.997627456759801e-06,1.277781036666255,6.877739500021562
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,5,4.998599706595996e-06,0.8789096897415656,7.166570500005037
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,7,4.999398242944153e-06,1.113459280989101,5.873330199974589
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,10,4.995452400180511e-06,1.2115559731902166,4.8942838999792
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,6,4.9980667427007575e-06,1.4402712194729792,8.253738800005522
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,0,4.999498742108699e-06,0.5936918650017762,5.3981534000486135
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,8,4.998612439521821e-06,0.9699079942552381,7.849009600002319
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,11,4.999417797080241e-06,0.9634588726255282,5.88638360000914
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,2,4.999493285140488e-06,0.6938162275758667,5.476837399997748
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,1,4.9984951147052925e-06,0.6936663742941649,7.2547603999846615
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,3,4.9994282562693115e-06,0.7457211779732926,6.329136300017126
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,9,4.999529664928559e-06,1.0073919598698238,10.031003199983388
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,10,4.9994687287835404e-06,0.641965409200487,4.725994499982335
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,5,4.998918029741617e-06,0.6204389672334759,7.938342500012368
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,7,4.999907559977146e-06,0.8270533252905273,7.820652600028552
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,0,4.9996724555967376e-06,0.45320871685898984,6.943080299999565
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,11,4.9998170652543195e-06,0.7083241003472645,7.597788999963086
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,4,4.98880854138406e-06,0.8526286222797934,10.337191099999472
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,1,4.999953944206936e-06,0.5047860394048406,7.767946999985725
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,6,4.996266397938598e-06,0.8307715314523685,10.093767799960915
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,5,4.998577423975803e-06,0.42389606756796355,5.355260299984366
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,4,4.999659722670913e-06,0.6048682932201439,6.6864150000037625
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,3,4.999883003620198e-06,0.7975662521593976,7.320030300004873
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,10,4.997698397346539e-06,0.552426694057335,5.067671899974812
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,9,4.99786301588756e-06,0.5947283548548695,12.371893899980932
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,0,4.999340944777941e-06,0.3849081305725985,4.50875499995891
