problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,2,4.984804036212154e-06,0.7510714618776915,3.75680419994751
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,3,4.994065875507658e-06,0.6558733333939668,2.7445457000285387
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,4,4.986301519238623e-06,0.7750084710376899,3.5862264999886975
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,7,4.995330527890474e-06,0.5035557362092926,4.508361199987121
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,8,4.930578597850399e-06,0.679850466473428,2.155184100032784
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,6,4.999561951990472e-06,0.8323288950025385,11.159402800025418
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,11,4.996905772713944e-06,0.5958174623130015,4.0821519999881275
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,1,4.996078587282682e-06,0.31566152356483135,3.328601900022477
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,0,4.996950337954331e-06,0.48948785715122684,6.116765299986582
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,2,4.992357389710378e-06,0.43009481100802394,3.36057850002544
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,1,4.99964289701893e-06,0.5351045454650825,32.50388129998464
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,4,4.999645625503035e-06,0.47855599754072636,3.2433660000097007
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,0,4.9993400352832396e-06,0.5817206364003361,35.80012180004269
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,6,4.993032689526444e-06,0.56010903613335,4.797479000000749
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,5,4.9969171413977165e-06,0.6196476506392993,5.370774799957871
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,8,4.989739863958675e-06,0.49544222718333875,2.7318336999742314
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,7,4.99476436743862e-06,0.38778459849673197,4.430761000025086
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,11,4.9315026444674e-06,0.3684382900478505,4.862608399998862
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,1,4.994289156456944e-06,0.3057203330788745,4.5647313999943435
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,9,4.999975772079779e-06,0.6318971827118981,30.518135699967388
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,5,4.997194537281757e-06,0.5094247272571394,5.354850100004114
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,8,4.98759300171514e-06,0.3908424311277837,3.365052499982994
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,7,4.993419679522049e-06,0.3438410688454662,4.410869200015441
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,5,4.999684279027861e-06,0.8760095360178011,42.54064779996406
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,9,4.840936526306905e-06,0.33895554237135994,5.3552828000392765
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,11,4.995291419618297e-06,0.2755052054544855,5.356847100018058
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,2,4.989312401448842e-06,0.27816885896865495,2.574114700022619
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,3,4.99782709084684e-06,0.359117715966481,3.315398099948652
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,40,4,4.99604675496812e-06,0.3640909989207421,3.7175490999943577
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,3,4.998590156901628e-06,0.5279732926403067,35.096123399969656
