problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,0,4.999958946427796e-06,0.7108517040285481,9.538603099994361
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,1,4.994578375772107e-06,0.6463085288497474,8.361687599972356
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,3,4.998682470613858e-06,0.6354436109355082,10.770994899969082
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,2,4.965527750755427e-06,0.6088073102721042,13.014741400023922
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,5,4.9948021114687435e-06,0.5759330227174881,6.987515599990729
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,7,4.994504706701264e-06,0.5955546280986739,7.225200300046708
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,4,4.982203336112434e-06,0.6864793867469372,11.326477500027977
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,9,4.997371434001252e-06,0.6491145967405633,8.05122249998385
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,10,4.995376002625562e-06,0.6508311358710208,7.151292899972759
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,6,4.986727162759053e-06,0.5430847801120405,12.43814000004204
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,8,4.997963969799457e-06,0.7108531624850424,10.660396400024183
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,11,4.994448772777105e-06,0.6103376963836036,8.586393400037196
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,0,4.944835382048041e-06,0.622513597161343,13.751993399986532
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,1,4.984069619240472e-06,0.5875761356549984,15.472568599972874
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,3,4.999642442271579e-06,0.588016559308213,15.092012600041926
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,5,4.998589247406926e-06,0.5424469526042061,13.132693900028244
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,9,4.9926316023629624e-06,0.5725949186196667,12.95475410000654
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,7,4.998128133593127e-06,0.552592167270039,13.61715159995947
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,4,4.983621693099849e-06,0.5477359372556557,16.689011699985713
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,2,4.987718057236634e-06,0.5821500113057608,19.293643899960443
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,11,4.998782969778404e-06,0.5355999288871893,13.293401200033259
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,8,4.986224212188972e-06,0.570952155874607,15.26948000001721
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,6,4.999553311790805e-06,0.5237589984528758,16.06703550001839
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,10,4.974364401277853e-06,0.5301657274250147,19.17161209997721
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,3,4.97107430419419e-06,0.5366974151371714,15.604759000008926
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,5,4.996912139176857e-06,0.34763459147265685,16.234285700018518
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,0,4.996088591724401e-06,0.5390245868697088,20.825707599986345
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,1,4.999127213523025e-06,0.46514992167229624,18.07933650002815
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,9,4.997689302399522e-06,0.51442798924779,16.874046200013254
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,11,4.9987634156423155e-06,0.5069692492385828,16.638420100032818
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,4,4.9669570216792636e-06,0.510167119812194,19.674128699989524
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,7,4.963884293829324e-06,0.5207035448327203,19.741504599980544
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,2,4.999723387300037e-06,0.4998028089049491,22.672565500019118
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,8,4.960756541549927e-06,0.5120148063461689,20.305486800032668
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,6,4.99026054967544e-06,0.460004139553151,21.127362500003073
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,10,4.9997206588159315e-06,0.4918799429978545,20.17959170002723
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,0,4.995698418497341e-06,0.5121974343147477,21.77146310004173
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,3,4.936865934723755e-06,0.4606769533379312,17.62796419998631
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,1,4.995808012608904e-06,0.43867329819200784,22.180210699967574
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,2,4.9174796004081145e-06,0.47506214148941334,23.362989599991124
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,5,4.996234565624036e-06,0.41350070933362004,17.025046699971426
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,4,4.997775249648839e-06,0.4953457677678656,22.72838280000724
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,6,4.9846889851323795e-06,0.3708521974023684,21.707243899989408
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,7,4.968479970557382e-06,0.5142621229517326,22.66842420003377
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,9,4.999272732675308e-06,0.4712308644687895,18.445860799984075
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,11,4.997710675525013e-06,0.4905474292415348,20.70117559999926
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,8,4.996665211365325e-06,0.5042676249374545,22.44439489999786
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,50,5,4.9785694500315e-06,0.3129989386106355,17.7888448999729
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,10,4.9941331781155895e-06,0.4518893813972963,23.040900799969677
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,50,0,4.996951702196384e-06,0.49789744235685013,21.299999799986836
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,50,3,4.9890863920154516e-06,0.4474089066095187,20.197989500011317
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,50,1,4.996147254132666e-06,0.38253724642963266,24.262467799999285
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,50,2,4.966121196048334e-06,0.4613496767181661,24.31569610000588
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,50,6,4.99925818076008e-06,0.40447106131186655,22.875654899980873
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,50,9,4.998707026970806e-06,0.40930161677062854,20.174660600023344
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,50,7,4.974977400706848e-06,0.39742919667687887,22.90985479997471
