problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,0,4.999286375095835e-06,2.148604481545351,14.7191235999926
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,1,4.997741143597523e-06,2.3308211869140667,15.06155680003576
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,2,4.9497466534376144e-06,2.1342283310567303,14.970425500010606
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,3,4.994853952666745e-06,2.234263677991749,16.221109199977946
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,4,4.995537892682478e-06,2.49704244464385,16.15776759997243
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,6,4.962494131177664e-06,2.856050310108003,13.645891799998935
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,5,4.98751069244463e-06,2.350242244152732,14.932995400042273
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,7,4.998838903702563e-06,2.878595124434622,14.54666679998627
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,8,4.988770797353936e-06,2.372129305807944,14.234900999988895
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,10,4.997500582248904e-06,2.292935635183168,14.391523899976164
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,9,4.9667210078041535e-06,2.430870132749139,17.49983320001047
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,11,4.991361038264586e-06,2.7416272445767595,15.672588100016583
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,0,4.9971290536632296e-06,1.2392487099010798,18.11719300004188
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,1,4.997595169697888e-06,0.8766355995876757,18.171860000002198
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,2,4.982104201189941e-06,1.2261311768197551,18.12326069996925
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,3,4.985875420970842e-06,1.1425359202462806,16.38413539994508
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,8,4.9896711971086916e-06,1.2847238630084536,18.822945499967318
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,4,4.996377811039565e-06,1.1999340147034006,20.15717840002617
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,5,4.994266419089399e-06,1.2838242568143319,19.72643609996885
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,6,4.999923021387076e-06,1.4049517483686285,19.25826730002882
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,7,4.995418748876546e-06,1.1956624434603893,19.55627810000442
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,9,4.999342763767345e-06,1.4797714556386354,19.15468229999533
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,10,4.993683887732914e-06,1.234291781492943,16.929675699968357
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,11,4.98443796459469e-06,1.2057210699173284,17.47425500000827
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,0,4.993947641196428e-06,0.7185756509524811,19.768591500003822
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,2,4.998810709366808e-06,0.6115072525507427,18.883679300022777
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,3,4.997933956474299e-06,0.707994557410257,18.65183290001005
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,1,4.998997155780671e-06,0.5214795867059316,21.355280999967363
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,4,4.998025360691827e-06,0.7195057609138156,22.389155799988657
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,10,4.990664365323028e-06,0.7152476635991467,18.361169299983885
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,9,4.997439191356534e-06,0.8052366556937283,19.729844300018158
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,8,4.9975501497101504e-06,0.6410774438534733,20.256601699977182
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,11,4.986057319911197e-06,0.61860006486261,19.95929840003373
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,5,4.997715677745873e-06,0.7215312385819193,22.96598969999468
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,6,4.998076747142477e-06,0.5572987446794418,23.916740600019693
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,7,4.998224994778866e-06,0.5908938349672572,25.658296700043138
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,0,4.998321855964605e-06,0.43681475379544465,22.341602300002705
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,2,4.991663900000276e-06,0.37678955627302196,22.739436200005002
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,1,4.999912107450655e-06,0.3653279669210176,25.385225400037598
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,3,4.9996083362202626e-06,0.38091728736169317,26.722879400011152
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,5,4.999789325665915e-06,0.4032777382615221,24.62376830005087
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,4,5.145796421857085e-06,0.38593676928922205,27.807609100011177
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,9,4.987839474779321e-06,0.4612464546395807,21.380120899993926
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,10,4.995490144210635e-06,0.4087788392451064,20.990741500048898
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,6,5.555325969908154e-06,0.3414642177711122,27.290890500007663
