problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,4.9561867854208685e-06,8.79037087759349,24.15795820002677
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,4.8545598474447615e-06,7.870110693937298,22.546851599996444
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,4.981050096830586e-06,3.239350904497463,26.297712599975057
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,3,4.950053153152112e-06,3.966753892512344,20.90356409997912
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,4,4.939723112329375e-06,15.019851996764347,24.753880799980834
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,5,4.852126949117519e-06,7.963502228642197,27.58500889997231
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,6,4.861223260377301e-06,7.142657235696107,26.277373999997508
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,7,4.9447999117546715e-06,5.545871366038765,19.703049800009467
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,8,4.866422841587337e-06,5.861320745832415,27.99711540003773
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,9,4.919461844110629e-06,3.8259439352768565,26.8348449000041
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,10,4.8695837904233485e-06,9.775603470788427,26.63463220000267
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,11,4.87950592287234e-06,7.304471382220496,23.698861500015482
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,4.990943580196472e-06,9.870894011368918,29.015173099993262
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,4.99658563057892e-06,8.171189004371419,28.41462809999939
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,4.980204266757937e-06,8.377962013902184,29.013477300002705
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,3,4.857713520323159e-06,nan,26.354541899985634
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,5,4.912533313472522e-06,8.18927088142149,27.425103300018236
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,4,4.995084054826293e-06,12.15996648544012,30.5647371999803
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,6,4.943338808516273e-06,7.483217144209331,26.11037489998853
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,7,4.8731567403592635e-06,9.604751458414665,25.087563699984457
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,8,4.9706140998750925e-06,11.839593716900248,27.30699219997041
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,9,4.6045279304962605e-06,2.8491801780725616,30.444067000003997
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,11,4.83093572256621e-06,6.26871648425503,22.92590149998432
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,10,4.893188361165812e-06,nan,29.97744899999816
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,1,4.9927675718208775e-06,3.0785125792860524,28.421096900012344
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,0,4.977077878720593e-06,8.533335905906776,31.63787350000348
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,2,4.940835424349643e-06,5.448180628819618,27.953291999991052
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,3,4.7513030949630775e-06,nan,29.835686300008092
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,4,4.995693871023832e-06,2.5285911464360105,31.600510599964764
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,6,4.979018285666825e-06,7.759372258930224,29.428153299959376
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,5,4.7038679440447595e-06,nan,30.98568859999068
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,7,4.8726842578616925e-06,7.997884313163055,27.944342000002507
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,8,4.967048425896792e-06,7.069819261962924,29.278716899978463
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,9,4.961198555974988e-06,12.269312632500347,31.265120500000194
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,11,4.575302227749489e-06,8.123703101603832,29.689362699980848
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,10,4.9665168262436055e-06,4.721587633553718,33.18219990003854
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,40,0,4.885467660642462e-06,nan,34.015835499973036
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,40,1,4.814652584173018e-06,5.675769853010507,32.78948739997577
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,40,2,4.937202447763411e-06,11.260711811867509,32.77493259997573
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,40,3,4.985816758562578e-06,4.684000547031797,33.08508869999787
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,40,4,4.927247573505156e-06,6.564436030630429,34.55557950004004
nsb_log_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,40,7,4.4941493797523435e-06,11.24299346620601,30.813586800009944
