problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,4.996561528969323e-06,13.915388836790454,20.65915560000576
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,4.997921678295825e-06,15.97146286173988,19.792249599995557
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,4.996049938199576e-06,13.725401453380746,19.83468550001271
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,3,4.99889392813202e-06,15.182419735656543,20.163472899992485
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,4,4.992791218683124e-06,16.67940225732052,22.832972000003792
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,7,4.99119414598681e-06,19.960028691096483,18.756729099957738
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,6,4.98165763929137e-06,18.607502611814184,20.347054899961222
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,5,4.995260951545788e-06,16.04307852476901,21.60949270002311
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,8,4.98644385515945e-06,15.606240531364076,20.59803200000897
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,9,4.9982586460828315e-06,14.98034752043956,21.514289400016423
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,10,4.98373492519022e-06,16.140511383726324,20.494042399979662
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,11,4.995222298020963e-06,17.965605574097722,20.300005100027192
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,4.972661827196134e-06,8.254423488103297,20.36597789998632
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,4.990322395315161e-06,6.2407130644423585,18.204893500020262
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,4.981114216207061e-06,7.969205224618085,18.57074240001384
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,3,4.986947260476882e-06,8.436651227125827,19.63078820001101
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,4,4.999874363420531e-06,8.426099512563253,19.928700099990238
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,6,4.999901648261584e-06,10.002663547629636,17.60123059997568
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,8,4.986773546988843e-06,8.94547906925859,18.634996099979617
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,7,4.989730314264307e-06,8.661041716290955,19.010377200029325
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,11,4.996089955966454e-06,7.828364262271261,13.460028900008183
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,5,4.993910806661006e-06,8.740448913057133,22.57643439999083
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,10,4.99851421409403e-06,8.28304496905052,18.623965400038287
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,9,4.980911398888566e-06,9.294593024180285,21.68737300002249
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,0,4.998403710487764e-06,4.460974165958502,16.21456059999764
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,1,4.998817985324422e-06,3.5068842490257413,17.73663330002455
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,2,4.999946668249322e-06,4.614338836948909,18.741809399973135
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,3,4.999127668270376e-06,5.627925086182956,17.774187000002712
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,4,4.995171366317663e-06,5.3679564546284775,20.69948090001708
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,6,4.9937448238779325e-06,4.081024189311771,21.236298199975863
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,5,4.986125986761181e-06,5.056319119724246,21.813522799988277
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,8,4.997979885956738e-06,4.445566337608512,20.30137659999309
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,7,4.99519001095905e-06,4.5705389567380035,21.429341500042938
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,11,4.993956736143446e-06,4.524223730614865,19.69534840004053
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,10,4.989830813428853e-06,4.954410045710891,21.731327299959958
nsb_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,9,4.99845282320166e-06,4.887992288622131,23.072481099981815
