problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,3,4.998469762540481e-07,0.7244023084640503,6.216675100004068
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,6,4.972328042640584e-07,0.8210830092430115,6.270293799985666
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,8,4.967570248481934e-07,0.8223555684089661,6.972280400019372
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,4,4.999673137717764e-07,1.071264624595642,7.25843749998603
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,1,4.99879661219893e-07,0.8583215475082397,7.43884160000016
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,10,4.996412599211908e-07,0.98015296459198,7.456015499978093
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,5,4.986400767847954e-07,0.7456923723220825,7.594770099996822
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,6,4.998595386496163e-07,0.7230755090713501,7.578103700012434
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,2,4.999231464353215e-07,0.8749046325683594,8.648427800013451
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,7,4.998032636649441e-07,0.9170179963111877,8.811183600017102
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,11,4.999591851628793e-07,0.9077004790306091,8.874906599987298
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,9,4.997488645130943e-07,0.6581898927688599,9.073056799999904
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,3,4.996763323106279e-07,0.5097185373306274,9.219825999985915
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,0,4.999490670343221e-07,0.4140107333660126,9.641050000005635
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,4,4.99838847645151e-07,0.7209007740020752,9.58965999999782
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,2,4.999681664230593e-07,0.5107694864273071,10.091280099994037
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,0,4.998482836526819e-07,0.7600826025009155,10.937427199998638
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,1,4.999961902285577e-07,0.5338690876960754,14.647475800011307
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,3,4.999375278202933e-07,0.38213595747947693,10.340785499982303
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,8,4.997165774511814e-07,0.38979294896125793,8.972237000009045
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,6,4.999955649509502e-07,0.5318227410316467,10.303167500009295
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,11,4.99934799336188e-07,0.697272777557373,12.599573299987242
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,4,4.996112465960323e-07,0.46985143423080444,12.289394800027367
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,1,4.999868110644456e-07,0.3379592001438141,16.192440300015733
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,9,4.999275802219927e-07,0.29581403732299805,14.045724099996733
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,9,4.99983798363246e-07,0.43891996145248413,17.60519820000627
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,40,0,4.892328888672637e-07,0.27176937460899353,14.145768699992914
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,10,4.999818088435859e-07,0.44364485144615173,15.815831699990667
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,10,4.999966449759086e-07,0.6433106660842896,19.204809699993348
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,11,4.999051839149615e-07,0.43871015310287476,18.749787099979585
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,7,6.308911792984873e-07,0.5694037079811096,30.453990400012117
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,5,5.919996510783676e-07,0.6596176028251648,30.92785870001535
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,2,4.999999418942025e-07,0.37826839089393616,23.608274500002153
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,40,6,4.999125735594134e-07,0.39872705936431885,11.767267899995204
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,40,2,4.999048428544484e-07,0.30100271105766296,17.155986700003268
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,40,8,4.992756430510781e-07,0.2843829095363617,12.716783500014571
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,8,6.933331064828963e-07,0.5190915465354919,31.698205799999414
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,0,4.999979523745424e-07,0.3334450125694275,33.06973119999748
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,40,11,4.999273528483172e-07,0.3397122919559479,15.192802800011123
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,7,6.387514304151409e-07,0.3816642165184021,33.33847949997289
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,40,9,4.999581051379209e-07,0.25304001569747925,18.63014569997904
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,5,1.0115518307429738e-06,0.46453338861465454,34.699822399998084
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,50,2,4.999639600100636e-07,0.24469079077243805,15.88415040000109
