problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,4.986560497854953e-07,1.1193219423294067,26.64330759999575
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,4.99819236665644e-07,1.274039387702942,27.68546019999485
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,4.974680791747232e-07,1.393023133277893,23.823169700001017
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,3,4.996437610316207e-07,1.2087466716766357,25.197236499996507
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,4,4.991812261323503e-07,1.0742489099502563,24.457710400005453
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,6,4.963602009411261e-07,1.2655540704727173,21.503382700000657
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,5,4.99340615078836e-07,1.3641691207885742,22.984099599998444
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,9,4.995293920728727e-07,1.6709791421890259,22.33630379999522
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,8,4.925988719151064e-07,1.1821421384811401,22.6841873999947
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,7,4.999267275707098e-07,1.2978565692901611,25.87271789999795
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,10,4.993267452846339e-07,1.0637125968933105,23.714809500001138
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,11,4.999620273338223e-07,1.1648285388946533,23.493475300012506
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,4.963296760251978e-07,0.4866577386856079,23.64854959999502
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,4.995075073566113e-07,0.4806448817253113,24.740972800005693
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,5,4.999000111638452e-07,0.5161834359169006,23.097471599990968
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,3,4.99327541092498e-07,0.4185050427913666,25.10381580000103
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,4,4.99544398735452e-07,0.454632431268692,24.312525400004233
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,6,4.992760409550101e-07,0.459689199924469,21.620830299987574
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,4.99776774631755e-07,0.3085189163684845,35.26112749999447
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,9,4.984862016499392e-07,0.5421148538589478,23.777034400001867
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,8,4.987205102224834e-07,0.49683982133865356,25.11823049999657
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,10,4.965050948158023e-07,0.4016056954860687,23.060992999991868
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,0,4.960186856806104e-07,0.2514859139919281,22.896604900000966
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,11,4.987346073903609e-07,0.4378567934036255,24.20720989999245
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,7,4.999214979761746e-07,0.4820931851863861,29.15208509999502
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,5,4.993954689780367e-07,0.22390837967395782,23.681531099995482
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,2,4.99986242630257e-07,0.2084755301475525,26.504331500007538
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,8,4.992905360268196e-07,0.22153683006763458,23.304645700001856
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,3,4.99362670325354e-07,0.21776807308197021,32.25887989999319
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,6,4.99995223890437e-07,0.17043764889240265,29.934074200005853
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,9,4.999891984880378e-07,0.2808150053024292,27.03848350000044
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,11,4.996544475943665e-07,0.18775150179862976,23.442355400009546
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,10,4.994095661459141e-07,0.17856808006763458,28.08266359999834
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,4,4.999313887310564e-07,0.18002499639987946,39.31760639999993
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,30,1,4.999805014449521e-07,0.1224423497915268,44.27175649999117
