problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,1,4.919087359667174e-07,1.1421928405761719,22.61244280001847
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,2,4.786932095157681e-07,1.1934990882873535,48.1670794999809
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,0,4.947527827425802e-07,1.2680492401123047,181.74374360003276
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,3,4.964958861819468e-07,1.4746655225753784,168.80785240000114
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,5,4.925740313410643e-07,1.2986141443252563,130.97760969999945
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,7,4.934427124680951e-07,1.0555329322814941,68.9075800999999
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,9,4.947213483319501e-07,1.4850369691848755,29.947284399997443
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,8,4.993450488655071e-07,1.2378792762756348,61.55550209997455
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,11,4.818411980522797e-07,1.2835828065872192,33.69365209998796
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,1,4.963195578966406e-07,0.7631407976150513,36.6677125999704
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,0,4.959513830726792e-07,0.8734776377677917,38.2176600000239
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,10,4.891911657978198e-07,1.1155098676681519,61.00985440000659
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,2,4.968582061337656e-07,0.7288295030593872,39.13172459998168
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,5,4.85036252939608e-07,0.7658461332321167,33.370913700025994
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,4,4.839164944314689e-07,1.076609492301941,44.54302009998355
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,6,4.6783065954514313e-07,0.8048250675201416,43.918449399992824
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,7,4.9068660246121e-07,0.7126747965812683,30.886990700033493
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,8,4.384710621252452e-07,0.8547678589820862,40.397062200005166
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,9,4.6394993091780634e-07,1.0844061374664307,38.39504049997777
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,10,4.873688226325612e-07,0.7895776033401489,35.21770770003786
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,11,4.909677500108955e-07,0.8434276580810547,37.8343805000186
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,4,4.921388949696848e-07,1.4285820722579956,335.15203749999637
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,0,4.986405315321463e-07,0.6568429470062256,45.93212999997195
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,1,4.947316938341828e-07,0.6395203471183777,39.31331640004646
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,2,4.811240614799317e-07,0.574652910232544,42.759340599994175
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,6,4.871465080213966e-07,1.248236894607544,275.04566319996957
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,3,4.945439968651044e-07,0.5209491848945618,44.612499799986836
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,6,4.867407596975681e-07,0.5307416915893555,38.96631529997103
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,7,4.929885903948161e-07,0.5825039744377136,43.88493160001235
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,8,4.961471518072358e-07,0.6683306694030762,44.5824204000528
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,10,4.871707801612501e-07,0.5465939044952393,45.543381299998146
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,11,4.998416329726751e-07,0.7001067399978638,41.000661699974444
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,0,4.97663791065861e-07,0.598838210105896,41.213686499977484
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,1,4.909782091999659e-07,0.5736479163169861,46.749115800019354
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,3,4.6454709945464856e-07,0.8309679627418518,232.82127000001492
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,2,4.6878835746611003e-07,0.4437894821166992,45.30965070001548
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,3,4.944246825289156e-07,0.5003699064254761,44.1135004000389
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,5,4.940886242366105e-07,0.6023187041282654,146.292030600016
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,4,4.912891995445534e-07,0.6207305192947388,41.59678730001906
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,4,4.837255005440966e-07,0.8466759324073792,148.96458959998563
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,6,4.82878363072814e-07,0.47177398204803467,38.99682350002695
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,9,4.906295316686737e-07,0.7390456795692444,135.46731660002843
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,10,4.969559199707874e-07,0.4997664988040924,38.25799769995501
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,9,4.918605895909423e-07,0.5256742238998413,50.89890619996004
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,0,4.877409764958429e-07,0.4348394274711609,51.231894200027455
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,2,4.92355241021869e-07,0.4138312339782715,50.80790329998126
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,8,4.811709573004919e-07,0.5379183292388916,88.67025879997527
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,5,4.967687914358976e-07,0.45412319898605347,110.573069999984
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,7,4.92034246235562e-07,0.4361371099948883,93.0634565000073
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,5,4.901203283225186e-07,0.41398394107818604,46.4337036999641
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,4,4.6655409846607654e-07,0.5380986928939819,47.44559489999665
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,6,4.881326276517939e-07,0.39058637619018555,50.61057980003534
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,11,4.989782951270172e-07,0.47328370809555054,101.8533810999943
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,1,4.974149874215072e-07,0.5125028491020203,110.56369490001816
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,7,4.931264356855536e-07,0.3801681101322174,56.84201480000047
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,11,4.991684932065255e-07,0.435044527053833,42.90759000001708
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,3,4.996124403078284e-07,0.38566723465919495,110.38013639999554
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,0,4.899397367807978e-07,0.353310227394104,53.36670760001289
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,1,4.771409294335172e-07,0.43980106711387634,52.69573899998795
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,2,4.904723027721047e-07,0.3309098780155182,65.46893710002769
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,10,4.948249738845334e-07,0.3968167304992676,97.44503430003533
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,8,4.836371658711869e-07,0.4362507164478302,101.29345830000238
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,50,9,4.92353592562722e-07,0.45579367876052856,99.88208439998562
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,6,4.996820734959329e-07,0.34708938002586365,52.56807480001589
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,5,4.80762935239909e-07,0.26043131947517395,65.92921420000494
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,8,4.913399038741773e-07,0.368629515171051,55.77557140000863
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,9,4.932554702463676e-07,0.34946209192276,57.381931599986274
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,3,4.842783027925179e-07,0.3604855537414551,113.32263920002151
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,10,4.998932467970008e-07,0.36018532514572144,59.209335599967744
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,4,4.995599738322198e-07,0.5208305716514587,117.26834140002029
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,2,4.998463509764406e-07,0.3062160313129425,62.8353250999935
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,7,4.958923227604828e-07,0.2986159324645996,110.13107400003355
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,4,4.943261160406109e-07,0.39819079637527466,55.47432389995083
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,3,4.917791898151336e-07,0.3147912919521332,65.05176860000938
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,5,4.900977614852309e-07,0.2617194354534149,58.832592299964745
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,60,11,4.96692678098043e-07,0.3728142976760864,98.25071630004095
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,1,4.990313868802332e-07,0.37848255038261414,101.61410800000886
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,0,4.959413217875408e-07,0.2824748754501343,102.13165719999233
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,9,4.974083935849194e-07,0.3205580711364746,72.27283710002666
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,11,4.980736321158474e-07,0.31398868560791016,59.733342799998354
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,6,4.981528149983205e-07,0.30995407700538635,88.0551038000267
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,8,4.943099725096545e-07,0.3452160656452179,86.65254550002282
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,80,1,4.990059210285835e-07,0.30219972133636475,64.12126779998653
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,80,2,4.973229010829527e-07,0.27564987540245056,61.10774599999422
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,80,3,4.982467203262786e-07,0.271015465259552,56.19336979999207
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,7,4.997486939828377e-07,0.3008110523223877,101.542640700005
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,70,10,4.993864877178567e-07,0.28619059920310974,94.35929270001361
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,80,0,4.960948558618838e-07,0.24905438721179962,105.90459750004811
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,80,8,4.974475587005145e-07,0.2903977036476135,53.298579499998596
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,80,11,4.964319373357284e-07,0.3010980784893036,49.80925799999386
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,80,4,4.933776267534995e-07,0.29498767852783203,87.41313659999287
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,80,6,4.981455390407064e-07,0.2861210107803345,83.47490490000928
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,80,5,4.946584795106901e-07,0.2465820014476776,87.27206089999527
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,90,2,4.97087967232801e-07,0.24669289588928223,57.94735470000887
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,80,7,4.936858317705628e-07,0.2699185311794281,76.91044599999441
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,90,4,4.980358880857239e-07,0.26485973596572876,58.88940740004182
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,90,1,4.987830948266492e-07,0.2779315412044525,75.07008630002383
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,90,0,4.980524295206123e-07,0.2296922206878662,83.69085429998813
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,10,100,80,10,4.925123562316003e-07,0.29033318161964417,85.91830929997377
