problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,1,4.991537139176216e-07,1.6590536832809448,8.788828700024169
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,2,4.998225904273568e-07,1.9763894081115723,11.2248813000042
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,0,4.951453433932329e-07,1.7815276384353638,35.2861658000038
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,3,5.004114314033359e-07,1.817121148109436,22.668625999998767
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,5,4.991497917217202e-07,1.8526479005813599,14.422554299992044
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,7,4.999678253625461e-07,1.8765084743499756,10.7625472000218
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,4,4.99813495480339e-07,2.224853754043579,41.589341899962164
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,9,4.999700990993006e-07,2.009328603744507,13.358012500044424
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,8,4.993425477550772e-07,1.829703688621521,22.83354949997738
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,6,4.998317990612122e-07,2.2370054721832275,51.130392600025516
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,10,4.998825602342549e-07,1.9908486604690552,24.065641099994536
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,0,4.999379257242254e-07,0.8116152286529541,14.575301699980628
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,11,4.998172471459839e-07,2.058166980743408,25.23705549997976
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,6,5.196407641960832e-07,0.9434264302253723,23.85906619997695
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,2,4.990426418771676e-07,1.0954774618148804,28.33135140000377
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,1,4.998954068469175e-07,0.979308009147644,32.03064529999392
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,4,4.998533995603793e-07,1.0872166156768799,28.843233700026758
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,7,4.997785367777396e-07,0.8735170364379883,23.88852819998283
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,9,4.997215228286223e-07,0.9637944102287292,17.135821000032593
