problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,0,4.993851803192229e-07,0.28682446479797363,31.66429520001111
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,4,4.99632619721524e-07,0.30822011828422546,38.96027059998596
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,2,4.999948828299239e-07,0.26136496663093567,57.31021650000184
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,5,4.999482143830392e-07,0.27975955605506897,46.14784179998969
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,1,4.994237201572105e-07,0.29662057757377625,69.54458230000455
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,8,4.997646669835376e-07,0.35526689887046814,36.972617999999784
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,3,4.999922680326563e-07,0.22703461349010468,60.63432350000949
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,6,4.998076974516152e-07,0.2693764269351959,48.66233159998956
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,11,4.98787642300158e-07,0.2721186578273773,44.510344099995564
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,9,4.999840257369215e-07,0.2984604835510254,50.3260971000127
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,10,4.999379257242254e-07,0.2674444019794464,50.003129800010356
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,0,4.999936891181278e-07,0.23139159381389618,47.30800009999075
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,7,4.999832867724763e-07,0.23444746434688568,73.51920959999552
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,1,4.996651341571123e-07,0.29886361956596375,55.061819199996535
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,5,4.997235123482824e-07,0.27332285046577454,44.98013599999831
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,10,4.996878146812378e-07,0.2193906307220459,41.45679460000247
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,9,4.999391762794403e-07,0.3001556396484375,46.347689300004276
