problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,4.989167905478098e-07,1.2593275308609009,19.696234899995034
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,4.988440878150868e-07,1.5448440313339233,23.872096700011753
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,4.989828994439449e-07,1.5007787942886353,24.479992399996263
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,3,4.997862106392859e-07,1.4487580060958862,30.520477600002778
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,4,4.99866587233555e-07,1.4171088933944702,28.280610500005423
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,5,4.987202260053891e-07,1.523146152496338,27.091388200002257
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,6,4.993431161892659e-07,1.63327956199646,24.895583999998053
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,7,4.996207962904009e-07,1.6928240060806274,29.644786000004387
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,8,4.99210727866739e-07,1.6061087846755981,23.06476909999037
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,9,4.973925911144761e-07,1.451891541481018,24.244908099994063
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,10,4.985176929039881e-07,1.37611722946167,22.996390000000247
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,11,4.99461066283402e-07,1.6584004163742065,22.89025159999437
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,4.998997837901697e-07,0.8502368330955505,25.487095499993302
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,4.990171191820991e-07,0.7811700701713562,25.857571000000462
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,4.998794906896364e-07,0.787436306476593,24.487916900005075
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,4,4.967724862581235e-07,0.7905575037002563,24.78514439999708
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,5,4.99236477935483e-07,0.9625898003578186,22.95307099999627
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,3,4.99803320508363e-07,0.7872334718704224,32.12285939999856
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,7,4.991275091015268e-07,0.9697654843330383,25.82663450000109
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,9,4.975233878212748e-07,0.8856266140937805,23.031132499992964
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,6,4.994658979740052e-07,1.0531822443008423,29.431532900009188
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,10,4.972797000846185e-07,0.8471530675888062,20.288335700010066
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,8,4.998018994228914e-07,0.9516112804412842,30.992802900000243
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,4.99104146456375e-07,0.5908005237579346,21.817897300003096
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,11,4.998508984499495e-07,0.9049478769302368,26.485583499990753
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,4.997074256607448e-07,0.5533093214035034,22.408758000005037
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,4.993050310986291e-07,0.5640323758125305,22.667167899999185
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,4,4.986183625987906e-07,0.5698960423469543,27.066386699996656
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,5,4.995629296900006e-07,0.6647675037384033,25.8401981999923
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,3,4.999649263481842e-07,0.5700691342353821,28.168719900000724
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,9,4.996902589482488e-07,0.5743453502655029,22.28503099999216
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,7,4.983899657418078e-07,0.642996609210968,24.677052399987588
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,10,4.993990501134249e-07,0.6109912395477295,19.399382999996305
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,8,4.998765348318557e-07,0.595953643321991,23.435988299999735
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,6,4.999604357180942e-07,0.6147164702415466,31.04900240000279
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,4.999847647013667e-07,0.40167856216430664,24.597599400003674
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,4.993309516976296e-07,0.43223363161087036,24.71539449998818
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,11,4.995495714865683e-07,0.5753054022789001,27.81901020000805
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,4.983522785551031e-07,0.40008559823036194,22.313263000003644
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,3,4.987902002540068e-07,0.4557368755340576,25.747372099998756
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,4,4.99463510550413e-07,0.39988020062446594,29.880860399993253
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,10,4.975538558937842e-07,0.4304891526699066,20.933445200003916
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,9,4.992291451344499e-07,0.42645856738090515,22.800868599995738
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,5,4.988928594684694e-07,0.49793770909309387,26.779610099998536
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,7,4.99964187383739e-07,0.47163188457489014,25.950747499999125
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,11,4.994204800823354e-07,0.3867019712924957,28.125534700011485
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,8,4.996883831154264e-07,0.41017982363700867,29.687123800002155
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,6,4.998830149816058e-07,0.3962727189064026,31.194493899994995
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,4.996144298274885e-07,0.315801203250885,22.633520299990778
