problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,10,1,4.998503868591797e-07,1.053773045539856,36.90140729997074
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,10,0,4.990889692635392e-07,1.3877354860305786,55.20737079996616
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,10,4,4.99257282626786e-07,1.235701560974121,20.19521929998882
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,10,2,4.995616222913668e-07,1.299360752105713,39.41896049998468
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,10,6,4.993499373995292e-07,1.3805903196334839,21.175097700033803
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,10,7,4.980843755220121e-07,1.2582541704177856,19.475988299993332
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,10,8,4.935739070788259e-07,1.2607840299606323,26.75562200002605
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,10,3,4.999587304155284e-07,1.2086024284362793,59.501392400008626
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,10,5,4.999495786250918e-07,1.2322973012924194,47.56803819997003
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,10,9,4.998626081942348e-07,1.0762810707092285,26.50936870003352
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,10,11,4.988724526810984e-07,1.2066794633865356,22.188317500054836
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,10,10,4.992533604308846e-07,1.1834907531738281,27.58936809998704
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,20,4,4.999649263481842e-07,0.6025381088256836,18.65920069999993
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,20,3,4.999821499040991e-07,0.41367122530937195,21.784666499996092
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,20,7,4.999255907023326e-07,0.5018565654754639,19.20476910000434
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,20,5,4.997999667466502e-07,0.4871412217617035,24.849657999991905
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,20,2,4.997863811695424e-07,0.5353888869285583,28.709015299973544
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,20,1,4.999803309146955e-07,0.4328847825527191,43.17811149999034
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,20,9,4.999976113140292e-07,0.4381871819496155,20.89044039999135
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,20,11,4.999379825676442e-07,0.5116595029830933,16.443030699971132
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,20,0,5.106568892188079e-07,0.40518811345100403,49.943987300037406
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,20,6,4.999990323995007e-07,0.4795871675014496,41.8360573000391
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,20,10,4.996625193598447e-07,0.42329803109169006,23.02673219999997
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,20,8,4.999643010705768e-07,0.6134961247444153,44.30143180000596
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,30,2,4.999066618438519e-07,0.28576454520225525,20.318971000029705
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,30,5,4.999901648261584e-07,0.2099601775407791,20.022930600040127
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,30,8,4.999986344955687e-07,0.30150842666625977,23.205346199974883
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,4,40,30,4,4.99979307733156e-07,0.2876714766025543,28.561053000041284
