problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,0,4.939710720464063e-07,0.7930604815483093,15.94911739998497
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,1,4.992774620404816e-07,0.834068775177002,8.130446100025438
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,3,4.976960781277739e-07,0.6696746945381165,11.289242100028787
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,2,4.999212137590803e-07,0.7888239026069641,19.55172849999508
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,4,4.999008069717092e-07,0.9277458786964417,8.891881199961063
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,6,4.972237661604595e-07,0.7546105980873108,10.894295100006275
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,5,4.994829509996634e-07,0.6847180724143982,17.676774399995338
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,7,4.992947992832342e-07,0.8878999948501587,11.08655509998789
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,8,4.997999667466502e-07,0.7950952053070068,18.2815716000041
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,10,4.968232474311662e-07,0.9193567037582397,8.674125999968965
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,9,4.999211569156614e-07,0.6751629710197449,9.993043700000271
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,0,4.999391194360214e-07,0.41049742698669434,14.90526900003897
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,11,4.996398956791381e-07,0.8717697262763977,19.317551799991634
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,1,4.999915290682111e-07,0.5281191468238831,17.438564600015525
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,2,4.998531721867039e-07,0.4975145161151886,16.348330400011037
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,4,4.996854841010645e-07,0.6936351656913757,16.942719999991823
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,5,4.998413487555808e-07,0.5949041843414307,13.654597599990666
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,3,4.998366875952343e-07,0.4710143208503723,26.38576449995162
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,6,4.999963039153954e-07,0.7110487818717957,19.3223571999697
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,7,4.999955081075314e-07,0.5570061802864075,21.52374619996408
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,9,4.999661200599803e-07,0.4274154007434845,15.06832319998648
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,8,4.999885163670115e-07,0.5484389662742615,29.462400900025386
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,11,4.999845373276912e-07,0.6823685765266418,20.145672000013292
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,10,4.999998282073648e-07,0.6299921274185181,37.20767969998997
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,2,4.999918701287243e-07,0.3906458914279938,19.944156499987002
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,3,4.996546749680419e-07,0.3782465159893036,19.671598299988545
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,4,4.99991983815562e-07,0.4649495482444763,17.746489000041038
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,1,5.080169103166554e-07,0.32993006706237793,33.48726839997107
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,5,5.075608555671351e-07,0.4133479595184326,28.658550899999682
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,0,6.113635322435584e-07,0.2971441149711609,46.90586129995063
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,6,4.999935754312901e-07,0.4932333827018738,21.763219899963588
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,10,4.999999418942025e-07,0.4189530909061432,21.551971800043248
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,7,7.223288776003756e-07,0.3283907473087311,34.02168169996003
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,11,4.999840257369215e-07,0.4238719940185547,21.35794029996032
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,9,8.477498454340093e-07,0.32485225796699524,38.816246400005184
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,8,7.135873261177039e-07,0.39041030406951904,42.16703820001567
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,1,4.999964176022331e-07,0.24717622995376587,36.61381160002202
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,6,6.577917019967572e-07,0.3876074254512787,34.47095809999155
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,0,1.032358795782784e-06,0.27099451422691345,60.02235290000681
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,5,8.211319482143153e-07,0.3282559812068939,44.48244060005527
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,3,1.0431176633574069e-06,0.3000323474407196,50.4838467000518
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,4,6.039488198439358e-07,0.4149429202079773,53.92402520001633
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,2,6.852638421150914e-07,0.3397606909275055,64.11162659997353
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,8,4.999973839403538e-07,0.32394498586654663,41.80499550001696
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,7,1.3666782479049289e-06,0.2723541259765625,49.45077840000158
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,9,5.961742317595053e-07,0.26115792989730835,60.96008399996208
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,10,5.099569762023748e-07,0.30931714177131653,48.6187171000056
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,11,8.094127110780391e-07,0.3474672734737396,45.26843809999991
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,2,5.776984721705958e-07,0.24875959753990173,46.30352169997059
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,1,7.06513333170733e-07,0.23403646051883698,50.861881599994376
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,0,1.031320266520197e-06,0.2337501347064972,57.70870429999195
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,3,9.343844453724159e-07,0.27056169509887695,55.83162720000837
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,6,5.789912620457471e-07,0.2786612808704376,58.992177100037225
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,7,1.0115138593391748e-06,0.2373185008764267,57.81828060001135
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,4,6.119423119343992e-07,0.2732044756412506,64.3910532000009
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,8,7.270763831002114e-07,0.2950894832611084,58.90667649998795
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,11,6.968822958697274e-07,0.27186456322669983,35.283462700026575
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,5,9.13567191673792e-07,0.2833497226238251,67.19757700001355
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,10,7.360052336480294e-07,0.21509292721748352,48.11023099999875
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,9,1.2322535667408374e-06,0.21083703637123108,53.37366540002404
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,0,1.2438767953426577e-06,0.1954868733882904,53.28677239996614
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,1,7.28900374724617e-07,0.19702571630477905,54.22405279998202
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,2,5.964461706753355e-07,0.25543126463890076,58.89770499995211
