problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,0,4.999836278329894e-07,0.36127400398254395,30.59528219999629
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,2,4.99975215006998e-07,0.4229205846786499,26.014951400007703
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,1,4.999958491680445e-07,0.3582991361618042,54.084488099993905
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,3,4.999884026801737e-07,0.37719178199768066,49.79174559999956
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,4,4.997697828912351e-07,0.4730001389980316,44.744475200001034
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,6,4.990454840481107e-07,0.4899689853191376,40.225896400006604
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,8,4.996234110876685e-07,0.4949500858783722,29.486289899999974
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,5,4.994473670194566e-07,0.4008936285972595,57.6753069999977
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,9,4.999789666726429e-07,0.3636217415332794,32.88474939999287
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,7,4.944998295286496e-07,0.3394491374492645,38.76428050000686
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,11,4.998942131351214e-07,0.4025214910507202,38.95521660000668
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,10,10,4.999894827051321e-07,0.36697861552238464,57.761164700001245
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,0,4.987842885384453e-07,0.3014026880264282,55.995719099999405
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,2,4.999279781259247e-07,0.31126120686531067,42.247077000007266
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,1,4.999602651878376e-07,0.2735772132873535,53.9167865000054
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,8,4.997639848625113e-07,0.4043252766132355,42.74735960000544
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,3,4.999503744329559e-07,0.3035438656806946,58.84962950000772
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,4,4.999917564418865e-07,0.3550362288951874,59.34566389999236
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,7,4.992677986592753e-07,0.2780070900917053,57.40538199999719
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,5,4.994340088160243e-07,0.39910420775413513,70.1503645000048
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,9,4.999989755560819e-07,0.30170899629592896,62.77461179999227
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,11,4.999768066227261e-07,0.2829660475254059,54.3583312999981
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,0,4.996000484425167e-07,0.2614378035068512,64.31475459999638
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,2,4.999834573027329e-07,0.2660181224346161,61.23101590000442
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,20,10,4.999937459615467e-07,0.4079493284225464,88.45535570000357
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,5,4.994779487788037e-07,0.3222775161266327,59.79226149999886
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,10,100,30,4,4.992411959392484e-07,0.31110355257987976,62.082163500002935
