problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,4.813471150555415e-07,0.9581681489944458,41.37959690000571
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,4.989749982087233e-07,0.6929988265037537,42.978095600003144
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,4.85546308937046e-07,1.0844296216964722,42.65044179999677
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,3,4.899520718026906e-07,0.7896233797073364,49.957568900004844
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,4,4.847706804866903e-07,1.0478368997573853,43.68659349999507
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,5,4.991151172362152e-07,0.9170349836349487,33.376125499999034
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,6,4.650822233998042e-07,0.8667672872543335,33.88985390000744
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,7,4.4493177142612694e-07,0.9614746570587158,37.61746490000223
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,8,4.853924338021898e-07,0.9530416131019592,33.0973656999995
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,9,4.639423991648073e-07,1.0357701778411865,31.606764600001043
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,10,4.642891155981488e-07,0.817042887210846,43.70653090000269
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,11,4.88821115141036e-07,0.7851415872573853,39.823429899988696
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,4.954910650667443e-07,0.5495558977127075,40.64008409999951
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,4.945214868712355e-07,0.416003942489624,43.828871600009734
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,4.960642741025367e-07,0.5221694111824036,33.86651530000381
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,3,4.902611863144557e-07,0.5383515954017639,40.81687270000111
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,5,4.331688217007468e-07,0.44404858350753784,40.17779950000113
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,4,4.916230409435229e-07,0.6925524473190308,47.552000000010594
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,7,4.958990302839084e-07,0.6344237923622131,45.52912760000618
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,6,4.999352540835389e-07,0.5356391668319702,46.32025620000786
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,8,4.966385631632875e-07,0.6664108633995056,48.88696029999119
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,9,4.796807502316369e-07,0.5577151775360107,47.41300209998735
