problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,0,4.998823897039983e-07,1.4095475673675537,25.362956299970392
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,1,4.994817004444485e-07,1.3219597339630127,25.3315230999724
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,2,4.989536250832316e-07,1.459434151649475,21.680241299967747
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,5,4.994109872313857e-07,1.5299999713897705,8.20326539996313
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,4,4.956409043188614e-07,1.7162044048309326,13.78466840001056
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,3,4.999824909646122e-07,1.324520230293274,46.16661800001748
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,6,4.975237857252068e-07,1.7179961204528809,30.895767299982253
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,7,4.981849315299769e-07,1.534335732460022,27.45710830000462
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,9,4.990980642105569e-07,1.5870262384414673,8.651384399970993
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,10,4.989057629245508e-07,1.4113576412200928,15.624447600042913
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,8,4.999965881324897e-07,1.4054076671600342,41.026508199982345
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,11,4.987351758245495e-07,1.4311391115188599,30.07587290002266
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,1,4.999995439902705e-07,0.8009963035583496,28.910010599996895
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,4,4.999209863854048e-07,0.981543242931366,33.84580949996598
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,0,7.021231454018562e-07,0.8546713590621948,58.086229599954095
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,2,4.999878342459851e-07,0.8584197163581848,39.53311680001207
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,5,6.953754336791462e-07,0.9020700454711914,58.998759799986146
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,3,5.636208015857846e-07,0.7683942317962646,67.27706519997446
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,11,7.593943678330106e-07,0.8419860005378723,25.391203099978156
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,6,9.176158073387342e-07,1.023565411567688,60.99542620003922
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,7,5.497359438777494e-07,0.8693627119064331,46.49501239997335
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,9,6.36889183169842e-07,0.8321678638458252,47.00608140003169
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,8,5.871759753972583e-07,0.8807108402252197,49.6724116000114
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,10,5.72928058772959e-07,0.8817399740219116,57.160771399969235
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,0,7.906552923486743e-07,0.5799973607063293,44.019774899992626
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,4,5.639308255922515e-07,0.6734477877616882,30.5812190999859
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,6,7.869065257182228e-07,0.7019774913787842,27.596408599987626
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,1,6.235887326511147e-07,0.6351476907730103,46.71032190002734
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,3,5.733315333600331e-07,0.5572311282157898,42.03353539999807
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,2,6.233916565179243e-07,0.6572481989860535,44.62000380002428
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,5,7.825918828530121e-07,0.6330407857894897,48.42092419997789
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,9,5.93321033193206e-07,0.5872913002967834,40.66969740000786
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,10,6.210797778294364e-07,0.6073264479637146,41.18209409998963
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,8,5.616352609649766e-07,0.6220890283584595,48.02282929996727
