problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,4.995852691536129e-07,1.695251226425171,35.764456300006714
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,4.990055231246515e-07,1.7244994640350342,29.958408699996653
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,4.997052656108281e-07,1.9152727127075195,38.23317139998835
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,3,4.998929057364876e-07,1.817662000656128,45.157875899996725
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,5,4.999239422431856e-07,1.90073561668396,27.68888670000888
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,6,4.999353677703766e-07,2.245877504348755,29.521752400003606
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,4,4.997400537831709e-07,1.8913270235061646,38.89747830000124
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,7,4.990614570488106e-07,2.235551595687866,30.892572899989318
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,8,4.993323727831012e-07,2.0013201236724854,34.12215959999594
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,9,4.993881361770036e-07,1.8994524478912354,24.783537299997988
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,10,4.987446686754993e-07,1.814534068107605,26.175021799994283
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,11,4.985087684872269e-07,2.1540029048919678,30.432372600000235
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,7.716214440733893e-07,0.9657374620437622,71.48811219999334
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,9.902393003358156e-07,0.6300891637802124,73.23625030000403
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,5.307219907990657e-07,1.0074193477630615,71.0223898999975
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,3,8.693392032910197e-07,0.9607187509536743,71.62168470000324
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,4,5.454682536765176e-07,0.9294939637184143,72.16714270001103
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,5,1.3121782558300765e-06,1.0443052053451538,72.23080520000076
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,6,1.089715169655392e-06,1.174800992012024,70.68433019999065
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,7,8.324673217430245e-07,0.9767550826072693,69.21116999999504
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,9,9.048357583196776e-07,1.1410722732543945,67.46023639998748
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,8,1.12047689526662e-06,1.1339401006698608,70.83931049999956
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,10,7.193316378106829e-07,0.911661684513092,66.91742169999634
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,11,9.491582204645965e-07,1.0169329643249512,65.08098759999848
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,0,1.144424800259003e-06,0.4938601851463318,67.96906250000757
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,2,1.004804062176845e-06,0.5740514397621155,68.45655629999237
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,1,1.8740391851679306e-06,0.3633769452571869,70.10237930000585
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,4,8.798531894171902e-07,0.5569502711296082,67.36852089999593
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,3,8.564327913518355e-07,0.6510964632034302,69.95977599998878
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,7,9.091930337490339e-07,0.6245104670524597,66.73209750000387
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,5,1.3417648005997762e-06,0.6358519196510315,69.40493350000179
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,6,1.480381001783826e-06,0.5439701676368713,68.14113889999862
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,9,8.801944773040304e-07,0.5963439345359802,65.35858670000744
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,10,1.1350018667144468e-06,0.5544323921203613,70.36972189998778
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,8,8.081660780590028e-07,0.6072859764099121,72.00690399999439
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,11,1.2769734212270123e-06,0.5561853051185608,68.11993399998755
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,0,1.333514774159994e-06,0.3355153203010559,70.78529759999947
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,2,1.35165339543164e-06,0.3777424693107605,69.29641890000494
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,1,2.2938365873415023e-06,0.27668488025665283,72.69795000000158
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,3,1.0948114095299388e-06,0.39233919978141785,71.75666600000113
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,4,1.8138197219741414e-06,0.3066942095756531,71.52823139999236
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,5,1.5000358644101652e-06,0.41015252470970154,70.12385750000249
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,6,1.673800625212607e-06,0.3067278265953064,72.76479829999153
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,7,1.1833902817670605e-06,0.3530436158180237,72.38802070000384
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,8,1.758887719915947e-06,0.3148094415664673,71.8799175000022
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,9,1.0516999964238494e-06,0.3803986608982086,69.22573210000701
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,10,1.5891523617028724e-06,0.34109050035476685,70.64188910000667
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,11,1.456826339563122e-06,0.4086395502090454,73.5622344000003
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,0,1.1865629403473577e-06,0.21812473237514496,73.04582790000131
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,2,1.6810860188343213e-06,0.24548062682151794,74.1412651999999
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,3,1.449982278245443e-06,0.2424071580171585,73.38413039999432
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,1,2.540724835853325e-06,0.18089014291763306,74.99643660000584
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,4,1.591024556546472e-06,0.23595750331878662,74.8682620000036
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,5,1.0986557299474953e-06,0.27404582500457764,74.95629830000689
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,6,2.2216640900296625e-06,0.190157949924469,75.10285010001098
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,7,2.3305196918954607e-06,0.18055763840675354,77.52158600000257
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,8,2.2850513232697267e-06,0.19086478650569916,76.60756970000512
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,9,1.6837331031638314e-06,0.2689153850078583,75.34519539999019
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,10,1.6607741599727888e-06,0.20405375957489014,75.92065529999672
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,11,1.417349722032668e-06,0.23433399200439453,76.27189299999736
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,0,1.3914925602875883e-06,0.14242397248744965,78.15650270000333
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,1,3.0306910048238933e-06,0.15105585753917694,79.67275429998699
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,2,1.908737203848432e-06,0.17478041350841522,76.41272639999806
