problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,1,4.998936674383003e-06,1.0657504796981812,2.038824499992188
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,0,4.99799625686137e-06,0.9601792097091675,3.4913428999716416
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,2,4.996167263016105e-06,1.3095242977142334,3.0520740999490954
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,3,4.923392680211691e-06,1.2808853387832642,2.3000852999975905
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,4,4.995612471248023e-06,1.3052423000335693,2.3245293999789283
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,7,4.999200882593868e-06,1.3210787773132324,1.9411908999900334
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,8,4.984857696399558e-06,1.1963919401168823,2.3773647000198252
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,5,4.99554926136625e-06,1.3324822187423706,4.270862799952738
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,6,4.999992142984411e-06,1.3005574941635132,3.6636308999732137
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,11,4.999000793759478e-06,1.2332898378372192,1.3809124000254087
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,10,4.999375050829258e-06,1.2222968339920044,3.019385499996133
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,9,4.991082732885843e-06,1.0789049863815308,3.6668050999869592
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,0,4.978778179065557e-06,0.6440724730491638,3.368573200015817
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,2,4.994351002096664e-06,0.7024091482162476,3.1266668000025675
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,1,4.995785729988711e-06,0.6544035077095032,3.255158099986147
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,3,4.999298198526958e-06,0.7074140906333923,2.6576032000011764
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,4,4.996130883228034e-06,0.7303057909011841,3.016103199974168
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,5,4.999409611627925e-06,0.729870080947876,3.1955706999870017
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,6,4.979248842573725e-06,0.6701023578643799,2.855272199958563
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,7,4.9506033974466845e-06,0.733895480632782,3.328344699984882
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,8,4.98207828059094e-06,0.7018933296203613,2.976566700031981
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,11,4.976714535587234e-06,0.6465267539024353,2.713567900005728
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,9,4.983838607586222e-06,0.5545169711112976,3.349234900029842
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,10,4.983285180060193e-06,0.7276937365531921,3.5896190000348724
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,0,4.99695488542784e-06,0.39066335558891296,3.355366399977356
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,1,4.9894392759597395e-06,0.32747355103492737,3.1217858000309207
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,3,4.997505129722413e-06,0.4056088924407959,2.960537100036163
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,2,4.9495597522764e-06,0.3902188241481781,3.725639400014188
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,5,4.971507678419584e-06,0.444551557302475,3.1509731999831274
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,6,4.989643912267638e-06,0.3800528645515442,3.6409109000233
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,4,4.993634775019018e-06,0.4058663249015808,3.6739511000341736
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,7,4.9993323045782745e-06,0.4139959514141083,3.3788579999818467
