problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,4.994503797206562e-06,1.560376524925232,6.613362200005213
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,4.953833467880031e-06,1.0423495769500732,8.94687879999401
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,4.989426543033915e-06,1.5550569295883179,5.831168100005016
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,4,4.982037808076711e-06,1.429744005203247,7.595971899994765
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,3,4.961580998497084e-06,1.4201128482818604,8.565161899998202
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,5,4.599324711307418e-06,1.301485300064087,7.870534500005306
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,8,4.962447746947873e-06,1.5566678047180176,3.378205799992429
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,6,4.904562956653535e-06,1.1940360069274902,7.227461899994523
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,7,4.9941972974920645e-06,1.4872331619262695,7.14986739998858
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,10,4.85822693008231e-06,1.3919998407363892,5.679088999997475
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,9,4.791429546457948e-06,1.4590787887573242,7.468960799989873
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,4.881379027210642e-06,0.9446773529052734,6.995221500008483
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,11,4.99143516208278e-06,1.1412116289138794,8.203388699999778
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,3,4.939423888572492e-06,1.0588603019714355,7.070229999997537
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,4.88194746139925e-06,0.7921907305717468,8.432306699993205
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,4,4.954807991452981e-06,1.0159655809402466,8.443991199994343
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,4.9980385483650025e-06,0.6241027116775513,11.134518899998511
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,5,4.885393536824267e-06,0.8407169580459595,9.228304799995385
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,6,4.928695489070378e-06,0.7790315747261047,9.526975299988408
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,7,4.955448275723029e-06,0.9675489068031311,8.891081499998108
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,8,4.8015617721830495e-06,1.0127590894699097,8.632256299999426
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,9,4.8619735935062636e-06,0.994707465171814,8.588294000001042
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,10,4.720759079646086e-06,0.9429419040679932,9.642441699994379
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,11,4.7669118430349045e-06,0.8586620688438416,8.837700200005202
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,2,4.988609362044372e-06,0.6255822777748108,7.78056819998892
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,0,4.9740947360987775e-06,0.772964596748352,10.897131800011266
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,3,4.870134489465272e-06,0.6835078001022339,8.339818799999193
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,4,4.967771474184701e-06,0.7813916802406311,8.884567300003255
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,7,4.922615062241675e-06,0.6195603013038635,8.90681410000252
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,5,4.8973047341860365e-06,0.658388078212738,10.884050000007846
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,1,4.952787094225641e-06,0.5551443696022034,12.323121599998558
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,6,4.913918019155972e-06,0.6705451607704163,12.206421999988379
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,8,4.8774704737297725e-06,0.6337801814079285,10.049112900000182
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,9,4.776329660671763e-06,0.7980293035507202,10.463711999997031
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,11,4.777671165356878e-06,0.6139101982116699,8.765594000011333
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,10,4.922711468680063e-06,0.6063834428787231,9.517902199993841
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,2,4.977899152436294e-06,0.5168651938438416,8.75715790000686
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,3,4.977192929800367e-06,0.41461989283561707,9.312185400005546
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,4,4.975926458428148e-06,0.5458559989929199,9.615553199997521
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,0,4.807796813111054e-06,0.5642763376235962,13.175193100003526
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,1,4.905923560727388e-06,0.4453516900539398,13.220616199992946
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,8,4.881438144366257e-06,0.5236057639122009,10.542923900007736
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,7,4.92249955641455e-06,0.49666738510131836,11.075610200001393
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,5,4.959816124028293e-06,0.60654217004776,11.835863100001006
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,6,4.958033059665468e-06,0.5323021411895752,13.7418658999959
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,10,4.954894848197e-06,0.4895836114883423,10.78071710000222
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,11,4.938767233397812e-06,0.529279887676239,10.307325499990839
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,9,4.955027634423459e-06,0.5436126589775085,12.075622799995472
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,0,4.992005870008143e-06,0.3896852731704712,10.873388000007253
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,2,4.722786798083689e-06,0.40230485796928406,11.06903020000027
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,3,4.796946541318903e-06,0.4694417417049408,9.4287706999894
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,5,4.950863512931392e-06,0.44470295310020447,11.093263999995543
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,1,4.6146533350110985e-06,0.44567903876304626,15.723334599999362
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,4,4.9428490456193686e-06,0.4965163767337799,13.063687300003949
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,7,4.9661202865536325e-06,0.3592286705970764,12.868147399989539
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,9,4.97907694807509e-06,0.3944178521633148,11.807782399991993
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,10,4.282461759430589e-06,0.4004724323749542,11.867515999998432
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,8,4.982743121217936e-06,0.38734883069992065,13.044020000001183
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,6,4.746522336063208e-06,0.4720759987831116,14.997587599995313
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,11,4.894151061307639e-06,0.4584900438785553,11.599500500000431
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,2,4.937624453305034e-06,0.32439130544662476,11.60804449999705
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,3,4.952311883243965e-06,0.43370503187179565,12.03570240001136
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,0,4.983921826351434e-06,0.477611243724823,12.783448500005761
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,4,4.965372227161424e-06,0.44683828949928284,12.053546500013908
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,8,4.849613105761819e-06,0.26611053943634033,11.948355600005016
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,1,4.84452493765275e-06,0.37422096729278564,16.825112199992873
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,5,4.951906248606974e-06,0.42552560567855835,13.562337900002603
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,9,4.991662535758223e-06,0.4090537428855896,12.317330999998376
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,6,4.991242803953355e-06,0.4563504159450531,14.973189200012712
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,2,4.600492047757143e-06,0.3020782172679901,10.331577300006757
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,11,4.9821096581581514e-06,0.3950207531452179,12.336825999998837
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,7,4.761380751006072e-06,0.42983007431030273,16.483955200004857
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,3,4.947173238178948e-06,0.34724411368370056,10.786370700006955
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,0,4.9558625505596865e-06,0.32678547501564026,13.923728499998106
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,10,4.571052613755455e-06,0.4287457764148712,14.486626399986562
