problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,4,4.997624728275696e-06,20.560705184936523,5.722183000005316
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,7,4.336920028435998e-06,22.548276901245117,6.994906999985687
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,3,4.999429165764013e-06,22.732818603515625,8.220968900015578
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,11,4.8799738578964025e-06,23.1827392578125,6.729949700005818
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,10,4.672875093092443e-06,19.861162185668945,6.949083400017116
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,1,4.9528744057170115e-06,19.704864501953125,9.407514900027309
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,6,4.98592044095858e-06,19.909992218017578,9.742713299987372
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,5,4.431602064869367e-06,21.89483070373535,9.899683299998287
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,2,4.934200205752859e-06,18.512426376342773,10.282928900036495
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,9,4.925431312585715e-06,19.6574764251709,10.681707899959292
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,0,4.967032509739511e-06,21.14255142211914,12.255835200019646
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,10,8,4.8817641982168425e-06,25.671363830566406,11.779888099990785
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,1,4.8482716010767035e-06,8.24219036102295,11.760222899960354
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,0,4.991544301446993e-06,7.340148448944092,13.106867599999532
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,6,4.8610245357849635e-06,9.860664367675781,10.439884099992923
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,2,4.995049494027626e-06,8.366564750671387,13.883224799996242
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,3,4.834917490370572e-06,9.326118469238281,17.32629540003836
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,10,4.986929070582846e-06,10.625871658325195,13.059293499973137
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,7,4.910513325739885e-06,12.506491661071777,15.05820179998409
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,4,4.982061000191607e-06,9.278267860412598,20.423247100028675
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,8,4.979844561603386e-06,12.921055793762207,16.098758499952964
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,5,4.943636668031104e-06,11.95981502532959,19.605573699984234
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,9,4.852484835282667e-06,10.472631454467773,16.55153330002213
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,20,11,4.91220907861134e-06,8.45329761505127,21.060239300015382
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,30,3,4.908501523459563e-06,5.396533012390137,20.594620799995027
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,30,7,4.959024863637751e-06,4.865477085113525,18.35597669996787
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,30,0,4.9030363697966095e-06,3.970621109008789,22.0894567000214
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,30,1,4.916284524369985e-06,4.194279193878174,23.160289699968416
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,30,2,4.945349246554542e-06,3.735261917114258,22.992192800040357
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,30,4,4.9563554966880474e-06,4.618061542510986,23.86570850003045
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,30,8,4.658664238377241e-06,6.454097747802734,19.847260100010317
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,30,6,4.842684575123712e-06,5.775875568389893,22.884110699989833
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,30,5,4.8956467253447045e-06,5.001797676086426,24.013255700003356
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,30,10,4.960460046277149e-06,5.037502765655518,17.73624399997061
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,30,9,4.962668299413053e-06,5.344493865966797,24.425890300015453
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,40,2,4.984527095075464e-06,2.3706858158111572,17.364133099967148
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,30,11,4.971093403582927e-06,4.594609260559082,20.29870749998372
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,40,0,4.99544648846495e-06,2.4111785888671875,21.957800999982283
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,40,4,4.847203399549471e-06,3.1881673336029053,26.675898400018923
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,40,7,4.973631803295575e-06,2.760810613632202,22.19504100002814
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,40,1,4.9221580411540344e-06,2.595348358154297,32.72977780003566
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,40,6,4.746038484881865e-06,4.105159282684326,25.654924699978437
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,40,3,4.766768597619375e-06,2.899575710296631,35.392118000017945
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,50,0,4.999398242944153e-06,1.6603556871414185,24.22097780002514
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,40,5,4.9628556553216185e-06,3.3007309436798096,28.950916400004644
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,40,10,4.970372629031772e-06,2.793790340423584,27.910438299993984
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,40,8,4.9874684009409975e-06,3.496203899383545,30.235125400009565
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,50,1,4.881666882283753e-06,1.833452582359314,27.998713900044095
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,50,7,4.9354712245985866e-06,1.6918343305587769,22.017231999954674
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,50,3,4.944583906763e-06,1.9895797967910767,29.10275930003263
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,50,5,4.91954460812849e-06,1.8535696268081665,25.44959590001963
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,40,11,4.763890501635615e-06,2.933281183242798,31.13452879997203
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,40,9,4.948202331434004e-06,3.2938730716705322,32.99025339999935
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,50,6,4.998245913157007e-06,2.447845697402954,26.815852000028826
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,10,100,50,2,4.94018740937463e-06,1.3589062690734863,33.273612799996044
