problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,4,4.989765784557676e-06,12.0196533203125,7.418767100025434
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,5,4.961008926329669e-06,11.48869800567627,7.425356100022327
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,6,4.830005764233647e-06,11.34544849395752,8.623814699996728
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,7,4.974153398507042e-06,13.424676895141602,7.535235999966972
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,8,4.968533630744787e-06,11.617733001708984,5.661036900011823
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,9,4.655064458347624e-06,10.853696823120117,3.633188500010874
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,0,4.959517809766112e-06,11.597467422485352,53.89803149999352
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,10,4.911601081403205e-06,11.621861457824707,5.9486364999902435
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,11,4.9612940529186744e-06,10.156015396118164,5.608279999985825
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,1,4.982116024621064e-06,11.210177421569824,50.738060000003316
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,3,4.97132577947923e-06,12.59459400177002,47.71365089999745
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,10,2,4.973901468474651e-06,12.702653884887695,49.863340999989305
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,1,4.982904556527501e-06,7.928635120391846,5.8105801999918185
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,0,4.944786724081496e-06,7.672223091125488,9.261784499976784
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,3,4.931795501761371e-06,7.77614164352417,6.7692499999538995
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,4,4.724807240563678e-06,7.822085380554199,9.131791599967983
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,8,4.99506722917431e-06,7.829787731170654,7.743668999988586
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,10,4.868400537816342e-06,8.049994468688965,6.795252999989316
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,9,4.7855323828116525e-06,6.1728596687316895,9.227865100023337
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,30,1,4.900182375422446e-06,4.942934036254883,10.283972700010054
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,30,2,4.805145181308035e-06,9.767230033874512,7.675595700042322
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,30,0,4.920405444863718e-06,5.856124401092529,15.079404499963857
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,30,3,4.844518116442487e-06,5.012673377990723,12.884093999979086
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,30,4,4.741756583825918e-06,4.788905620574951,8.175040900008753
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,30,5,4.9372938519809395e-06,5.030245304107666,10.071978699997999
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,30,6,4.695786174124805e-06,5.0854105949401855,10.2466706999694
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,30,8,4.959894795319997e-06,5.398352146148682,7.722337800019886
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,2,4.987447027815506e-06,9.388442039489746,36.14141610002844
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,6,4.7754388106113765e-06,7.799903392791748,33.42501089995494
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,30,7,4.737185918202158e-06,5.4718122482299805,12.433453599980567
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,30,9,4.890976924798451e-06,4.315303802490234,10.731308799993712
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,7,4.986643034499139e-06,8.236660957336426,37.67827610002132
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,5,4.933755462843692e-06,7.078579425811768,40.73594149999553
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,30,10,4.775982233695686e-06,6.164463520050049,8.98237570002675
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,30,11,4.964416802977212e-06,6.349597454071045,7.369018199970014
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,20,11,4.990541583538288e-06,7.205847263336182,35.06047900003614
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,40,4,4.96837628816138e-06,4.485437870025635,7.872160000028089
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,40,5,4.89450030727312e-06,3.453117847442627,8.78025189996697
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,40,2,4.662127594201593e-06,9.58864974975586,11.681105100025889
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,40,10,4.84813654111349e-06,4.969703674316406,6.984343699994497
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,40,9,4.9476557251182385e-06,3.8350517749786377,13.561079200007953
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,40,8,4.9887985369423404e-06,3.247971296310425,14.479657999996562
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,50,1,4.788172191183548e-06,3.4626219272613525,9.070416399976239
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,50,3,4.99519001095905e-06,3.743415594100952,9.025857899978291
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,50,2,4.941256065649213e-06,6.326168060302734,9.47124410001561
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,50,4,4.94498362968443e-06,3.616772413253784,10.836662599991541
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,40,3,4.9289119488094e-06,4.765610694885254,21.63648009998724
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,50,0,4.968926532455953e-06,4.085794925689697,14.550497999996878
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,40,1,4.96985376230441e-06,4.254741668701172,22.82204689999344
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,50,6,4.358538262749789e-06,4.444654941558838,9.5010745000327
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,50,7,4.9006534936779644e-06,3.2138843536376953,10.176952199952211
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,50,5,4.996337338525336e-06,2.6025571823120117,11.53913269995246
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,50,11,4.767942755279364e-06,3.8237082958221436,6.931919499998912
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,40,6,4.973348950443324e-06,5.083024978637695,27.83061290002661
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,50,10,4.6662262320751324e-06,5.0212554931640625,8.571008400002029
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,40,11,4.801160230272217e-06,5.151733875274658,26.333326300024055
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,40,0,4.960066235071281e-06,5.454782962799072,31.80465710000135
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,50,9,4.527455075731268e-06,3.1245720386505127,12.249139600025956
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,40,7,4.716001967608463e-06,3.877319574356079,30.83264129998861
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,60,1,4.978021934221033e-06,3.366652488708496,10.983977500000037
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,50,8,4.85030113850371e-06,2.9434759616851807,14.144098000018857
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,60,3,4.876911134488182e-06,3.382145643234253,10.585506499977782
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,60,4,4.774561148224166e-06,3.6865410804748535,9.556608800019603
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,60,6,4.95676204081974e-06,4.548030376434326,10.93985809996957
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,60,5,4.979915047442773e-06,2.579782724380493,11.355585100012831
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,60,11,4.830631496588467e-06,3.79536509513855,7.835406099969987
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,60,8,4.8467777560290415e-06,3.0096628665924072,12.245820400014054
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,60,2,4.914498276775703e-06,5.757458209991455,21.563703300023917
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,70,1,4.903519766230602e-06,3.225492477416992,13.411992300010752
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,70,2,4.720551260106731e-06,4.342064380645752,13.210888700035866
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,70,3,4.869252734351903e-06,3.4762649536132812,11.161881199979689
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,70,6,4.99535963172093e-06,3.4638068675994873,10.892517199972644
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,60,10,4.732208253699355e-06,4.662413120269775,19.92401300003985
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,70,5,4.2584365473885555e-06,2.4501705169677734,13.875115500006359
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,60,7,4.991372861695709e-06,2.8083813190460205,22.316922700032592
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,70,8,4.980437552148942e-06,4.201813220977783,12.606936099997256
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,60,9,4.601759428624064e-06,3.0624120235443115,23.1030357000418
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,70,9,4.7326179810625035e-06,2.369420289993286,12.967561600031331
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,70,11,4.950056336383568e-06,3.223057985305786,11.315040899964515
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,70,7,4.639045073417947e-06,2.1562113761901855,18.672718800022267
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,60,0,4.838721906708088e-06,3.000331163406372,34.40142940002261
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,80,2,4.981347956345417e-06,4.104483127593994,8.580018399981782
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,70,4,4.776753485202789e-06,2.800997257232666,21.662631700048223
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,80,3,4.745135356643004e-06,2.3811910152435303,11.289263399958145
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,80,5,4.953494681103621e-06,2.1155483722686768,11.103676999977324
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,10,100,80,1,4.992280082660727e-06,2.548992395401001,15.413416199968196
