problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,0,4.908308710582787e-06,24.379657745361328,6.537943500006804
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,1,4.918987087876303e-06,19.799484252929688,7.208360400007223
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,2,4.5463066271622665e-06,21.865619659423828,7.535517700001947
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,4,4.999306838726625e-06,24.1918888092041,8.375526700008777
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,7,4.520896254689433e-06,23.12938690185547,7.848847899993416
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,5,4.714763235824648e-06,26.685564041137695,9.16832520000753
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,8,4.995363724447088e-06,21.484601974487305,7.914706400013529
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,3,4.858634838456055e-06,19.019367218017578,10.541884799997206
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,6,4.959175839758245e-06,23.645082473754883,9.769505600008415
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,10,4.76599143439671e-06,20.696002960205078,9.926865899993572
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,9,4.968668235960649e-06,18.54400062561035,10.269866500006174
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,11,4.964915660821134e-06,20.785505294799805,10.26755229999253
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,0,4.99692941957619e-06,10.66390609741211,13.438954699988244
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,1,4.9292834773950744e-06,7.559962749481201,12.349279199988814
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,2,4.811219241673825e-06,10.718639373779297,12.84506490000058
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,3,4.983032795280451e-06,8.668664932250977,13.155903999999282
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,4,4.8814717956702225e-06,9.546100616455078,12.69617979999748
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,5,4.850229743169621e-06,10.112462997436523,13.993666499998653
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,7,4.92704975840752e-06,13.65462875366211,13.73852590000024
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,8,4.969996098225238e-06,13.0610933303833,13.29360240000824
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,6,4.9788450269261375e-06,11.982824325561523,15.45071309999912
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,9,4.828327291761525e-06,8.110733985900879,13.801884399988921
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,10,4.991185960534494e-06,8.555092811584473,13.69548819999909
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,11,4.968372650182573e-06,11.052630424499512,14.170369700004812
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,2,4.793996140506351e-06,5.386028289794922,15.485144400008721
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,1,4.95356107421685e-06,4.013273239135742,16.49269140000979
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,3,4.634869128494756e-06,4.922859191894531,15.514946399998735
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,0,4.9967006816586945e-06,6.339012145996094,17.763342399994144
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,4,4.924490440316731e-06,4.946356296539307,15.421681499996339
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,7,4.9904401748790406e-06,4.947391986846924,16.982362399998237
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,6,4.877564606431406e-06,6.03325080871582,18.836176400000113
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,9,4.873073521594051e-06,4.555493354797363,16.274320099997567
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,5,4.973063823854318e-06,4.853743076324463,19.752585199996247
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,8,4.9677141760184895e-06,6.642657279968262,17.447544700000435
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,10,4.972090664523421e-06,4.935245037078857,19.040454199988744
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,30,11,4.985767645848682e-06,5.0823283195495605,19.191085700003896
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,0,4.984558927390026e-06,3.912931203842163,21.594593900008476
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,2,4.975890533387428e-06,3.721677541732788,19.185803699991084
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,3,4.939046903018607e-06,2.790351390838623,18.375000300002284
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,4,4.996405095880618e-06,3.0926055908203125,17.872345099996892
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,1,4.917839305562666e-06,2.5717477798461914,19.736218899997766
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,6,4.991463356418535e-06,4.353074073791504,20.1453390000097
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,5,4.998937129130354e-06,3.5946133136749268,22.294570800004294
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,9,4.974757302989019e-06,3.1875059604644775,19.32038140000077
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,7,4.7586768232577015e-06,2.909407615661621,22.344211999996332
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,10,4.998696113034384e-06,2.8757972717285156,21.713864299992565
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,8,4.9897835197043605e-06,3.3472516536712646,22.35205999999016
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,40,11,4.876193088421132e-06,3.041025400161743,21.606943999999203
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,1,4.9632726586423814e-06,1.5464123487472534,21.883619999993243
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,0,4.98550480187987e-06,2.630706787109375,24.802333900006488
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,3,4.98092913403525e-06,2.126795530319214,20.48401470000681
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,4,4.8745546337158885e-06,1.926993489265442,21.355841399999917
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,2,4.937587164022261e-06,1.973260760307312,22.75199689999863
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,6,4.9833911361929495e-06,2.43686580657959,23.12618759999168
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,5,4.964203526469646e-06,2.2946360111236572,26.4703703999985
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,9,4.8753595365269575e-06,2.0949225425720215,22.216348899994045
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,7,4.739483756566187e-06,2.233872175216675,25.822621100000106
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,8,4.968877874489408e-06,2.106747627258301,23.237415899988264
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,10,4.998412805434782e-06,1.84856379032135,23.238652999993064
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,50,11,4.9606487664277665e-06,1.8395618200302124,24.705807000005734
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,1,4.999506018066313e-06,1.16559636592865,22.219087599994964
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,0,4.9799864427768625e-06,1.509181022644043,25.330878000007942
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,2,4.975163847120712e-06,1.5872159004211426,25.13993059999484
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,3,4.99869884151849e-06,1.5481109619140625,23.988159500004258
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,4,4.9640375436865725e-06,1.4184192419052124,25.017256200007978
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,6,4.849716788157821e-06,1.7305063009262085,25.177868300001137
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,5,4.952064045937732e-06,1.4972285032272339,27.967126500006998
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,7,4.962366801919416e-06,1.4144905805587769,28.742273299998487
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,8,4.9203194976144005e-06,1.3679918050765991,26.296754499999224
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,9,4.941628503729589e-06,1.5181387662887573,25.732586199999787
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,11,4.977087428414961e-06,1.5706098079681396,25.705884800001513
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,60,10,4.930450359097449e-06,1.2902629375457764,26.933660200011218
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,1,4.9814202611742076e-06,0.9135040640830994,25.897265999999945
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,0,4.879896096099401e-06,1.103395938873291,30.620511000000988
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,3,4.986252861272078e-06,1.153205156326294,24.267216899999767
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,2,4.926261681248434e-06,1.1635082960128784,27.925840899988543
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,6,4.957389592163963e-06,1.301986813545227,27.0198728999967
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,4,4.99406678500236e-06,1.1291733980178833,28.137870999998995
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,8,4.985843133908929e-06,0.9913474917411804,25.78850579999562
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,9,4.973952854925301e-06,0.9746538996696472,27.466718099996797
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,5,4.96600614496856e-06,1.159902811050415,30.13208019999729
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,7,4.98149847771856e-06,0.973890483379364,29.974716600001557
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,10,4.99693442179705e-06,1.0252556800842285,29.128312799992273
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,70,11,4.917517344438238e-06,1.099217176437378,31.25940460000129
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,80,1,4.9308373490930535e-06,0.6677330136299133,27.928722199998447
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,80,0,4.958076260663802e-06,0.7841783761978149,32.49483070000133
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,80,3,4.983312010153895e-06,0.8652397394180298,26.668060800002422
