problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,1,4.981362053513294e-06,4.426738262176514,0.8069409000017913
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,0,4.9984632823907305e-06,4.007843017578125,1.7344301999983145
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,3,4.938192432746291e-06,6.841853618621826,0.5939906999992672
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,2,4.97209020977607e-06,5.523005485534668,1.070541699999012
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,5,4.979735422239173e-06,4.919587135314941,0.8205362000007881
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,4,4.9807636059995275e-06,6.452206134796143,1.2808989999903133
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,7,4.9842919906950556e-06,6.466559410095215,1.0069993999932194
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,8,4.987321972294012e-06,5.859307765960693,1.1175363000074867
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,6,4.99580573887215e-06,6.14931583404541,2.2032975000038277
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,9,4.991427886125166e-06,8.364660263061523,1.2711812000052305
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,11,4.9853779273689725e-06,6.111025333404541,0.8997334000014234
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,10,10,4.993732090952108e-06,5.5008769035339355,1.2353014999971492
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,1,4.998377789888764e-06,2.6923141479492188,0.662145900001633
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,0,4.983268809155561e-06,2.3788576126098633,1.4558190999960061
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,3,4.952160907123471e-06,3.158801317214966,0.5969061999931
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,2,4.982016889698571e-06,3.4812397956848145,1.4776095999986865
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,5,4.977055596100399e-06,3.451765775680542,0.5470601999986684
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,4,40,20,4,4.9922387006517965e-06,3.9809000492095947,1.4140468999976292
