problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,10,2,4.9946179387916345e-06,0.39104560017585754,1.472384799970314
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,10,1,4.99939142173389e-06,0.37186020612716675,2.3777893999940716
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,10,0,4.9982227210421115e-06,0.3399308919906616,2.9681383999995887
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,10,3,4.990718480257783e-06,0.4109397530555725,1.797367800027132
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,10,5,4.999043540010462e-06,0.3552951514720917,1.4949305999907665
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,10,6,4.999812517780811e-06,0.5341801643371582,1.709212000016123
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,10,4,4.994619303033687e-06,0.49039226770401,1.9479954999987967
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,10,8,4.9977461458183825e-06,0.44325578212738037,1.685247600020375
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,10,7,4.999671091354685e-06,0.3929418623447418,2.403083500044886
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,10,10,4.995103608962381e-06,0.45416566729545593,2.474733399983961
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,10,11,4.997464657208184e-06,0.38175010681152344,2.172287800000049
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,10,9,4.998773874831386e-06,0.3819758892059326,3.3007571000489406
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,20,1,4.999173143005464e-06,0.305179238319397,2.539752300013788
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,20,0,4.999096745450515e-06,0.3120012879371643,2.7068579000188038
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,20,3,4.998408257961273e-06,0.3193700313568115,1.5969133999897167
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,20,2,4.998849362891633e-06,0.3205433487892151,2.803247999981977
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,20,4,4.9949021558859386e-06,0.4801473319530487,2.2553619000245817
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,20,6,4.999267730454449e-06,0.38628217577934265,2.8140097999712452
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,20,7,4.9995487643172964e-06,0.3546733260154724,2.810312999994494
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,20,9,4.999501470592804e-06,0.41690388321876526,2.533677199971862
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,20,5,4.982002792530693e-06,0.3092360496520996,3.9426583999884315
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,20,8,4.999375505576609e-06,0.33637797832489014,3.138791300007142
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,20,10,4.999499651603401e-06,0.3453044295310974,3.179792799986899
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,20,11,4.998084023100091e-06,0.30670496821403503,3.1808396999840625
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,30,0,4.999849352316232e-06,0.2764013707637787,3.7257819999940693
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,30,3,4.992801223124843e-06,0.3010048270225525,2.807910899980925
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,30,1,4.99946327181533e-06,0.3106219172477722,3.9547497000312433
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,30,2,4.996757525077555e-06,0.3428586721420288,3.8876038000453264
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,30,4,4.999717475584475e-06,0.35158729553222656,2.9562556000309996
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,30,10,4.998506028641714e-06,0.30611833930015564,2.2266583000309765
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,30,7,4.99689849675633e-06,0.3011590242385864,3.137864999996964
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,30,8,4.999486463930225e-06,0.28543153405189514,3.2358341999934055
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,30,6,4.999040811526356e-06,0.33274540305137634,3.8704949999810196
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,30,9,4.9995564950222615e-06,0.34362831711769104,3.075488700007554
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,30,5,4.974047442374285e-06,0.2703401446342468,4.227489999961108
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,40,3,4.999557859264314e-06,0.28608784079551697,2.900385599990841
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,40,1,4.9989439503406174e-06,0.28512126207351685,3.807423199992627
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,40,0,4.999621978640789e-06,0.2692904770374298,4.814255099976435
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,30,11,4.985959094483405e-06,0.3003169596195221,5.249536200019065
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,40,4,4.99993529956555e-06,0.2849273681640625,3.6719847000204027
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,40,2,4.999110387871042e-06,0.2972661852836609,4.6330928999814205
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,40,8,4.998813437850913e-06,0.26540473103523254,2.9698590000043623
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,40,9,4.998572421754943e-06,0.32364633679389954,3.488269399967976
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,40,5,4.9985310397460125e-06,0.23671121895313263,4.84019650000846
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,40,6,4.9987993406830356e-06,0.29094943404197693,4.502953800023533
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,40,10,4.999203156330623e-06,0.29458582401275635,3.9427219000062905
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,50,1,4.996797542844433e-06,0.2738041281700134,4.041050600004382
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,40,7,4.999875272915233e-06,0.26996809244155884,5.330556400003843
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,40,11,4.99950965604512e-06,0.2628769874572754,4.682559099979699
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,50,3,4.991214154870249e-06,0.2558135390281677,3.410424800007604
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,50,2,4.979430741514079e-06,0.2759602963924408,4.6256824000156485
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,50,0,4.995151812181575e-06,0.2516252100467682,4.853415600024164
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,50,8,4.999376869818661e-06,0.269813597202301,3.813511800020933
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,50,10,4.9951668188441545e-06,0.2717147469520569,3.444722999993246
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,50,9,4.999264547222992e-06,0.27719756960868835,3.713362300011795
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,50,4,4.960175374435494e-06,0.2686288058757782,4.71011109999381
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,50,6,4.998777512810193e-06,0.2679932415485382,4.280045899969991
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,60,3,4.997726591682294e-06,0.24073730409145355,3.446018800023012
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,50,5,4.9990517254627775e-06,0.23040784895420074,5.567566599987913
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,60,1,4.9980667427007575e-06,0.2635384500026703,4.4006335999583825
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,50,11,4.999523298465647e-06,0.23986883461475372,4.9462146000005305
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,50,7,4.998868007533019e-06,0.24025210738182068,5.573480100021698
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,60,10,4.998307758796727e-06,0.2643190026283264,3.0502958999713883
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,60,0,4.9973255045188125e-06,0.2422119826078415,5.560484100016765
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,60,2,4.9926507017517e-06,0.2398090809583664,5.051879599981476
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,60,6,4.999256816518027e-06,0.2625042498111725,4.573911700048484
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,60,4,4.994550636183703e-06,0.2440788596868515,5.4371257000020705
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,60,8,4.997549240215449e-06,0.22479963302612305,4.650901299959514
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,60,11,4.999249995307764e-06,0.22403159737586975,4.528478999971412
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,70,3,4.998233180231182e-06,0.21762309968471527,3.6228488000342622
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,60,9,4.996863935957663e-06,0.2595154941082001,5.192401800013613
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,60,5,4.997873929823982e-06,0.21784663200378418,5.8225883999839425
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,70,1,4.998773420084035e-06,0.24325597286224365,4.542047600029036
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,70,10,4.998875283490634e-06,0.24950866401195526,2.7589295000070706
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,60,7,4.99873476655921e-06,0.23171208798885345,6.227506899973378
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,70,2,4.986500698578311e-06,0.23142936825752258,5.452170400007162
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,70,0,4.977103344572242e-06,0.22075387835502625,5.973627200000919
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,70,9,4.992964477423811e-06,0.2628726065158844,5.326664699998219
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,80,0,4.9920304263650905e-06,0.2273341715335846,4.732300199975725
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,70,8,4.999321390641853e-06,0.2163950800895691,5.616543799987994
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,70,6,4.995508788852021e-06,0.25078079104423523,5.910181200015359
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,80,1,4.995862582291011e-06,0.23649609088897705,4.70904889999656
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,70,4,4.995905783289345e-06,0.23912988603115082,7.536361099977512
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,80,3,4.985363830201095e-06,0.20258013904094696,4.549870599992573
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,70,7,4.997963515052106e-06,0.21639585494995117,6.569324899988715
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,80,2,4.999633347324561e-06,0.22041937708854675,5.226411500014365
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,10,100,70,5,4.99705220136093e-06,0.2040293663740158,8.313408599991817
