problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,0,4.998153144697426e-06,2.425945997238159,2.0824240000220016
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,1,4.999927568860585e-06,2.209409713745117,2.7036043999833055
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,2,4.999437351216329e-06,2.6358654499053955,2.1738288000342436
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,4,4.997050382371526e-06,3.041369915008545,2.0053626999724656
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,3,4.996805728296749e-06,2.3571343421936035,2.7483959000092
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,5,4.999923021387076e-06,2.4548633098602295,1.9707331000245176
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,7,4.999079465051182e-06,2.566122531890869,1.8638448000419885
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,8,4.999835709895706e-06,2.4524974822998047,2.1627673000330105
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,10,4.99862198921619e-06,2.5751445293426514,1.9815792000154033
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,6,4.998628810426453e-06,3.088087797164917,3.0169527999823913
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,11,4.985392934031552e-06,2.663212776184082,2.5530391999636777
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,10,9,4.999733391741756e-06,2.589702606201172,3.2707518999814056
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,1,4.999428711016662e-06,1.3753730058670044,2.3532996000139974
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,0,4.9991122068604454e-06,1.1565768718719482,3.6981406999984756
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,4,4.998745680495631e-06,1.581329584121704,2.5117622000398114
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,4,40,20,2,4.999105840397533e-06,1.3512519598007202,2.9987604999914765
