problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,0,4.994719802198233e-06,2.8623759746551514,11.183095500004129
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,1,4.998036729375599e-06,3.1016201972961426,10.280532500008121
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,3,4.970234840584453e-06,3.512460708618164,8.781282199997804
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,4,4.9990717343462165e-06,3.3431954383850098,9.503831400012132
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,5,4.940118287777295e-06,2.701808452606201,9.88395550000132
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,2,4.973110662831459e-06,3.1346654891967773,10.627227800010587
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,6,4.890883246844169e-06,2.992201089859009,11.213474800009863
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,7,4.999609245714964e-06,3.1751654148101807,10.44800830000895
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,10,4.951070877723396e-06,3.066362142562866,9.004288800002541
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,8,4.9268237489741296e-06,3.1345160007476807,10.561635399993975
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,9,4.906022695649881e-06,3.3486106395721436,11.887797300005332
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,11,4.984803126717452e-06,2.9452388286590576,11.917398899997352
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,0,4.984383849659935e-06,1.4167402982711792,12.590867499995511
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,1,4.905137757305056e-06,1.2704887390136719,13.311300900008064
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,3,4.910381449008128e-06,1.5516895055770874,11.989777999988291
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,4,4.898827228316804e-06,1.5418320894241333,12.297885799998767
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,5,4.977696335117798e-06,1.6080163717269897,12.615646699996432
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,2,4.915397312288405e-06,1.791917324066162,14.334780199991656
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,8,4.969637757312739e-06,1.6077756881713867,12.801445599994622
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,9,4.940958206134383e-06,1.8338061571121216,13.195828900003107
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,7,4.983049620932434e-06,1.3789976835250854,13.64249139999447
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,6,4.981834536010865e-06,1.4910167455673218,14.962314399992465
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,10,4.90950560561032e-06,1.4232279062271118,14.303142600008869
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,0,4.993286438548239e-06,0.8842584490776062,15.076475900001242
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,11,4.800216174771776e-06,1.2035017013549805,17.176603500003694
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,3,4.880167125520529e-06,0.9500319361686707,14.299710599996615
