problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,0,4.998854819859844e-06,0.4260086119174957,3.303671800007578
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,3,4.996406914870022e-06,0.3972674310207367,2.5712559999956284
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,2,4.998248186893761e-06,0.3738129138946533,3.6263016000011703
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,4,4.997458745492622e-06,0.42991629242897034,3.516331299993908
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,5,4.996511961508077e-06,0.4028225541114807,3.625614599994151
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,6,4.9995883273368236e-06,0.4377504587173462,3.577711799996905
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,1,4.999983957532095e-06,0.43248018622398376,5.977175799998804
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,7,4.999122666049516e-06,0.3396051824092865,3.2861652999999933
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,8,4.999626071366947e-06,0.5813369750976562,4.358762500007288
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,10,4.995843028154923e-06,0.406230628490448,3.4654666999995243
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,9,4.998473741579801e-06,0.40294891595840454,4.199806299991906
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,0,4.999578322895104e-06,0.3421630859375,4.144181499999831
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,3,4.997742507839575e-06,0.3766700327396393,3.598380499999621
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,4,4.996872121409979e-06,0.34157055616378784,3.7320323000021745
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,11,4.999718839826528e-06,0.3902643918991089,4.920007499997155
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,1,4.9988557293545455e-06,0.43182799220085144,4.908970999997109
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,5,4.995409653929528e-06,0.3709794878959656,4.497282199998153
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,7,4.999654265702702e-06,0.3111478388309479,4.466351499999291
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,2,4.99983252666425e-06,0.348063588142395,5.669441099991673
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,9,4.999305474484572e-06,0.431551456451416,3.88214760000119
