problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,0,4.9906529966392554e-06,6.032871246337891,0.8035882999538444
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,1,4.984160568710649e-06,5.099386692047119,0.7894940000260249
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,2,4.986079147784039e-06,6.539641380310059,1.0246693000080995
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,3,4.975278898200486e-06,6.092926979064941,0.7775098999845795
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,5,4.952463768859161e-06,6.0521955490112305,0.602616999996826
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,4,4.986437488696538e-06,7.602465629577637,0.7718750000349246
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,7,4.9796822167991195e-06,6.317801475524902,0.5554342999821529
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,6,4.980994162906427e-06,5.739663600921631,0.6310023000114597
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,8,4.9767222662921995e-06,4.804871082305908,0.8721228999784216
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,9,4.965685093338834e-06,5.69422721862793,0.6510250000283122
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,10,4.985452505934518e-06,5.855794906616211,0.6907664000173099
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,10,11,4.993771199224284e-06,5.976327419281006,1.029060200031381
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,0,4.993513812223682e-06,3.189903736114502,0.7793494999641553
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,1,4.964673280483112e-06,3.731696367263794,0.7529956999933347
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,3,4.973642717231996e-06,3.831372022628784,0.7392206999938935
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,4,4.990355137124425e-06,4.812723159790039,0.8723446000367403
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,2,4.977468961442355e-06,4.814810752868652,0.9300503000267781
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,5,4.969424026057823e-06,4.6448211669921875,0.503995799983386
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,6,4.983429789717775e-06,3.8410801887512207,0.7871658999938518
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,7,4.995762992621167e-06,3.8367786407470703,1.0619338000542484
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,8,4.9444074647908565e-06,3.194342851638794,0.5922405000310391
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,4,40,20,9,4.955398708261782e-06,3.7081820964813232,0.5883474000147544
