problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,4.9978261813521385e-06,13.770014762878418,2.70284779999929
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,4.99357929584221e-06,17.116718292236328,3.1598742000060156
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,3,4.994957180315396e-06,14.732943534851074,2.704756199993426
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,4.998898020858178e-06,14.717575073242188,3.4522046000056434
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,5,4.993741640646476e-06,15.902213096618652,2.3902300000045216
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,4,4.998080839868635e-06,15.32148265838623,3.6241579000052297
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,6,4.990230991097633e-06,17.138347625732422,2.674575900004129
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,7,4.993027232558234e-06,17.69059181213379,2.9899978000030387
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,8,4.996209099772386e-06,16.096920013427734,2.6954482999863103
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,9,4.999749762646388e-06,14.647442817687988,2.7763237999897683
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,10,4.998976692149881e-06,15.598832130432129,2.152899199994863
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,11,4.989352873963071e-06,18.74019432067871,2.4906258000119124
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,4.996486950403778e-06,9.437848091125488,4.965175899997121
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,4.999249995307764e-06,8.945713996887207,4.8714025000081165
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,4.996383268007776e-06,8.852405548095703,5.310469699994428
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,3,4.9937525545828976e-06,9.094173431396484,4.996004099986749
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,4,4.999671091354685e-06,8.643400192260742,5.650575799998478
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,7,4.998201802663971e-06,10.682354927062988,4.274429800003418
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,5,4.9990358093054965e-06,10.299237251281738,5.789778500009561
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,8,4.998143595003057e-06,10.009866714477539,5.156457200006116
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,6,4.999849807063583e-06,11.914654731750488,5.998493799997959
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,9,4.99414863952552e-06,9.159717559814453,4.984907000005478
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,10,4.998753865947947e-06,9.661288261413574,5.116282900009537
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,11,4.995902145310538e-06,9.968542098999023,5.100288900008309
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,4.99653424412827e-06,6.476475715637207,7.050926299998537
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,4.9963846322498284e-06,6.518361568450928,6.525125800006208
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,4.998101758246776e-06,6.116119384765625,8.28713469998911
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,3,4.99708812640165e-06,6.7674150466918945,7.273396199991112
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,4,4.997203632228775e-06,6.146805763244629,7.491669700000784
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,5,4.997047653887421e-06,7.302084922790527,7.47678480000468
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,6,4.930489467369625e-06,7.044069766998291,7.891065500007244
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,7,4.999366410629591e-06,7.276443004608154,7.207663200009847
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,8,4.997446467314148e-06,6.958674430847168,7.509805299996515
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,9,4.99806310472195e-06,6.304068565368652,8.069538300012937
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,11,4.998828444513492e-06,6.557209491729736,7.30840029999672
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,10,4.997020823793719e-06,6.656314849853516,7.8122619000059785
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,4.998000804334879e-06,4.838982582092285,7.904321199996048
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,4.996948064217577e-06,4.5394287109375,9.030495800005156
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,4.999567408958683e-06,4.914501190185547,9.406515900001978
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,3,4.998293206881499e-06,5.179837703704834,8.623441100004129
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,4,4.999636985303368e-06,4.051379680633545,8.815801000004285
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,5,4.998979420633987e-06,5.645125865936279,9.344698100001551
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,7,4.9999448492599186e-06,5.428137302398682,8.227198000007775
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,6,4.942611212754855e-06,4.562206745147705,9.284531700002844
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,8,4.999852535547689e-06,4.99105167388916,8.480063000009977
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,9,4.976617674401496e-06,4.694781303405762,8.53225659999589
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,11,4.999638804292772e-06,4.472085475921631,7.741219899995485
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,10,4.997498308512149e-06,4.460720062255859,8.809045400004834
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,4.998494659957942e-06,2.9895312786102295,10.27520080000977
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,4.9981667871179525e-06,3.5646615028381348,10.227907600012259
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,4.997548785468098e-06,3.397839069366455,10.684837399996468
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,3,4.9994364417216275e-06,3.416059732437134,11.117076499998802
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,5,4.998304575565271e-06,4.048449516296387,9.565151599992532
