problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,2,4.999398242944153e-06,0.9605751037597656,2.9307718999916688
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,0,4.998103577236179e-06,0.958807647228241,7.911385199986398
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,1,4.999747034162283e-06,0.9697293639183044,5.014910000027157
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,3,4.998185431759339e-06,0.8217753171920776,3.616377400001511
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,6,4.997959422325948e-06,0.9416694045066833,6.155843399988953
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,5,4.9999607654172e-06,0.8539531826972961,9.205487400002312
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,4,4.9814602789410856e-06,1.0195302963256836,13.381096399971284
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,9,4.999439624953084e-06,0.77520751953125,4.816042699967511
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,7,4.99967381983879e-06,1.0628595352172852,9.60675600002287
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,10,4.998213626095094e-06,1.0816904306411743,3.645585599995684
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,8,4.998587883164873e-06,0.9681141972541809,15.178276999969967
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,11,4.999706561648054e-06,0.9601089954376221,11.046099000028335
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,1,4.99963789479807e-06,0.6284059882164001,12.483287999988534
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,2,4.985269242752111e-06,0.6101604700088501,9.66306709998753
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,4,4.995158178644488e-06,0.8898614048957825,5.895426500006579
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,6,4.999631073587807e-06,0.7212183475494385,3.595881699991878
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,7,4.993746188119985e-06,0.6849687695503235,4.781400299980305
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,8,4.998676104150945e-06,0.5536500215530396,5.262365799979307
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,9,4.999363682145486e-06,0.48286935687065125,4.890125199977774
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,5,4.998212261853041e-06,0.7734259963035583,12.192592900013551
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,11,4.995543804398039e-06,0.7894884943962097,5.356849700037856
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,10,4.976609034201829e-06,0.7150588035583496,8.568540999956895
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,3,4.994244136469206e-06,0.6190608739852905,17.6091736999806
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,0,4.998728854843648e-06,0.42091289162635803,26.037200800026767
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,30,1,4.999456905352417e-06,0.45470625162124634,8.019254799990449
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,30,5,4.999807515559951e-06,0.501992404460907,4.5672481000074185
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,30,3,4.98991676067817e-06,0.4624617099761963,6.252669299952686
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,30,8,4.999655175197404e-06,0.4849593937397003,2.8482378000044264
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,30,2,4.990081379219191e-06,0.4385150969028473,10.386582699953578
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,30,11,4.997880296286894e-06,0.5146544575691223,4.467214400006924
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,30,0,4.997643827664433e-06,0.37716343998908997,15.234232499962673
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,30,10,4.99912994200713e-06,0.5093960762023926,5.475683800003026
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,30,6,4.997807081963401e-06,0.5469228029251099,8.771779200003948
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,40,0,4.99964789923979e-06,0.3256756067276001,6.7498984999838285
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,30,4,4.998198164685164e-06,0.505286455154419,12.796825200028252
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,30,9,4.9892305469256826e-06,0.3623426556587219,9.96969940001145
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,40,1,4.999285010853782e-06,0.3408207297325134,6.164668900019024
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,40,3,4.9907048378372565e-06,0.3847094774246216,7.51140870002564
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,30,7,4.998581516701961e-06,0.4392155706882477,16.574547600001097
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,40,7,4.998706117476104e-06,0.325236052274704,5.868681700027082
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,40,8,4.999570592190139e-06,0.3259342312812805,6.357696400023997
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,40,2,4.999584234610666e-06,0.3818230926990509,11.834714700002223
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,40,4,4.98985491503845e-06,0.43380245566368103,11.588519399985671
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,40,5,4.999420980311697e-06,0.453585684299469,11.28163320000749
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,40,9,4.999115390091902e-06,0.28698235750198364,7.803826400020625
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,40,6,4.999805696570547e-06,0.40342405438423157,10.449828500044532
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,50,1,4.998712483939016e-06,0.28843188285827637,3.8944713000091724
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,40,11,4.992340109311044e-06,0.4040820598602295,7.317174400028307
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,50,4,4.996307325200178e-06,0.32187169790267944,5.149764199974015
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,40,10,4.986001385987038e-06,0.3873039484024048,11.811056300008204
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,50,5,4.998674739908893e-06,0.3411012887954712,6.89234000002034
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,50,7,4.980721769243246e-06,0.28906306624412537,7.7798382000182755
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,50,2,4.999418251827592e-06,0.370265394449234,10.984026600024663
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,50,0,4.9997966016235296e-06,0.2691600024700165,13.409024599997792
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,50,8,4.999915290682111e-06,0.30730098485946655,7.869393200031482
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,50,9,4.9997302085103e-06,0.24308224022388458,6.8645392000325955
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,50,6,4.994071332475869e-06,0.30822768807411194,10.100184000039008
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,50,3,4.998284111934481e-06,0.3119579255580902,13.136936100025196
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,60,1,4.9985833356913645e-06,0.28554511070251465,5.399949600046966
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,50,10,4.99872476211749e-06,0.2826555669307709,8.216822099988349
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,60,4,4.997184987587389e-06,0.28621184825897217,5.850678700022399
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,60,0,4.999409156880574e-06,0.24131661653518677,8.97237120004138
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,60,5,4.9934606067836285e-06,0.27257436513900757,5.799639699980617
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,60,6,4.999726570531493e-06,0.27243515849113464,7.681063500000164
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,60,2,4.999687007511966e-06,0.31652793288230896,9.663589300005697
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,50,11,4.9980503717961255e-06,0.2665168046951294,12.623963099962566
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,60,3,4.999219072487904e-06,0.2395118772983551,10.28060880000703
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,60,9,4.999240900360746e-06,0.2135544866323471,6.453166900028009
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,60,7,4.995638846594375e-06,0.2193920910358429,10.241967700014357
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,70,1,4.999747034162283e-06,0.21841365098953247,5.10037589998683
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,60,11,4.996148618374718e-06,0.256978303194046,7.50790839997353
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,60,8,4.9997688620351255e-06,0.2078942209482193,10.83355219999794
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,60,10,4.993657967133913e-06,0.2373504638671875,9.132012200017925
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,70,6,4.998850272386335e-06,0.24967919290065765,3.9348404000047594
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,70,8,4.998807980882702e-06,0.16692043840885162,5.425448400026653
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,70,2,4.984976840205491e-06,0.2855052649974823,8.421496199967805
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,70,5,4.9993400352832396e-06,0.2324191778898239,8.230287099955603
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,70,0,5.214593329583295e-06,0.21552987396717072,11.901502699998673
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,70,4,4.9972413762588985e-06,0.23510393500328064,8.880599200027063
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,70,10,4.998002168576932e-06,0.2503843307495117,5.622499999997672
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,70,3,4.996027200832032e-06,0.18974581360816956,10.65396939998027
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,80,2,4.9983027565758675e-06,0.24333450198173523,5.574606299982406
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,70,7,4.999810698791407e-06,0.21359959244728088,8.66785989998607
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,80,1,4.999342763767345e-06,0.1970468908548355,6.343504999997094
