problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,2,4.979588084097486e-06,1.7041428089141846,8.344835399999283
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,0,4.9952350309467874e-06,1.5707646608352661,10.603588000012678
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,1,4.998767053621123e-06,1.536533236503601,10.771096299999044
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,3,4.99857605973375e-06,1.5588642358779907,9.14207419999002
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,5,4.955517397320364e-06,1.6312910318374634,9.600555800003349
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,4,4.9767181735660415e-06,1.403641939163208,10.349373199991533
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,6,4.9340815166942775e-06,1.5732502937316895,10.220868500007782
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,8,4.957387318427209e-06,1.471505045890808,7.57228049999685
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,7,4.994284608983435e-06,1.7545067071914673,8.821070299993153
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,10,4.953264124196721e-06,1.4459325075149536,9.745925399998669
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,11,4.99764746564324e-06,1.4398386478424072,9.162056899993331
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,9,4.959361376677407e-06,2.2156126499176025,11.976695099991048
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,0,4.983245162293315e-06,0.6142065525054932,10.88980969999102
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,7,4.998169515602058e-06,0.7359035611152649,8.415332000004128
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,4,4.979438926966395e-06,0.6119492053985596,10.032076699993922
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,1,4.997291853214847e-06,0.5173569917678833,12.111375099993893
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,8,4.9983632379735354e-06,0.6928648352622986,8.772935699991649
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,5,4.998161330149742e-06,0.6069316267967224,10.518964799994137
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,3,4.990100478607928e-06,0.5413864254951477,11.34535109999706
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,2,4.99726775160525e-06,0.6222968697547913,11.449445400008699
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,10,4.953913503413787e-06,0.5753602385520935,9.645135900005698
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,6,4.997512860427378e-06,0.6553050875663757,10.521436699986225
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,11,4.991959031031001e-06,0.5533000826835632,9.807645400011097
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,9,4.958219506079331e-06,0.6891725063323975,11.855348299999605
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,0,4.9978020797425415e-06,0.28032925724983215,11.755353200001991
nsb_log_d4,p,pytorch,mlp_4x40_elu,elu,4,40,30,2,4.9993682296189945e-06,0.31982535123825073,11.49602920000325
