problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,1,4.99766792927403e-06,0.7440816760063171,5.8281164999934845
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,0,4.997958058083896e-06,0.6565542221069336,14.138311799993971
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,2,4.998280473955674e-06,0.9463003873825073,4.804972600002657
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,3,4.999326847610064e-06,0.9196353554725647,7.703007200005231
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,6,4.999743850930827e-06,0.8773171305656433,6.126545799997984
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,4,4.999223619961413e-06,1.0708658695220947,10.469876099989051
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,5,4.997935320716351e-06,0.7093931436538696,10.423207300002105
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,8,4.999127668270376e-06,0.9203180074691772,8.238498100006836
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,10,4.997787073079962e-06,0.9347673058509827,8.18631259999529
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,7,4.99273301102221e-06,1.045201063156128,12.289639700000407
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,11,4.9945861064770725e-06,0.9520363211631775,9.283890599996084
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,10,9,4.999234988645185e-06,1.142663836479187,14.81574270001147
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,0,4.9959635362029076e-06,0.5076286792755127,10.42773149999266
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,2,4.9968848543358035e-06,0.5945074558258057,10.024540600003093
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,4,4.995969447918469e-06,0.7685232162475586,9.99908900000446
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,3,4.999594239052385e-06,0.5601145029067993,11.023884299997007
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,5,4.998749318474438e-06,0.5678573846817017,8.896585099995718
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,1,4.991790774511173e-06,0.48365622758865356,14.721111199993175
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,8,4.99889893035288e-06,0.6695785522460938,12.094353199994657
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,10,4.997725682187593e-06,0.6903893947601318,10.119491100005689
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,0,4.9936325012822635e-06,0.42173871397972107,9.606188699995982
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,6,4.9997570386040024e-06,0.5565192699432373,15.912200499995379
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,7,4.997673386242241e-06,0.6648572683334351,15.183197399994242
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,1,4.998738859285368e-06,0.3839263916015625,9.793850400004885
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,11,4.998434178560274e-06,0.6664376854896545,12.646212299994659
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,20,9,4.9934205890167505e-06,0.6828180551528931,18.522977500004345
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,5,4.994823939341586e-06,0.3896999955177307,9.384066999991774
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,2,4.999938028049655e-06,0.4264170527458191,10.662149299998418
nsb_log_d4,p,pytorch,mlp_4x40_relu,relu,4,40,30,4,4.999496013624594e-06,0.4971006512641907,10.08488190000935
