problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,2,4.943402473145397e-06,13.673582077026367,20.608662999991793
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,0,4.945423825120088e-06,17.394630432128906,43.084766899992246
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,10,4.897579401585972e-06,13.964234352111816,20.008125599997584
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,6,4.983244707545964e-06,12.362846374511719,27.276568499975838
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,7,4.616298610926606e-06,14.798408508300781,25.174672900000587
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,5,4.7842668209341355e-06,13.72784423828125,32.208585599961225
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,11,4.949320555169834e-06,14.7815580368042,27.11171299999114
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,3,4.780495146405883e-06,6.610604763031006,28.55798019998474
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,8,4.905514742858941e-06,19.153566360473633,52.55946120002773
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,1,4.781549705512589e-06,13.185675621032715,66.54649009997956
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,3,4.923926553601632e-06,15.061750411987305,60.84779789997265
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,9,4.8363835958298296e-06,13.071596145629883,52.21803359995829
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,2,4.909029939881293e-06,5.229846954345703,32.70592290000059
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,4,4.950241418555379e-06,6.697141647338867,31.784970300039276
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,10,4,4.830536454392131e-06,13.880702018737793,60.471039700030815
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,1,4.892112428933615e-06,5.550509929656982,41.5066088999738
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,7,4.9793975449574646e-06,9.593716621398926,33.75434749998385
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,5,4.869522399530979e-06,8.279150009155273,43.93363040004624
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,6,4.8712304305809084e-06,7.110959053039551,43.128120700013824
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,0,4.9057757678383496e-06,4.12031364440918,63.32442430005176
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,8,4.9958034651353955e-06,9.107165336608887,50.53462900000159
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,9,4.968566372554051e-06,8.01030445098877,32.821387799980585
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,3,4.940358394378563e-06,4.021683216094971,33.544007699994836
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,10,4.846549018111546e-06,7.504451274871826,38.0144922999898
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,4,4.8903634706221055e-06,3.186310291290283,39.607146099966485
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,6,4.9011100600182544e-06,4.275439262390137,35.938130099966656
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,0,4.931120656692656e-06,2.3356988430023193,42.72817090002354
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,2,4.96233315061545e-06,2.7219388484954834,42.50016950001009
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,20,11,4.976299351255875e-06,6.378317832946777,43.34828460001154
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,1,4.872590125160059e-06,2.9390811920166016,48.64558449998731
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,7,4.995954896003241e-06,3.2399821281433105,38.791039799980354
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,9,4.956712018611142e-06,3.8090384006500244,36.41599639999913
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,5,4.957576038577827e-06,3.1550235748291016,59.63325660000555
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,40,3,4.960425940225832e-06,2.2234280109405518,36.80209810001543
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,40,2,4.996397365175653e-06,1.7408281564712524,40.667638599989004
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,8,4.638226073439e-06,4.649575233459473,56.690431499970146
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,10,4.974388957634801e-06,3.1636111736297607,51.93439310003305
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,40,1,4.987663032807177e-06,1.7550950050354004,46.35053900000639
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,30,11,4.979026925866492e-06,3.367521047592163,54.82724940002663
nsb_log_d4,u,jax,mlp_10x100_elu,elu,10,100,40,8,4.894651283393614e-06,2.4276890754699707,41.024731100013014
