problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,0,4.999109023628989e-06,5.615674018859863,9.984952300030272
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,2,4.999670636607334e-06,5.645218849182129,4.9550003000185825
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,1,4.998137683287496e-06,6.437062740325928,8.13045279996004
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,6,4.997610631107818e-06,5.38456392288208,1.6156418999889866
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,4,4.996164534531999e-06,6.829161643981934,5.625468499958515
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,3,4.999866177968215e-06,4.999890327453613,6.630920700030401
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,5,4.996614279662026e-06,5.6451592445373535,8.41939530003583
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,7,4.999467364541488e-06,6.320928573608398,9.184948199952487
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,8,5.981647063890705e-06,4.406958103179932,12.227300699974876
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,11,4.997139058104949e-06,6.128424167633057,7.857485400047153
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,9,4.997768883185927e-06,5.3138580322265625,11.473547199973837
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,10,4.9998170652543195e-06,7.814505577087402,10.077411999984179
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,1,4.99990437674569e-06,3.6206300258636475,9.229017200006638
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,0,9.603066246199887e-06,2.801478862762451,15.142278399958741
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,4,4.999300927011063e-06,4.53662633895874,10.708817400038242
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,2,4.999281827622326e-06,3.9590914249420166,11.726539700001013
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,6,4.998602889827453e-06,4.2882561683654785,10.91616999998223
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,3,4.90381626150338e-06,3.316704511642456,13.377326800022274
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,5,6.369041329890024e-06,3.698045492172241,15.688640100008342
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,7,8.022012480068952e-06,3.708468198776245,12.259927699982654
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,11,4.99627776662237e-06,4.649476051330566,9.015009000024293
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,8,7.130212907213718e-06,2.9751501083374023,15.797745799995027
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,10,4.999790689907968e-06,4.779219150543213,12.859251100046095
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,9,9.863045306701679e-06,2.9212393760681152,15.306034800014459
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,3,6.619211944780545e-06,2.7497193813323975,11.859389299992472
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,0,1.1378268936823588e-05,1.6484646797180176,17.713814900023863
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,1,4.999567408958683e-06,2.284522771835327,15.918920100026298
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,4,4.998743861506227e-06,3.565804958343506,13.313379300001543
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,2,8.291888661915436e-06,3.0028061866760254,18.653535399993416
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,5,7.769703188387211e-06,2.6156399250030518,15.697522200003732
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,6,4.999836164643057e-06,3.0955636501312256,18.5764098999789
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,7,8.600644832768012e-06,2.1833488941192627,16.510194099973887
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,8,1.0745756299002096e-05,1.8799654245376587,15.906631899997592
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,9,1.5313293260987848e-05,2.089200973510742,15.596578099997714
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,11,4.9999048314930405e-06,2.9814441204071045,16.564844499982428
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,30,10,4.999597422283841e-06,3.5252456665039062,19.10572079999838
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,0,1.2617365428013727e-05,1.5317058563232422,22.49326060002204
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,6,4.999705197406001e-06,2.8951222896575928,12.432319799961988
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,3,6.750154170731548e-06,2.210545063018799,20.168083500000648
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,1,6.789926374040078e-06,2.229210615158081,26.2835312000243
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,5,1.1068213098042179e-05,2.354580879211426,18.92507990001468
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,8,9.263812899007462e-06,1.6431431770324707,20.277709000045434
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,2,1.1678587725327816e-05,2.4343109130859375,28.268847799976356
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,7,1.2427605724951718e-05,1.7209253311157227,22.4626909000217
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,10,7.942850970721338e-06,3.0314269065856934,20.898810999991838
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,4,4.999785232939757e-06,2.686755895614624,26.37456690002
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,9,1.3833726370648947e-05,1.7405331134796143,25.60764659999404
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,40,11,6.423712875402998e-06,2.358438491821289,26.385739399993327
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,4,9.107540790864732e-06,2.4046428203582764,25.248804300033953
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,0,1.5789531971677206e-05,1.417061448097229,33.24675679998472
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,5,1.2295146916585509e-05,1.655927062034607,25.561282499984372
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,1,7.983662726473995e-06,1.8458454608917236,34.432880700042006
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,8,1.568632978887763e-05,1.3900023698806763,20.18631150003057
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,3,1.1167952834512107e-05,1.8626948595046997,30.45239180000499
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,7,1.1228491530346218e-05,1.4344547986984253,25.380354700027965
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,2,1.1839436410809867e-05,2.2148163318634033,35.54070499999216
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,10,1.2140777471358888e-05,1.5745267868041992,25.14396320004016
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,11,5.133084869157756e-06,1.7569299936294556,26.15839480003342
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,4,9.36168999032816e-06,2.1489360332489014,29.495561599964276
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,9,1.3850354662281461e-05,1.5212695598602295,37.08944229996996
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,50,6,5.707264790544286e-06,1.8087290525436401,43.974757299991325
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,1,8.106805580609944e-06,1.677612066268921,34.761363499972504
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,9,1.4517088857246563e-05,1.4250839948654175,24.2002031999873
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,0,1.712999801384285e-05,1.0712350606918335,41.33785160002299
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,10,1.247643831447931e-05,1.3620309829711914,28.78656159999082
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,5,1.4050945537746884e-05,1.3023978471755981,35.02259279997088
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,11,8.883375812729355e-06,1.6103540658950806,30.07502899999963
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,7,1.144097768701613e-05,1.3889248371124268,34.57578519999515
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,2,1.573156623635441e-05,2.1119139194488525,48.48635240003932
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,70,1,9.831494026002474e-06,1.345377802848816,29.333807899965905
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,6,6.397846391337225e-06,1.5822619199752808,41.845694400020875
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,3,1.0145945452677552e-05,1.3998074531555176,52.88282659999095
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,70,2,1.417340990883531e-05,1.4407782554626465,33.446691300021484
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,60,8,1.6169302398338914e-05,0.9686750173568726,42.820040000020526
