problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,4.9964842219196726e-06,8.477673530578613,18.0614668999915
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,4.985891337128123e-06,6.948827266693115,22.806477000005543
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,3,4.927343979943544e-06,9.824844360351562,16.629149100001086
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,4.5683682401431724e-06,9.151422500610352,16.9210841999884
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,4,4.929612714477116e-06,9.59397029876709,21.960521100001642
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,5,4.886660462943837e-06,7.098328113555908,22.475660600000992
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,6,4.661596904043108e-06,8.572795867919922,21.43979579998995
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,7,4.937604444421595e-06,10.480031967163086,23.14201470000262
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,9,4.886268925474724e-06,10.33188533782959,16.259152200000244
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,8,4.7274229473259766e-06,8.041691780090332,20.7860256999993
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,10,4.914104010822484e-06,10.50451374053955,19.128177799997502
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,4.977513071935391e-06,6.1179609298706055,19.302687100003823
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,11,4.931112016492989e-06,8.383977890014648,22.486836099997163
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,4.960006208420964e-06,4.143592357635498,20.25103859999217
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,3,4.886260740022408e-06,6.539371013641357,17.2978385000024
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,4.972294391336618e-06,4.8098530769348145,20.606750100007048
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,4,4.7351331886602566e-06,7.131648063659668,19.388923399994383
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,5,4.716209332400467e-06,4.91555643081665,24.72209089998796
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,6,4.944545253238175e-06,6.259964466094971,19.171460900004604
