problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,0,4.874862042925088e-06,2.459399700164795,15.77402529999381
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,3,4.923225333186565e-06,3.3975019454956055,10.763980099989567
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,1,4.9539398787601385e-06,2.2898707389831543,11.96704330004286
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,2,4.793265361513477e-06,2.361680269241333,13.909655100025702
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,4,4.9962322918872815e-06,2.5772712230682373,9.080428600020241
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,5,4.8849806262296624e-06,2.94582462310791,8.92940769996494
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,8,4.946488388668513e-06,3.031665563583374,8.289154500002041
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,7,4.9292393669020385e-06,2.865729808807373,10.032316800032277
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,9,4.8425163186038844e-06,2.3570876121520996,10.187922599958256
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,6,4.711975634563714e-06,2.5939931869506836,12.65891349996673
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,10,4.9934842536458746e-06,2.8466320037841797,8.721632700006012
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,11,4.989282388123684e-06,2.7313504219055176,10.19094880000921
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,1,4.845609055337263e-06,1.214326024055481,14.847050999989733
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,0,4.907923539576586e-06,1.142351746559143,16.635309299977962
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,4,4.893706773145823e-06,1.17812979221344,12.035592400003225
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,2,4.962308139511151e-06,1.3024849891662598,14.629174200003035
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,3,4.998253643861972e-06,1.604233980178833,14.545007800043095
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,5,4.941288352711126e-06,1.335229754447937,14.702507200010587
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,6,4.9316986405756325e-06,1.429736614227295,17.463787600048818
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,9,4.994572464056546e-06,1.5187777280807495,13.095209799997974
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,8,4.974990133632673e-06,1.7410659790039062,14.15610540000489
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,7,4.989293302060105e-06,1.2728091478347778,16.17771590000484
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,10,4.986868134437827e-06,1.4435036182403564,14.95081150002079
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,11,4.9001523620972876e-06,1.3734595775604248,16.1161288000294
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,30,1,4.9973414206760935e-06,0.8591760993003845,18.624585299985483
