problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,10,0,4.997086307412246e-06,1.7448853254318237,5.440621599962469
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,10,1,4.990165507479105e-06,1.6438844203948975,4.133501900010742
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,10,4,4.991514742869185e-06,2.1918296813964844,3.5491660999832675
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,10,2,4.9967325139732566e-06,1.8829883337020874,5.808344300021417
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,10,3,4.969135716237361e-06,1.6219233274459839,5.442934599996079
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,10,7,4.9685636440699454e-06,1.9544366598129272,3.600574600044638
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,10,5,4.987221927876817e-06,1.896413803100586,4.774420399975497
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,10,6,4.98786448588362e-06,2.2744781970977783,4.915273900027387
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,10,8,4.924439963360783e-06,1.7393772602081299,4.775427000015043
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,10,9,4.996277311875019e-06,1.8214306831359863,5.340338599984534
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,10,10,4.9796722123574e-06,1.8473221063613892,3.5524586999672465
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,10,11,4.981969595974078e-06,1.861318588256836,3.4838813999667764
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,20,1,4.982673544873251e-06,1.0475618839263916,5.0892179000074975
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,20,0,4.9832506192615256e-06,1.0830575227737427,5.938633099955041
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,20,5,4.98082636113395e-06,1.1800569295883179,4.571157100028358
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,20,4,4.9846566980704665e-06,1.3338183164596558,4.733234199986327
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,20,2,4.991100468032528e-06,1.067913293838501,6.123222499969415
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,20,3,4.983608050679322e-06,0.9617732167243958,5.578312999976333
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,20,6,4.978963261237368e-06,1.3133995532989502,5.302670100005344
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,20,8,4.998362328478834e-06,1.1212403774261475,5.008247599995229
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,20,7,4.999153134122025e-06,1.076831340789795,5.5163260999834165
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,20,9,4.961432296113344e-06,1.1131000518798828,4.607208500034176
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,20,10,4.989450189896161e-06,1.119155764579773,4.600618299969938
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,20,11,4.9736859182303306e-06,1.0695228576660156,4.887539399962407
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,30,1,4.992535650671925e-06,0.8441709280014038,5.367875500000082
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,30,0,4.99987891089404e-06,0.7054658532142639,5.626355699962005
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,30,2,4.968476787325926e-06,0.7976391315460205,5.2904327000142075
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,30,5,4.997027190256631e-06,0.7567768692970276,5.020370899990667
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,30,4,4.996070401830366e-06,0.8910916447639465,5.336520500015467
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,30,3,4.997736141376663e-06,0.7285807728767395,5.669578499975614
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,30,7,4.999876182409935e-06,0.7982884645462036,4.643774299998768
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,30,6,4.999497832613997e-06,0.8328160643577576,5.295821099949535
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,30,8,4.992541562387487e-06,0.8252953886985779,5.242680000024848
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,30,9,4.998522854293697e-06,0.7391590476036072,4.606105800019577
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,30,10,4.995886683900608e-06,0.7179009318351746,5.962363100028597
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,30,11,4.992646154278191e-06,0.7796811461448669,4.869486999989022
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,40,3,4.999742031941423e-06,0.5948642492294312,4.895976500003599
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,40,0,4.997853466193192e-06,0.5169111490249634,5.572726299986243
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,40,1,4.982704467693111e-06,0.6267569661140442,5.594366000033915
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,40,2,4.986594376532594e-06,0.5952792763710022,5.430302799970377
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,40,4,4.985496616427554e-06,0.6424387693405151,5.6240933000226505
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,40,5,4.9984109864453785e-06,0.5916668176651001,5.651445900031831
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,40,6,4.998953954782337e-06,0.6086118221282959,5.655225499998778
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,40,7,4.99803218190209e-06,0.5681447982788086,5.475806500006001
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,40,8,4.986008661944652e-06,0.6157916188240051,4.704326700011734
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,40,9,4.983539838576689e-06,0.6263678669929504,4.877222899987828
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,40,11,4.9894629228219856e-06,0.5552211403846741,4.739872300007846
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,40,10,4.997126325179124e-06,0.5517796874046326,6.005655999993905
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,50,1,4.983488452126039e-06,0.47004878520965576,5.60305520001566
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,50,0,4.998707936465507e-06,0.41746583580970764,6.00869559997227
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,50,2,4.98825465911068e-06,0.43684297800064087,6.002069099980872
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,50,3,4.997589257982327e-06,0.4464789927005768,5.933564500010107
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,50,4,4.999850716558285e-06,0.5086238980293274,5.7633840999915265
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,50,5,4.999626071366947e-06,0.44673973321914673,6.203933899989352
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,50,7,4.999706106900703e-06,0.45564916729927063,5.62959339999361
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,50,8,4.998376425646711e-06,0.47697004675865173,5.55778689996805
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,50,6,4.999426437279908e-06,0.4464357793331146,6.158125699963421
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,50,9,4.994387836632086e-06,0.4907728135585785,5.409495699976105
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,50,10,4.997299129172461e-06,0.45359644293785095,5.84897930000443
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,50,11,4.997718860977329e-06,0.4418891966342926,5.463893799984362
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,60,0,4.983269263902912e-06,0.31832531094551086,6.372756100026891
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,60,1,4.995734798285412e-06,0.35177895426750183,6.096142900001723
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,60,2,4.999930752092041e-06,0.3539559543132782,6.315800499985926
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,60,3,4.9964642130362336e-06,0.31545814871788025,6.540595899976324
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,60,4,4.998777512810193e-06,0.3867848217487335,6.350763700029347
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,4,40,60,5,4.9950226639339235e-06,0.32640695571899414,6.32550049998099
