problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,4.983762664778624e-06,1.7301651239395142,8.407553599987295
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,4.636731773643987e-06,1.7318363189697266,10.34490330000699
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,4.8487763706361875e-06,1.7020310163497925,9.43544750000001
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,3,4.994260507373838e-06,1.7971384525299072,9.939233800003421
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,5,4.9809596021077596e-06,1.7396069765090942,7.268846699997084
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,4,4.974164312443463e-06,1.7285629510879517,9.403618099997402
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,6,4.8963515837385785e-06,1.4780371189117432,12.466010900010588
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,7,4.973272098141024e-06,1.7645374536514282,10.450140399989323
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,9,4.8816159505804535e-06,1.679937481880188,9.796231300002546
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,8,4.788204478245461e-06,1.7554491758346558,11.452049899991835
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,10,4.8834663175512105e-06,1.7063920497894287,8.670029400003841
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,11,4.965751031704713e-06,1.6956740617752075,8.02881139999954
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,4.9588306865189224e-06,1.3251923322677612,11.586661399996956
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,4.8561823859927244e-06,1.3229702711105347,13.868402899999637
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,3,4.96225629831315e-06,1.3040590286254883,10.385501999990083
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,4.869910753768636e-06,1.304941177368164,12.539966500000446
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,4,4.908665232505882e-06,1.0710505247116089,12.750561399996514
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,5,4.954967607773142e-06,1.2074871063232422,14.538910099989153
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,7,4.920304490951821e-06,1.3710662126541138,12.120379300002242
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,6,4.830759735341417e-06,1.251705288887024,14.674873799987836
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,8,4.936170171276899e-06,1.4354922771453857,13.176209899989772
