problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,1,4.917873866361333e-06,11.14603328704834,33.26998460001778
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,2,4.910460575047182e-06,10.463347434997559,22.33833500003675
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,5,4.987000465916935e-06,10.756111145019531,23.87337149999803
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,4,4.982981863577152e-06,12.059907913208008,39.73290299996734
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,6,4.789262220583623e-06,10.755698204040527,33.76185930002248
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,10,4.908814389636973e-06,10.43480396270752,24.418856500007678
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,11,4.927939698973205e-06,11.525317192077637,28.154865299991798
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,0,4.955660642735893e-06,8.597119331359863,24.013214399979915
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,1,4.728888143290533e-06,9.27238655090332,27.76350119995186
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,2,4.9698051043378655e-06,6.9693603515625,33.2285428000032
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,3,4.946433364239056e-06,8.589216232299805,27.50155129999621
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,4,4.952948074787855e-06,10.651968955993652,29.761377700022422
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,0,4.968601388100069e-06,12.189845085144043,246.73087410000153
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,5,4.6211544031393714e-06,7.772426128387451,27.59651640005177
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,3,4.957484179612948e-06,12.39473819732666,108.7961490000016
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,6,4.9161139941134024e-06,8.25881576538086,33.848388600046746
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,7,4.8487722779100295e-06,7.953310489654541,29.20955959998537
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,9,4.950906713929726e-06,7.918596267700195,23.562793699966278
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,11,4.867293682764284e-06,9.595309257507324,21.062056299997494
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,20,8,4.983094186172821e-06,9.157238006591797,27.94348389998777
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,7,4.9884820327861235e-06,10.665114402770996,107.28777899994748
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,1,4.686783540819306e-06,6.658266544342041,33.57991640002001
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,2,4.933664513373515e-06,6.461983680725098,31.11473879998084
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,4,4.935526703775395e-06,6.7910308837890625,27.73696910002036
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,5,4.837299002247164e-06,6.424215793609619,27.09746439999435
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,3,4.821759830520023e-06,6.362825393676758,30.748046099964995
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,9,4.994244591216557e-06,10.550975799560547,129.2921834999579
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,10,8,4.861956767854281e-06,11.504570960998535,133.61342660000082
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,8,4.944025477016112e-06,7.909345626831055,25.36425149999559
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,7,4.863004051003372e-06,6.806644916534424,29.747987600043416
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,11,4.896745394944446e-06,7.294018268585205,28.216689400025643
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,10,4.86931276100222e-06,5.78490686416626,30.240720800007693
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,9,4.916904799756594e-06,6.215790271759033,37.33376629999839
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,1,4.901103238807991e-06,6.106381416320801,28.138899000012316
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,0,4.918034846923547e-06,6.557721138000488,35.944868899998255
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,5,4.701818397734314e-06,4.650714874267578,33.7966080000042
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,6,4.7925295802997425e-06,5.346068859100342,34.09006210003281
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,10,4.938820438837865e-06,5.488445281982422,26.566850400005933
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,8,4.930710019834805e-06,6.5545783042907715,29.199397600023076
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,7,4.977750450052554e-06,4.9492316246032715,32.11565029999474
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,30,0,4.953904408466769e-06,6.725404262542725,97.85547700000461
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,10,100,40,11,4.906179128738586e-06,5.838553428649902,32.889426700014155
