problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,0,4.995163180865347e-06,20.236221313476562,33.15826009999728
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,1,4.560227807814954e-06,21.28616714477539,33.72633009999117
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,3,4.823620201932499e-06,24.021886825561523,31.698277500006952
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,2,4.843287570110988e-06,20.68560028076172,38.0860904000001
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,4,4.800001079274807e-06,21.111467361450195,34.592722999994294
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,5,4.947961315338034e-06,17.530136108398438,39.04391880000185
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,6,4.698955308413133e-06,20.380598068237305,36.480538899995736
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,7,4.898941369901877e-06,21.17825698852539,36.926191500009736
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,8,4.980312951374799e-06,21.218538284301758,39.52128060000541
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,9,4.9667651182971895e-06,21.33000946044922,35.9876488000009
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,10,4.530194019025657e-06,18.339126586914062,35.78902960001142
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,11,4.995337803848088e-06,21.341279983520508,34.59968699999445
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,1,4.88981186208548e-06,9.408904075622559,35.773374100012006
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,0,4.9647701416688506e-06,11.135736465454102,42.99684250001155
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,2,4.603040906658862e-06,14.680068969726562,38.48365870000271
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,3,4.7310677473433316e-06,11.796706199645996,38.98188430001028
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,4,4.9942013902182225e-06,11.106124877929688,36.58301990000473
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,5,4.9445156946603674e-06,11.908988952636719,37.62951549999707
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,6,4.970559075445635e-06,13.082152366638184,38.48416589999397
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,7,4.908169557893416e-06,10.381814002990723,44.3765163999924
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,8,4.946732587995939e-06,10.998286247253418,44.568367200001376
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,9,4.964783784089377e-06,12.654932022094727,40.95116169999528
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,10,4.9849304559757e-06,11.395442962646484,42.16630700000678
